verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-4.365622318611112,-3.6209549757083344
carves,20,28,0.0,1.0,0.5833333333333334,-3.51643962185,-3.432193648642857
cleans,21,33,0.0,1.0,0.6111111111111112,-3.049313265095239,-1.5582206547272726
cooks,12,33,0.0,1.0,0.7333333333333333,-3.68921536825,-3.0758014499393935
cuts,16,24,0.0,1.0,0.6,-3.313709756375,-2.4271181395
drives,9,27,0.0,1.0,0.75,-1.7280617753333334,-1.2788280172592592
embroiders,12,16,0.0,1.0,0.5714285714285714,-3.9430340852500003,-2.5822027747500003
flies,12,12,0.0,1.0,0.5,-2.1918091869999996,-2.1341353562916665
knits,20,15,0.0,1.0,0.42857142857142855,-4.95004502226,-3.0159286375333334
packs,16,24,0.0,1.0,0.6,-3.5808078683125,-2.3574539926666667
paints,20,28,0.0,1.0,0.5833333333333334,-3.9280927229149993,-2.718688753607143
performs,7,6,0.0,1.0,0.46153846153846156,-2.2440562075714285,-0.8411524983333334
photographs,4,14,0.0,1.0,0.7777777777777778,-3.4760730557499997,-2.810719966214286
plays,14,12,0.0,1.0,0.46153846153846156,-3.4312849781428576,-2.5780868936666668
reads,14,20,0.0,0.8,0.47058823529411764,-3.2951228469285714,-0.3886346695
sculpts,15,15,0.0,1.0,0.5,-4.2586948364,-3.489128589666667
sells,27,45,0.0,0.8444444444444444,0.5277777777777778,-1.9430803545555553,-1.3168592142444442
sews,12,8,0.0,1.0,0.4,-3.7476531623750002,-1.60035794225
shaves,6,9,0.0,1.0,0.6,-3.8883757699999997,-4.222544139555556
stitches,20,28,0.0,1.0,0.5833333333333334,-3.692267042570001,-2.802230035017857
turns,16,28,0.0,1.0,0.6363636363636364,-2.5150989707499996,-1.7446045793571425
washes,8,18,0.0,1.0,0.6923076923076923,-3.2073396862499997,-1.566414683222222
writes,24,10,0.0,1.0,0.29411764705882354,-3.2432259948333333,-1.5214234510000002
