noun,avg_LL_delta
abstract,-1.74492024
actor,-2.8325108
aircraft,-3.84155265
album,-2.70219984
animal,-3.31159339
announcer,-1.2968424
artisan,-2.3552819
artist,-3.49627128
author,0.4996626000000002
aviator,-3.83071913
backpack,-2.9662402300000004
backpacker,-3.3519122
bag,-1.51723324
baker,-3.100255
barber,-4.61524152
basket,-3.693557583
beard,-3.544132345
bedding,-2.256489
bike,-2.69217664
blanket,-3.967086069
blogger,-1.65164665
board,-2.91577511
book,-2.67934811
bottle,-2.0900812
bowl,-2.5055823
bread,-2.5555302
broadcaster,-0.3557888999999998
building,-3.053703406
bus,-3.37755574
busboy,-1.4250995
businessman,-2.4013978
businesswoman,-3.91337612
butcher,-3.93816367
cake,-3.806845126
cameraman,-3.2270175
camper,-3.5196846500000003
canvas,-1.6455727
captain,-4.528033
car,-3.71720507
cardboard,-1.8517317
carpet,-2.10390504
carver,-3.67726704
caterer,-2.222715200000001
cd,-2.46087216
cellist,-3.8281821
cello,-1.9797037
chauffeur,-3.7682551
chef,-4.27370113
choreography,-2.1222845
clarinet,-1.65835948
clarinetist,-2.75445397
clay,0.0098105699999999
cleaner,-0.0844972999999997
clerk,-0.7653718
cloth,-2.3668631
coat,-3.8177794
code,0.166536
comedian,-3.2145887
concerto,-1.31717774
confectioner,-1.9644881
container,-1.86116218
convertible,-1.41771314
cook,-3.5259721000000006
cotton,-0.6180094
countertop,-2.43002359
crate,-1.63120262
cushion,-3.480729255
cut,-1.27664432
dancer,-3.3215836000000003
dealer,-1.0763653999999998
dish,-1.8294753000000004
doctor,-4.483444956
dough,-1.4531592999999998
dressmaker,-3.65152883
driver,-3.65142554
drug,-3.083381036
drummer,-3.7797529
duffle,-3.21550952
essay,0.2013769
essayist,-0.4331045
fabric,-1.1551266
fillet,-2.77316928
fish,-2.68090976
floor,-2.17096447
flute,-2.88180919
flutist,-4.35113782
food,-3.5899165
gem,-2.502999996
glass,-3.20270143
hairdresser,-3.40796266
handle,-1.08328315
hat,-2.66206733
herb,-2.8195276
hiker,-4.344509
housekeeper,-4.14212304
ice,-2.0858568
illustrator,-1.1612513
ingredient,-2.02570537
instrument,-3.3277522100000003
item,-2.84765248
jacket,-2.508460994
janitor,-2.0209752
jet,-1.4753531000000002
jeweler,-2.5092329
jewelry,-2.57558247
journalist,-0.2784303000000001
kite,-2.0336266
knob,-1.7843552000000005
lady,-5.1183454600000005
lake,-4.128414958
landscape,-2.0618358000000003
letter,-0.88260315
line,-1.6044146600000002
lotion,-1.35895561
lunchbox,-2.883237434
machine,-3.03011275
magazine,-1.2776031200000002
maid,-3.3727187
make,-1.19203285
man,-4.513893072
marble,-1.1935983300000002
mason,-1.828849
material,-1.25542264
meat,-2.79122642
mirror,-2.7902707
model,-0.0290382999999998
motorcycle,-2.02904504
motorist,-2.8636778
mountain,-3.28723586
mover,-1.22966756
mushroom,-1.57632633
musician,-3.63290607
narrator,-0.9982707
notetaker,-0.7023221
novel,-1.7810677
novelist,-1.6698206399999995
orator,-0.0822904000000002
packaging,-0.5045005
painter,-4.50667623
panel,-1.42221408
paper,-1.0686474
passage,-2.97894481
pastry,-2.7005948
patissier,-3.18933673
pattern,-1.3859469000000002
peddler,-3.7428151
pepper,-0.8890351000000001
person,-4.56944794
photographer,-4.11509783
pianist,-2.8735102
piano,-0.4878751
pie,-2.227429985
pilot,-4.050488120000001
pizza,-2.8487546
plane,-2.84430293
poem,-0.7079238999999999
poet,-2.2445161
portraitist,-5.276150452
pot,-1.8366386
potato,-2.44072314
potter,-2.4554495
product,-1.88056996
professor,-1.0654285
proposal,-0.88440976
pumpkin,-4.107344626
quilt,-4.766960583
racer,-1.95667058
report,-1.0080814500000002
roadtripper,-2.15280342
routine,-2.28693185
salesman,-0.7024010999999999
saleswoman,-2.29397014
salmon,-1.78858767
scene,-2.38000088
screw,-0.941819
scribe,-2.8128888000000005
script,-0.3276033
sculptor,-4.468494679999999
seamster,-2.3203963
seamstress,-2.9750797
section,-2.0380822
shirt,-2.2171305
shopkeeper,-3.0294398000000005
sideburn,-3.232477305
silk,-0.5285695300000001
silverware,-2.92741751
singer,-1.2854705
snack,-3.933406577
soloist,-2.5310896
sonata,-2.41050342
song,-1.7374954
steak,-3.22120165
stone,-2.50001712
stubble,-2.377094236
student,-2.8612155
suitcase,-1.96482724
surface,-2.4673308
surgeon,-4.23879801
suv,-2.59289314
tailor,-1.3118866000000002
tank,-2.19703264
teacher,-2.6838311
telemarketer,-0.4646033999999999
tent,-2.95148701
thread,-2.4323939
toy,-2.4328147
tractor,-2.1610058000000003
trader,-1.2954484
traveller,-3.118516
truck,-3.02132674
tub,-3.22754214
tuna,-1.08277504
turkey,-2.79868679
upholsterer,-3.2925433
valve,-1.30958215
van,-1.87557788
vegetable,-2.9908204
vehicle,-2.74777973
verse,-0.02110314
view,-2.3740827
violin,-2.1461169
violinist,-3.3574957600000004
waiter,-3.2079022000000004
waitress,-3.3048854
wall,-2.94562809
window,-2.46550491
windshield,-0.39377765
woman,-5.1144906500000005
wood,-3.985973424
wool,-1.5277583
worker,-2.045741
wound,-2.09142578
yarn,-1.71930477
