noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.5,-0.09630964000000004
actor,1,1.0,-0.9021341
aircraft,3,0.3333333333333333,-0.017631483333333364
album,3,1.0,-1.16401914
animal,2,1.0,-1.205928905
announcer,2,1.0,-0.6010468149999999
artisan,4,1.0,-2.050086116
artist,4,1.0,-2.3196587835
author,2,1.0,-0.60087005
aviator,3,0.3333333333333333,0.2195606333333333
backpack,2,1.0,-0.5452058049999999
backpacker,2,1.0,-3.2307633325
bag,2,1.0,-0.15063192999999991
baker,6,1.0,-3.2907136345
barber,7,1.0,-1.7799205214285716
basket,2,1.0,-1.44075875
beard,3,1.0,-2.5183156663333333
bedding,5,1.0,-2.385489636
bike,4,1.0,-1.3430250335
blanket,2,1.0,-2.278576773
blogger,2,1.0,-1.617178655
board,4,1.0,-1.51676476
book,3,1.0,-0.9422215100000001
bottle,2,1.0,-0.710393815
bowl,2,1.0,-1.51747833
bread,3,1.0,-3.6488604369999997
broadcaster,2,1.0,-0.846324965
building,2,1.0,-0.7646551149999999
bus,3,1.0,-1.20986881
busboy,5,1.0,-2.775213634
businessman,3,1.0,-1.9237014166666668
businesswoman,3,1.0,-2.222958186666667
butcher,4,1.0,-1.1109423475
cake,3,1.0,-4.803992543666666
cameraman,2,1.0,-1.714562375
camper,2,1.0,-1.38894082
canvas,4,1.0,-2.80084099925
captain,3,1.0,-0.7916252233333334
car,12,1.0,-1.6926653191666665
cardboard,4,1.0,-1.483604545
carpet,3,1.0,-2.1496090366666665
carver,7,1.0,-2.170217919714286
caterer,3,1.0,-1.8261509253333335
cd,3,1.0,-0.7712815633333333
cellist,2,1.0,-1.78637525
cello,2,1.0,-1.61480667
chauffeur,3,1.0,-1.1832747
chef,10,1.0,-1.913843064
choreography,1,1.0,-0.9123839
clarinet,2,1.0,-0.69195114
clarinetist,2,1.0,-1.1240230850000001
clay,6,1.0,-3.2555196743333332
cleaner,5,1.0,-0.5591016560000001
clerk,2,1.0,-2.549865705
cloth,8,1.0,-3.1093588285
coat,2,1.0,-0.9085498799999999
code,2,0.0,1.03331332
comedian,1,1.0,-1.27282722
concerto,1,0.0,0.0725039
confectioner,3,1.0,-2.6078022586666667
container,2,1.0,-0.164592875
convertible,3,1.0,-0.4953956633333334
cook,6,1.0,-2.669065681833333
cotton,4,1.0,-3.117420736
countertop,3,1.0,-1.1415637333333333
crate,2,1.0,-0.9382078950000001
cushion,4,1.0,-4.73016977065
cut,4,1.0,-2.3661011587500003
dancer,1,1.0,-1.75244077
dealer,3,1.0,-1.34190996
dish,2,1.0,-2.33056167
doctor,2,1.0,-1.656798115
dough,3,1.0,-4.182023640666666
dressmaker,4,1.0,-4.279727967625
driver,7,1.0,-1.6603513585714285
drug,3,1.0,-0.41801010666666666
drummer,2,1.0,-1.15366644
duffle,2,1.0,-1.1064143
essay,4,1.0,-0.96850696
essayist,2,1.0,-1.482710705
fabric,20,1.0,-2.6484682349499997
fillet,3,1.0,-2.469698176666667
fish,3,1.0,-3.324010602
floor,3,1.0,-1.3785128633333334
flute,2,1.0,-1.175297275
flutist,2,1.0,-1.5264501799999999
food,2,1.0,-1.1408872650000002
gem,4,1.0,-1.8534733474999998
glass,4,1.0,-1.7627977549999998
