noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.6119549200000001
actor,1,0.0,-0.97946095
aircraft,3,0.0,-0.2918541233333333
album,3,0.0,-0.9587599466666666
animal,2,0.0,-0.6190466349999999
announcer,2,0.0,-1.347200165
artisan,4,0.0,-2.3279448599999997
artist,4,0.0,-2.33830729925
author,2,0.0,-1.3459997000000001
aviator,3,0.0,-0.34423899333333335
backpack,2,0.0,-0.2674908199999999
backpacker,2,0.0,-3.1176031495
bag,2,0.0,-0.29784994
baker,6,0.0,-2.8986594713333336
barber,7,0.0,-1.9962398735714288
basket,2,0.0,-1.03662678
beard,3,0.0,-1.1755897233333332
bedding,5,0.0,-2.1148654670000004
bike,4,0.0,-1.14982516
blanket,2,0.0,-2.277170103
blogger,2,0.0,-2.50400478
board,4,0.0,-0.6517506799999999
book,3,0.0,-0.8277376666666667
bottle,2,0.0,-0.190188875
bowl,2,0.0,-0.9752077450000001
bread,3,0.0,-3.3252672686666664
broadcaster,2,0.0,-1.301907555
building,2,1.0,0.306042065
bus,3,0.0,-1.56795007
busboy,5,0.0,-2.4349506688
businessman,3,0.0,-0.7788605466666666
businesswoman,3,0.0,-1.63752457
butcher,4,0.0,-1.6185872935
cake,3,0.0,-4.119623532666666
cameraman,2,0.0,-0.96596468
camper,2,0.0,-2.0944080375
canvas,4,0.0,-2.29693587825
captain,3,0.0,-1.05907883
car,12,0.0,-1.1837439275
cardboard,4,0.0,-1.24002872
carpet,3,0.0,-1.6361478099999998
carver,7,0.0,-2.0659507637142855
caterer,3,0.0,-2.0531005383333336
cd,3,0.0,-0.7736928633333333
cellist,2,0.0,-2.20842925
cello,2,0.0,-1.2074110349999998
chauffeur,3,0.0,-1.9384574666666665
chef,10,0.0,-1.7400858475
choreography,1,0.0,-1.40957332
clarinet,2,0.0,-0.75084562
clarinetist,2,0.0,-1.396235395
clay,6,0.0,-2.717364932166667
cleaner,5,0.0,-0.535957552
clerk,2,0.0,-2.3885820349999998
cloth,8,0.0,-2.17178374375
coat,2,0.0,-0.57288743
code,2,1.0,0.312195715
comedian,1,0.0,-1.88617575
concerto,1,0.0,-0.5539322200000001
confectioner,3,0.0,-2.7487163056666666
container,2,0.0,-0.42553542499999997
convertible,3,0.0,-0.8154805133333335
cook,6,0.0,-2.1584585143333332
cotton,4,0.0,-2.970276937625
countertop,3,0.0,-0.6686910966666666
crate,2,0.0,-1.0258582
cushion,4,0.0,-3.915783492
cut,4,0.0,-1.0728160517499998
dancer,1,0.0,-2.08781516
dealer,3,0.0,-1.2908116233333333
dish,2,0.0,-2.6482318950000003
doctor,2,0.0,-1.666736405
dough,3,0.0,-3.926302977
dressmaker,4,0.0,-3.7688598563999998
driver,7,0.0,-1.8349551
drug,3,0.0,-0.42599092666666666
drummer,2,0.0,-1.662438395
duffle,2,0.0,-0.69785877
essay,4,0.0,-1.4836621600000002
essayist,2,0.0,-2.5397118474999996
fabric,20,0.0,-1.8016609763500004
fillet,3,0.0,-2.135131498
fish,3,0.0,-2.801338615666667
floor,3,0.0,-0.6773339666666667
flute,2,0.0,-0.9829289149999999
flutist,2,0.0,-2.171126685
food,2,0.0,-0.579955625
gem,4,0.0,-1.2415014750000002
glass,4,0.0,-0.767908195
hairdresser,7,0.0,-2.0364676242857143
handle,4,0.0,-0.5709492075
hat,3,1.0,0.8680757
herb,3,0.0,-2.433633426666667
hiker,2,0.0,-3.2676613365
housekeeper,3,0.0,-3.187611633
