noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-18.02039065847
actor,1,1.0,-8.00889876934
aircraft,3,1.0,-18.205712951516666
album,3,1.0,-18.6880067178
animal,2,1.0,-18.7001505378
announcer,2,1.0,-15.554961738940001
artisan,4,1.0,-16.8588469586725
artist,4,1.0,-11.138102681945
author,2,1.0,-15.164199217105
aviator,3,1.0,-9.267223371130001
backpack,2,1.0,-17.8608167757
backpacker,2,1.0,-13.548463908425
bag,2,1.0,-17.93911549955
baker,6,1.0,-6.330405577198333
barber,7,1.0,-11.5840510115
basket,2,1.0,-18.813324069670003
beard,3,1.0,-17.601480645766667
bedding,5,1.0,-18.0312863228
bike,4,1.0,-18.03260702255
blanket,2,1.0,-17.861211341649998
blogger,2,1.0,-4.43554561925
board,4,1.0,-19.066462543225
book,3,1.0,-17.690443280033335
bottle,2,1.0,-18.52658286415
bowl,2,1.0,-17.842778927075
bread,3,1.0,-18.3081279151
broadcaster,2,1.0,-16.6768284025
building,2,1.0,-18.8097674161
bus,3,1.0,-18.084144569683335
busboy,5,1.0,-14.270373142782
businessman,3,1.0,-6.916975860266667
businesswoman,3,1.0,-10.331677699550001
butcher,4,1.0,-14.402733025475
cake,3,1.0,-18.446447760833333
cameraman,2,1.0,-7.029907884649999
camper,2,1.0,-17.721919972949998
canvas,4,1.0,-18.57223172135
captain,3,1.0,-5.786642298733334
car,12,1.0,-17.959917519543332
cardboard,4,1.0,-18.620527280875
carpet,3,1.0,-18.1877143215
carver,7,1.0,-17.026981272795716
caterer,3,1.0,-13.034261823943334
cd,3,1.0,-18.18925783126667
cellist,2,1.0,-3.342470274
cello,2,1.0,-16.07341617615
chauffeur,3,1.0,-3.395417049666667
chef,10,0.9,-5.963801581015
choreography,1,1.0,-17.25362927286
clarinet,2,1.0,-15.707403810435
clarinetist,2,0.5,-0.46668157499999985
clay,6,1.0,-18.916508186526666
cleaner,5,1.0,-15.722237578370002
clerk,2,1.0,-7.002288915149999
cloth,8,1.0,-18.40658010213875
coat,2,1.0,-18.8196470673
code,2,1.0,-18.888975722399998
comedian,1,1.0,-4.8883102337
concerto,1,1.0,-16.2343736896
confectioner,3,1.0,-17.217342517800002
container,2,1.0,-18.228709678250002
convertible,3,1.0,-17.83249848194
cook,6,1.0,-12.289575014283335
cotton,4,1.0,-17.594318282435
countertop,3,1.0,-18.3299312275
crate,2,1.0,-18.65036065435
cushion,4,1.0,-18.035805885675
cut,4,1.0,-17.1886063861875
dancer,1,1.0,-1.67680811
dealer,3,1.0,-7.735624151166667
dish,2,1.0,-19.17500846265
doctor,2,1.0,-8.595681097975
dough,3,1.0,-18.191013483233334
dressmaker,4,1.0,-9.0203794677925
driver,7,1.0,-7.015127043714285
drug,3,1.0,-18.5078248921
drummer,2,0.0,1.591596596
duffle,2,1.0,-17.781348155899998
essay,4,1.0,-18.4865052618625
essayist,2,1.0,-13.37628386568
fabric,20,1.0,-18.546478747973502
fillet,3,1.0,-18.588206985066666
fish,3,1.0,-17.824849259133334
floor,3,1.0,-17.27912472286667
flute,2,1.0,-15.214995608825
flutist,2,1.0,-2.5406113795
food,2,1.0,-18.803617094899998
gem,4,1.0,-18.05248472629
glass,4,1.0,-18.666149011447498
hairdresser,7,1.0,-8.79450751530857
handle,4,1.0,-17.396718764425003
hat,3,1.0,-17.914608778366667
herb,3,1.0,-18.0677552314
hiker,2,1.0,-11.921981872985
housekeeper,3,1.0,-8.623726967933331
ice,7,1.0,-18.757569421844288
illustrator,4,1.0,-17.181106190985
ingredient,3,1.0,-18.98091142603333
instrument,2,1.0,-18.3135012207
item,3,1.0,-18.439080260966666
jacket,2,1.0,-18.12557243545
janitor,3,1.0,-6.791374813289999
jet,3,1.0,-15.935349959746667
jeweler,4,1.0,-17.26558852395
jewelry,3,1.0,-18.300416292210002
journalist,2,1.0,-7.0315774302
kite,3,1.0,-17.167099510799996
knob,4,1.0,-16.9029890099875
lady,5,1.0,-10.971792671864
lake,2,1.0,-17.93125562565
landscape,2,1.0,-18.83360482235
letter,2,1.0,-16.614944431305
line,2,1.0,-17.4769176599
lotion,3,1.0,-18.117942379466665
lunchbox,2,1.0,-17.843617596850002
machine,8,1.0,-18.303764326255003
magazine,3,1.0,-17.819069847333335
maid,5,1.0,-5.9465457271
make,3,1.0,-17.375311239966667
man,5,1.0,-16.02147035574
marble,3,1.0,-18.007798199099998
mason,3,1.0,-16.3089073738
material,4,1.0,-18.55561308256
meat,7,1.0,-18.895441679385716
mirror,3,1.0,-17.611239569800002
model,2,1.0,-15.54337193765
motorcycle,4,1.0,-17.08978100751
motorist,4,1.0,-11.3216240027725
mountain,2,1.0,-18.99951736455
mover,2,1.0,-17.2660479953
mushroom,3,1.0,-17.680327962499998
musician,3,1.0,-3.8146209370000004
narrator,2,1.0,-14.908441206820001
notetaker,2,1.0,-10.848564496825
novel,3,1.0,-17.937776220900002
novelist,2,1.0,-11.195111533079999
orator,2,1.0,-15.467407690425
packaging,4,1.0,-18.563202216199997
painter,4,1.0,-6.8276806821825
panel,4,1.0,-18.27453519795
paper,4,1.0,-18.626085174700002
passage,6,1.0,-18.55778984596
pastry,3,1.0,-18.48109369186667
patissier,3,1.0,-8.047929993886667
pattern,5,1.0,-18.723648976648
peddler,3,1.0,-14.896903033166666
pepper,3,1.0,-17.7114933204
person,30,1.0,-13.253367874387997
photographer,2,1.0,-7.245815614485
pianist,2,1.0,-4.038623881
piano,2,1.0,-16.277697930800002
pie,3,1.0,-18.527770659166666
pilot,7,0.5714285714285714,-3.1481590106657142
pizza,3,1.0,-18.144198756933335
plane,3,1.0,-15.739873114566668
poem,2,1.0,-17.169181096175
poet,2,1.0,-13.488761031855
portraitist,4,1.0,-11.446644487
pot,3,1.0,-18.400318953733333
potato,3,1.0,-17.992150687133336
potter,3,1.0,-16.2606438856
product,3,1.0,-18.841658655066666
professor,2,1.0,-10.470317437230001
proposal,2,1.0,-19.72501006035
pumpkin,4,1.0,-17.912988478825
quilt,4,1.0,-18.006035030600003
racer,4,1.0,-16.82616983278
report,2,1.0,-18.41995007722
roadtripper,2,1.0,-16.591574620675
routine,1,1.0,-17.783695148099998
salesman,3,1.0,-10.157304957643333
saleswoman,3,1.0,-11.833730505590003
salmon,3,1.0,-17.7168639227
scene,1,1.0,-18.2669132809
screw,4,1.0,-16.671943758035
scribe,2,1.0,-7.80532740918
script,2,1.0,-18.122377243275
sculptor,7,1.0,-16.13548728719
seamster,8,1.0,-12.50202563634875
seamstress,4,1.0,-4.9572519242499995
section,2,1.0,-19.4778898224
shirt,2,1.0,-18.06377921013
shopkeeper,3,1.0,-8.322992251353332
sideburn,3,1.0,-17.011527961933336
silk,4,1.0,-17.765917129585
silverware,3,1.0,-17.9757335349
singer,1,1.0,-5.473518229
snack,3,1.0,-18.3025858632
soloist,1,0.0,1.32981979
sonata,1,1.0,-18.000812546400002
song,1,1.0,-17.836286734399998
steak,7,1.0,-18.233465073214283
stone,7,1.0,-18.683398573182853
stubble,3,1.0,-17.767001062133335
student,4,1.0,-14.859074543435
suitcase,2,1.0,-17.6068421923
surface,7,1.0,-18.431495820335716
surgeon,4,1.0,-7.03985953742
suv,6,1.0,-16.45262847758
tailor,12,0.5833333333333334,-1.5616424516666667
tank,3,1.0,-16.946094895633333
teacher,2,1.0,-9.52289535157
telemarketer,3,1.0,-3.7399383070000005
tent,2,1.0,-18.4988101379
thread,4,1.0,-16.613156430275
toy,3,1.0,-18.372768206666667
tractor,3,1.0,-16.24130648965667
trader,3,1.0,-4.964959489133333
traveller,2,1.0,-11.77619481708
truck,3,1.0,-16.44311316325
tub,2,1.0,-18.19211123825
tuna,3,1.0,-18.6173678949
turkey,4,1.0,-18.0842275578
upholsterer,4,1.0,-11.6568711062825
valve,4,1.0,-17.2211809685875
van,3,1.0,-17.40504861301333
vegetable,3,1.0,-19.038414632240002
vehicle,3,1.0,-18.07180589316
verse,2,1.0,-18.227375506935
view,2,1.0,-18.61908873775
violin,2,1.0,-16.63415290683
violinist,2,1.0,-3.4170544998500003
waiter,3,1.0,-10.762790563573333
waitress,3,1.0,-11.72843705994
wall,4,1.0,-17.81679478945
window,3,1.0,-17.9773143315
windshield,5,1.0,-17.763218523036
woman,5,1.0,-12.657949949126001
wood,11,1.0,-18.139347338854545
wool,5,1.0,-17.453626387739998
worker,4,1.0,-9.010210654675
wound,4,1.0,-17.25987106485
yarn,5,1.0,-18.239218260446002
