noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-0.97119140625,-0.56494140625,patient,patient,-0.40625,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.70751953125,-0.80126953125,agent,agent,0.09375,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-0.9951171875,-0.5263671875,patient,patient,-0.46875,0.5512745470387167,0.58333333325,1.176470588
album,-1.14453125,-0.42578125,patient,patient,-0.71875,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-1.2197265625,-0.469970703125,patient,patient,-0.749755859375,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.4794921875,-0.3544921875,agent,patient,-1.125,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.7587890625,-0.7587890625,agent,agent,0.0,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.89208984375,-0.61083984375,agent,patient,-0.28125,0.8388102441595283,0.9305555555,0.2124183007
author,-0.85888671875,-0.70263671875,agent,patient,-0.15625,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.82470703125,-0.63720703125,agent,patient,-0.1875,0.6835275033180946,0.9444444445,0.1830065359
backpack,-0.9013671875,-0.5888671875,patient,patient,-0.3125,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-0.81787109375,-0.66162109375,agent,patient,-0.15625,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-0.76904296875,-0.70654296875,patient,patient,-0.0625,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.6005859375,-0.8818359375,agent,agent,0.28125,0.8327493152398071,0.875,0.7352941176
barber,-0.7724609375,-0.7099609375,agent,patient,-0.0625,0.7248762775364598,0.9305555555,0.2124183007
basket,-0.9072265625,-0.5947265625,patient,patient,-0.3125,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.048828125,-0.48583984375,patient,patient,-0.56298828125,0.3522682168119178,0.15277777775,0.4869281046
bedding,-0.96435546875,-0.55810546875,patient,patient,-0.40625,0.3901065107242925,0.15277777775,0.839869281
bike,-1.1279296875,-0.4404296875,patient,patient,-0.6875,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-1.0419921875,-0.51123046875,patient,patient,-0.53076171875,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-1.146484375,-0.52099609375,agent,patient,-0.62548828125,0.8292682926829268,0.861111111,0.614379085
board,-1.1103515625,-0.4541015625,patient,patient,-0.65625,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.7978515625,-0.6728515625,patient,patient,-0.125,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-0.939453125,-0.564453125,patient,patient,-0.375,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-1.173828125,-0.42431640625,patient,patient,-0.74951171875,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-0.728515625,-0.728515625,patient,agent,0.0,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-0.90771484375,-0.59521484375,agent,patient,-0.3125,0.8976559616094499,0.888888889,0.3790849673
building,-0.70556640625,-0.83056640625,patient,agent,0.125,0.5989896090029184,0.22222222225,0.9281045752
bus,-0.9267578125,-0.5830078125,patient,patient,-0.34375,0.3936552556306598,0.54166666675,1.205882353
