noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-2.0546875,-0.5546875,patient,patient,-1.5,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.189453125,-0.689453125,agent,patient,-0.5,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.4638671875,-0.463623046875,patient,patient,-1.000244140625,0.5512745470387167,0.58333333325,1.176470588
album,-2.900390625,-0.150634765625,patient,patient,-2.749755859375,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-2.1953125,-0.446044921875,patient,patient,-1.749267578125,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.08984375,-0.83984375,agent,patient,-0.25,0.9088548566583649,0.9444444445,0.1830065359
artisan,-1.2998046875,-0.5498046875,agent,patient,-0.75,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.3935546875,-0.64404296875,agent,patient,-0.74951171875,0.8388102441595283,0.9305555555,0.2124183007
author,-0.60546875,-1.35546875,agent,agent,0.75,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.84765625,-0.34765625,agent,patient,-1.5,0.6835275033180946,0.9444444445,0.1830065359
backpack,-2.435546875,-0.1861572265625,patient,patient,-2.2493896484375,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-2.228515625,-0.2279052734375,agent,patient,-2.0006103515625,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.6416015625,-0.391845703125,patient,patient,-1.249755859375,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.6064453125,-0.3564453125,agent,patient,-1.25,0.8327493152398071,0.875,0.7352941176
barber,-1.83203125,-0.331787109375,agent,patient,-1.500244140625,0.7248762775364598,0.9305555555,0.2124183007
basket,-2.4140625,-0.1641845703125,patient,patient,-2.2498779296875,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.810546875,-0.310302734375,patient,patient,-1.500244140625,0.3522682168119178,0.15277777775,0.4869281046
bedding,-2.27734375,-0.27783203125,patient,patient,-1.99951171875,0.3901065107242925,0.15277777775,0.839869281
bike,-1.798828125,-0.29931640625,patient,patient,-1.49951171875,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-2.65234375,-0.1517333984375,patient,patient,-2.5006103515625,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.99755859375,-0.74755859375,agent,patient,-0.25,0.8292682926829268,0.861111111,0.614379085
board,-1.7822265625,-0.2822265625,patient,patient,-1.5,0.7414235775059675,0.18055555550000002,0.5653594771
book,-2.0234375,-0.273681640625,patient,patient,-1.749755859375,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-2.224609375,-0.224365234375,patient,patient,-2.000244140625,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-2.40234375,-0.151611328125,patient,patient,-2.250732421875,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.78515625,-0.284912109375,patient,patient,-1.500244140625,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-1.2705078125,-0.52001953125,agent,patient,-0.75048828125,0.8976559616094499,0.888888889,0.3790849673
building,-1.7978515625,-0.54833984375,patient,patient,-1.24951171875,0.5989896090029184,0.22222222225,0.9281045752
bus,-1.8271484375,-0.327392578125,patient,patient,-1.499755859375,0.3936552556306598,0.54166666675,1.205882353
busboy,-1.8515625,-0.351806640625,agent,patient,-1.499755859375,0.7171145685997171,0.8194444445,0.5653594771
businessman,-0.78759765625,-1.0380859375,agent,agent,0.25048828125,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-1.2265625,-0.7265625,agent,patient,-0.5,0.7570036540803897,0.9305555555,0.3300653595
butcher,-2.03125,-0.28173828125,agent,patient,-1.74951171875,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-2.20703125,-0.206787109375,patient,patient,-2.000244140625,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-0.947265625,-0.697265625,agent,patient,-0.25,0.705324074074074,0.875,0.6176470588
camper,-1.6181640625,-0.368408203125,agent,patient,-1.249755859375,0.7956975142651014,0.8194444445,1.153594771
canvas,-2.19140625,-0.19189453125,patient,patient,-1.99951171875,0.3871303934847232,0.125,0.3823529412
captain,-1.1357421875,-0.6357421875,agent,patient,-0.5,0.7774360758884372,0.9027777777499999,0.3692810458
car,-1.2490234375,-0.4990234375,patient,patient,-0.75,0.3570064841756182,0.52777777775,1.163398693
cardboard,-2.423828125,-0.1737060546875,patient,patient,-2.2501220703125,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-2.2109375,-0.2115478515625,patient,patient,-1.9993896484375,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-1.46875,-0.46875,agent,patient,-1.0,0.8386251851851851,0.888888889,0.3790849673
caterer,-1.634765625,-0.385009765625,agent,patient,-1.249755859375,0.5684324715241367,0.875,0.5
cd,-2.048828125,-0.298828125,patient,patient,-1.75,0.6047404328075499,0.25,0.8235294118
cellist,-2.0234375,-0.273193359375,agent,patient,-1.750244140625,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-2.431640625,-0.18115234375,patient,patient,-2.25048828125,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-1.3193359375,-0.5693359375,agent,patient,-0.75,0.7000186396947015,0.8194444445,0.9183006536
chef,-1.033203125,-0.783203125,agent,patient,-0.25,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-1.896484375,-0.396484375,patient,patient,-1.5,0.661941251596424,0.3194444445,0.9183006536
clarinet,-1.990234375,-0.239990234375,patient,patient,-1.750244140625,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-1.8251953125,-0.32568359375,agent,patient,-1.49951171875,0.7790178571428571,0.875,0.9705882353
clay,-2.408203125,-0.1591796875,patient,patient,-2.2490234375,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-1.509765625,-0.509765625,agent,patient,-1.0,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-1.267578125,-0.517578125,agent,patient,-0.75,0.7568317979152734,0.8194444445,0.5653594771
cloth,-2.2421875,-0.2430419921875,patient,patient,-1.9991455078125,0.2985090774863912,0.15277777775,0.9575163399
coat,-1.630859375,-0.380615234375,patient,patient,-1.250244140625,0.2074233122822833,0.18055555550000002,0.6830065359
code,-1.369140625,-0.61865234375,patient,patient,-0.75048828125,0.4440540805082204,0.47222222225,1.751633987
comedian,-1.5263671875,-0.5263671875,agent,patient,-1.0,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-2.419921875,-0.1707763671875,patient,patient,-2.2491455078125,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-1.3095703125,-0.5595703125,agent,patient,-0.75,0.788134135855546,0.888888889,0.3790849673
container,-2.703125,-0.2027587890625,patient,patient,-2.5003662109375,0.4130819652046067,0.3055555555,0.8888888889
convertible,-2.095703125,-0.345703125,patient,patient,-1.75,0.333927888903045,0.40277777775,1.075163399
cook,-1.810546875,-0.310791015625,agent,patient,-1.499755859375,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-2.1953125,-0.19482421875,patient,patient,-2.00048828125,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-2.037109375,-0.286865234375,patient,patient,-1.750244140625,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-2.220703125,-0.2200927734375,patient,patient,-2.0006103515625,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-2.671875,-0.171875,patient,patient,-2.5,0.2348091623636633,0.125,0.3823529412
cut,-2.4375,-0.187744140625,patient,patient,-2.249755859375,0.37019957940763,0.25,0.8235294118
dancer,-1.703125,-0.452880859375,agent,patient,-1.250244140625,0.7019863911947872,0.875,0.2647058824
dealer,-0.63525390625,-1.134765625,agent,agent,0.49951171875,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-2.001953125,-0.251953125,patient,patient,-1.75,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-1.4423828125,-0.442626953125,agent,patient,-0.999755859375,0.727197186722784,0.9166666667500001,0.3529411765
