noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-2.2352617,-0.40690222,patient,patient,-1.82835948,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-2.202394,-0.6660035,agent,patient,-1.5363905,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-2.1942906,-0.29543465,patient,patient,-1.89885595,0.5512745470387167,0.58333333325,1.176470588
album,-2.9288542,-0.17661026,patient,patient,-2.75224394,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-2.1860683,-0.4815719,patient,patient,-1.7044964,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.7335272,-0.86069876,agent,patient,-0.8728284399999999,0.9088548566583649,0.9444444445,0.1830065359
artisan,-2.0611017,-0.9587722,agent,patient,-1.1023295000000002,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-2.7466755,-0.6512463,agent,patient,-2.0954292,0.8388102441595283,0.9305555555,0.2124183007
author,-1.9437867,-0.6867982,agent,patient,-1.2569884999999998,0.9103466492053656,0.888888889,0.4967320261
aviator,-2.1314805,-0.6335193,agent,patient,-1.4979611999999998,0.6835275033180946,0.9444444445,0.1830065359
backpack,-2.7114677,-0.1850129,patient,patient,-2.5264548000000002,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-2.4638798,-0.29716218,agent,patient,-2.16671762,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-2.9704373,-0.17309712,patient,patient,-2.79734018,0.14003512108607,0.23611111099999998,0.7614379085
baker,-2.6253192,-0.2610845,agent,patient,-2.3642347,0.8327493152398071,0.875,0.7352941176
barber,-2.6055224,-0.5015852,agent,patient,-2.1039372,0.7248762775364598,0.9305555555,0.2124183007
basket,-3.7291634,-0.09830967,patient,patient,-3.63085373,0.2088464198880839,0.19444444449999998,1.006535948
beard,-2.694528,-0.18764259,patient,patient,-2.50688541,0.3522682168119178,0.15277777775,0.4869281046
bedding,-2.733086,-0.24249522,patient,patient,-2.4905907800000002,0.3901065107242925,0.15277777775,0.839869281
bike,-3.161937,-0.13546596,patient,patient,-3.02647104,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-2.5946455,-0.16979891,patient,patient,-2.42484659,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-2.970162,-0.21947068,agent,patient,-2.75069132,0.8292682926829268,0.861111111,0.614379085
board,-2.0480852,-0.41290677,patient,patient,-1.63517843,0.7414235775059675,0.18055555550000002,0.5653594771
book,-2.5716023,-0.22283019,patient,patient,-2.34877211,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-3.110692,-0.16097775,patient,patient,-2.94971425,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-3.156418,-0.123592876,patient,patient,-3.032825124,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-3.0566738,-0.13902278,patient,patient,-2.91765102,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-1.8866946,-0.58436084,agent,patient,-1.30233376,0.8976559616094499,0.888888889,0.3790849673
building,-2.357631,-0.38675144,patient,patient,-1.97087956,0.5989896090029184,0.22222222225,0.9281045752
bus,-2.651473,-0.26754585,patient,patient,-2.3839271500000003,0.3936552556306598,0.54166666675,1.205882353
busboy,-2.7548,-0.36050636,agent,patient,-2.39429364,0.7171145685997171,0.8194444445,0.5653594771
businessman,-1.6012746,-1.0461093,agent,patient,-0.5551653000000001,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-2.3936248,-0.6057058,agent,patient,-1.787919,0.7570036540803897,0.9305555555,0.3300653595
butcher,-3.1195302,-0.20478395,agent,patient,-2.91474625,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-3.593575,-0.0922736,patient,patient,-3.5013014,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-2.526422,-0.29010147,agent,patient,-2.2363205300000004,0.705324074074074,0.875,0.6176470588
camper,-2.4334404,-0.20403145,agent,patient,-2.22940895,0.7956975142651014,0.8194444445,1.153594771
canvas,-3.231443,-0.10683125,patient,patient,-3.12461175,0.3871303934847232,0.125,0.3823529412
captain,-2.9435403,-0.51572037,agent,patient,-2.42781993,0.7774360758884372,0.9027777777499999,0.3692810458
car,-2.2028756,-0.39828908,patient,patient,-1.80458652,0.3570064841756182,0.52777777775,1.163398693
cardboard,-3.1002817,-0.12064385,patient,patient,-2.97963785,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-2.6927645,-0.16497542,patient,patient,-2.52778908,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-2.3614953,-0.34118667,agent,patient,-2.02030863,0.8386251851851851,0.888888889,0.3790849673
caterer,-3.0571747,-0.24581152,agent,patient,-2.81136318,0.5684324715241367,0.875,0.5
cd,-2.7011569,-0.6300673,patient,patient,-2.0710896,0.6047404328075499,0.25,0.8235294118
cellist,-3.0121348,-0.20808655,agent,patient,-2.80404825,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-3.2735095,-0.12550779,patient,patient,-3.14800171,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-2.5897698,-1.3110021,agent,patient,-1.2787677,0.7000186396947015,0.8194444445,0.9183006536
chef,-2.9769447,-0.56168234,agent,patient,-2.4152623600000003,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-3.0958803,-0.26080507,patient,patient,-2.83507523,0.661941251596424,0.3194444445,0.9183006536
clarinet,-3.266503,-0.13160205,patient,patient,-3.13490095,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-2.9197714,-0.27195218,agent,patient,-2.64781922,0.7790178571428571,0.875,0.9705882353
clay,-2.7712433,-0.15015996,patient,patient,-2.62108334,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-2.501179,-0.23440951,agent,patient,-2.26676949,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-2.1495395,-0.5056719,agent,patient,-1.6438676,0.7568317979152734,0.8194444445,0.5653594771
cloth,-2.638585,-0.19773968,patient,patient,-2.4408453199999998,0.2985090774863912,0.15277777775,0.9575163399
coat,-2.677828,-0.18373713,patient,patient,-2.49409087,0.2074233122822833,0.18055555550000002,0.6830065359
code,-3.2331991,-0.14926645,patient,patient,-3.0839326500000004,0.4440540805082204,0.47222222225,1.751633987
comedian,-2.319802,-0.56818175,agent,patient,-1.7516202500000002,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-2.9360116,-0.32324636,patient,patient,-2.61276524,0.3575925594705777,0.33333333325000003,1.294117647
