noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.0431131,-3.3397639,patient,agent,2.2966508,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-3.0328424,-2.8661175,agent,patient,-0.16672489999999973,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-2.632363,-0.10237895,patient,patient,-2.52998405,0.5512745470387167,0.58333333325,1.176470588
album,-1.2611107,-0.49906537,patient,patient,-0.7620453299999999,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-2.5022526,-0.29657868,patient,patient,-2.2056739199999997,0.6993929901941651,0.72222222225,1.281045752
announcer,-4.6063347,-9.375358,agent,agent,4.769023300000001,0.9088548566583649,0.9444444445,0.1830065359
artisan,-3.1000051,-2.84702,agent,patient,-0.2529851000000001,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.6498984,-1.3129768,agent,patient,-0.33692160000000015,0.8388102441595283,0.9305555555,0.2124183007
author,-2.0806537,-6.6302943,agent,agent,4.5496406,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.7559487,-0.47562754,agent,patient,-1.28032116,0.6835275033180946,0.9444444445,0.1830065359
backpack,-2.0458055,-0.17828786,patient,patient,-1.8675176400000002,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-2.1180546,-2.8671696,agent,agent,0.7491150000000002,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.1111466,-0.7288839,patient,patient,-0.38226270000000007,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.2376105,-0.77324724,agent,patient,-0.46436325999999994,0.8327493152398071,0.875,0.7352941176
barber,-2.348967,-0.47846478,agent,patient,-1.87050222,0.7248762775364598,0.9305555555,0.2124183007
basket,-2.9674697,-0.07254141,patient,patient,-2.89492829,0.2088464198880839,0.19444444449999998,1.006535948
beard,-2.6678872,-0.12947431,patient,patient,-2.53841289,0.3522682168119178,0.15277777775,0.4869281046
bedding,-0.94116676,-0.6101979,patient,patient,-0.33096886000000003,0.3901065107242925,0.15277777775,0.839869281
bike,-1.8546237,-0.20470035,patient,patient,-1.6499233500000001,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-2.7570493,-0.07888618,patient,patient,-2.67816312,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.80590904,-3.3583162,agent,agent,2.55240716,0.8292682926829268,0.861111111,0.614379085
board,-1.4937341,-0.78674865,patient,patient,-0.7069854499999999,0.7414235775059675,0.18055555550000002,0.5653594771
book,-1.2069163,-0.4659096,patient,patient,-0.7410067,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-2.1469035,-0.21128412,patient,patient,-1.9356193800000001,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-2.4279277,-0.11639107,patient,patient,-2.31153663,0.2281092633291224,0.13888888900000002,0.3790849673
