noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-2.8611774,-0.3185979,patient,patient,-2.5425795,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.0014079111,-15.77237,agent,agent,15.770962088900001,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-0.044590134,-3.9616394,patient,agent,3.9170492660000003,0.5512745470387167,0.58333333325,1.176470588
album,-11.435266,-0.001938807,patient,patient,-11.433327193,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-0.06430392,-3.0293703,patient,agent,2.96506638,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.0006570705,-15.583191,agent,agent,15.582533929499998,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.0014977466,-15.533888,agent,agent,15.5323902534,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.0014758995,-17.006607,agent,agent,17.005131100499998,0.8388102441595283,0.9305555555,0.2124183007
author,-0.0013051938,-16.217426,agent,agent,16.2161208062,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.0016994165,-15.342148,agent,agent,15.3404485835,0.6835275033180946,0.9444444445,0.1830065359
backpack,-6.2451134,-0.003106133,patient,patient,-6.242007267,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-0.0014677801,-12.318238,agent,agent,12.316770219899999,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-8.029198,-0.0017815146,patient,patient,-8.0274164854,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.0013142048,-16.323956,agent,agent,16.3226417952,0.8327493152398071,0.875,0.7352941176
barber,-0.0019433462,-12.686076,agent,agent,12.6841326538,0.7248762775364598,0.9305555555,0.2124183007
basket,-11.521806,-0.0017048494,patient,patient,-11.5201011506,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.7005969,-0.20363359,patient,patient,-1.4969633100000002,0.3522682168119178,0.15277777775,0.4869281046
bedding,-13.182787,-0.0019282378,patient,patient,-13.1808587622,0.3901065107242925,0.15277777775,0.839869281
bike,-0.030346567,-3.852606,patient,agent,3.822259433,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-14.402448,-0.002464187,patient,patient,-14.399983813,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.0012344711,-15.895088,agent,agent,15.8938535289,0.8292682926829268,0.861111111,0.614379085
board,-9.022937,-0.0014158501,patient,patient,-9.0215211499,0.7414235775059675,0.18055555550000002,0.5653594771
book,-10.084262,-0.0018485117,patient,patient,-10.0824134883,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-10.798452,-0.0021498222,patient,patient,-10.7963021778,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-13.240759,-0.0019503336,patient,patient,-13.2388086664,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-10.700511,-0.001754228,patient,patient,-10.698756772000001,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-0.0008630414,-16.005423,agent,agent,16.0045599586,0.8976559616094499,0.888888889,0.3790849673
building,-10.439069,-0.0009596314,patient,patient,-10.4381093686,0.5989896090029184,0.22222222225,0.9281045752
bus,-0.50913936,-1.0463374,patient,agent,0.53719804,0.3936552556306598,0.54166666675,1.205882353
busboy,-0.00214546,-13.849281,agent,agent,13.84713554,0.7171145685997171,0.8194444445,0.5653594771
businessman,-0.0011681094,-16.983011,agent,agent,16.981842890600003,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-0.0009879703,-16.646229,agent,agent,16.645241029700003,0.7570036540803897,0.9305555555,0.3300653595
butcher,-0.0018900179,-14.66727,agent,agent,14.665379982100001,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-10.175492,-0.0012421699,patient,patient,-10.1742498301,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-0.001628845,-14.245547,agent,agent,14.243918155,0.705324074074074,0.875,0.6176470588
camper,-0.0017154749,-9.742152,agent,agent,9.740436525100002,0.7956975142651014,0.8194444445,1.153594771
canvas,-13.575555,-0.0014757793,patient,patient,-13.5740792207,0.3871303934847232,0.125,0.3823529412
captain,-0.0010944168,-18.045559,agent,agent,18.0444645832,0.7774360758884372,0.9027777777499999,0.3692810458
car,-0.07121228,-3.8984892,patient,agent,3.82727692,0.3570064841756182,0.52777777775,1.163398693
cardboard,-13.326929,-0.0016398901,patient,patient,-13.3252891099,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-14.637071,-0.0021814818,patient,patient,-14.634889518200001,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-0.001841944,-14.480408,agent,agent,14.478566056,0.8386251851851851,0.888888889,0.3790849673
