noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.0553045272827148,-0.6887616515159607,patient,patient,-0.36654287576675415,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.119521141052246,-0.6011887192726135,agent,patient,-0.5183324217796326,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.7013003826141355,-0.4971463084220886,patient,patient,-1.204154074192047,0.5512745470387167,0.58333333325,1.176470588
album,-1.5717287063598633,-0.419504165649414,patient,patient,-1.1522245407104492,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-1.2995920181274414,-0.5924663543701172,patient,patient,-0.7071256637573242,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.5737552642822266,-0.3841199576854706,agent,patient,-1.189635306596756,0.9088548566583649,0.9444444445,0.1830065359
artisan,-1.42560076713562,-0.3883416950702667,agent,patient,-1.0372590720653532,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.3964117765426636,-0.4577673673629761,agent,patient,-0.9386444091796875,0.8388102441595283,0.9305555555,0.2124183007
author,-1.0847089290618896,-0.6190497279167175,agent,patient,-0.4656592011451721,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.4013314247131348,-0.4447846412658691,agent,patient,-0.9565467834472656,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.286409616470337,-0.4510976672172546,patient,patient,-0.8353119492530823,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.1278116703033447,-0.5489590167999268,agent,patient,-0.578852653503418,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.369013786315918,-0.472516119480133,patient,patient,-0.8964976668357849,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.891082763671875,-0.2895602881908417,agent,patient,-1.6015224754810333,0.8327493152398071,0.875,0.7352941176
barber,-1.565699577331543,-0.4273310303688049,agent,patient,-1.138368546962738,0.7248762775364598,0.9305555555,0.2124183007
basket,-1.860631346702576,-0.3012498617172241,patient,patient,-1.5593814849853518,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.2521328926086426,-0.4793925285339355,patient,patient,-0.772740364074707,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.915343999862671,-0.4480158686637878,patient,patient,-1.467328131198883,0.3901065107242925,0.15277777775,0.839869281
bike,-1.5959826707839966,-0.3534175157546997,patient,patient,-1.2425651550292969,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-1.5040298700332642,-0.4294201135635376,patient,patient,-1.0746097564697266,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-1.214543104171753,-0.5309721827507019,agent,patient,-0.683570921421051,0.8292682926829268,0.861111111,0.614379085
board,-1.5797922611236572,-0.4140713512897491,patient,patient,-1.165720909833908,0.7414235775059675,0.18055555550000002,0.5653594771
book,-1.5432051420211792,-0.4389075040817261,patient,patient,-1.1042976379394531,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-1.6400697231292725,-0.4353941082954407,patient,patient,-1.2046756148338318,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-1.9492151737213133,-0.4090731739997864,patient,patient,-1.5401419997215269,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.6233136653900146,-0.3613774478435516,patient,patient,-1.261936217546463,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-1.8707292079925537,-0.3612306118011474,agent,patient,-1.5094985961914062,0.8976559616094499,0.888888889,0.3790849673
building,-1.404229760169983,-0.5478006601333618,patient,patient,-0.8564291000366211,0.5989896090029184,0.22222222225,0.9281045752
bus,-1.7943406105041504,-0.3378137946128845,patient,patient,-1.4565268158912659,0.3936552556306598,0.54166666675,1.205882353
busboy,-1.274803876876831,-0.4420154392719269,agent,patient,-0.8327884376049042,0.7171145685997171,0.8194444445,0.5653594771
businessman,-1.2622356414794922,-0.4852895438671112,agent,patient,-0.776946097612381,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-1.0993890762329102,-0.6952075958251953,agent,patient,-0.40418148040771484,0.7570036540803897,0.9305555555,0.3300653595
butcher,-1.6153234243392944,-0.3418945372104645,agent,patient,-1.27342888712883,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-1.993760228157044,-0.2384969294071197,patient,patient,-1.7552632987499242,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-1.7956149578094482,-0.3642261624336242,agent,patient,-1.431388795375824,0.705324074074074,0.875,0.6176470588
camper,-1.5500986576080322,-0.352524995803833,agent,patient,-1.1975736618041992,0.7956975142651014,0.8194444445,1.153594771
canvas,-1.623654842376709,-0.328100711107254,patient,patient,-1.295554131269455,0.3871303934847232,0.125,0.3823529412
captain,-1.0508174896240234,-0.6626529097557068,agent,patient,-0.38816457986831665,0.7774360758884372,0.9027777777499999,0.3692810458
car,-1.6866960525512695,-0.4998779892921448,patient,patient,-1.1868180632591248,0.3570064841756182,0.52777777775,1.163398693
cardboard,-1.4837528467178345,-0.3695827722549438,patient,patient,-1.1141700744628906,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-1.4215381145477295,-0.4096515476703644,patient,patient,-1.0118865668773651,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-1.5635082721710205,-0.3768655955791473,agent,patient,-1.1866426765918732,0.8386251851851851,0.888888889,0.3790849673
caterer,-1.5006223917007446,-0.382150262594223,agent,patient,-1.1184721291065216,0.5684324715241367,0.875,0.5
cd,-1.4088857173919678,-0.405508816242218,patient,patient,-1.0033769011497498,0.6047404328075499,0.25,0.8235294118
cellist,-1.343531847000122,-0.4657756686210632,agent,patient,-0.8777561783790588,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-1.750481367111206,-0.3116061985492706,patient,patient,-1.4388751685619354,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-1.1865532398223877,-0.6130402684211731,agent,patient,-0.5735129714012146,0.7000186396947015,0.8194444445,0.9183006536
chef,-1.4287197589874268,-0.4270403385162353,agent,patient,-1.0016794204711914,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-1.2129051685333252,-0.5818712711334229,patient,patient,-0.6310338973999023,0.661941251596424,0.3194444445,0.9183006536
clarinet,-1.6986610889434814,-0.3079331219196319,patient,patient,-1.3907279670238495,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-1.5010842084884644,-0.3890560567378998,agent,patient,-1.1120281517505646,0.7790178571428571,0.875,0.9705882353
clay,-1.43896484375,-0.3926478028297424,patient,patient,-1.0463170409202576,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-1.1121814250946045,-0.8543078303337097,agent,patient,-0.2578735947608948,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-1.2541821002960205,-0.5531361699104309,agent,patient,-0.7010459303855896,0.7568317979152734,0.8194444445,0.5653594771
