noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.628506,-0.60472804,patient,patient,-1.0237779599999999,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.3709686,-0.62949806,agent,patient,-0.7414705400000001,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.8324229,-0.93930006,patient,patient,-0.8931228400000001,0.5512745470387167,0.58333333325,1.176470588
album,-1.6070181,-0.80862486,patient,patient,-0.7983932399999999,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-2.16847,-0.6008505,patient,patient,-1.5676195000000002,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.5756695,-1.2377905,agent,patient,-0.33787900000000004,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.9003906,-1.4123306,agent,agent,0.51194,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.3125167,-1.5464356,agent,agent,0.23391889999999993,0.8388102441595283,0.9305555555,0.2124183007
author,-1.2306136,-1.1669035,agent,patient,-0.06371009999999999,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.97845596,-1.0479217,agent,agent,0.06946574000000005,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.8609706,-1.015196,patient,patient,-0.8457745999999999,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.6775767,-1.0343332,agent,patient,-0.6432434999999999,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-2.7100399,-1.2274722,patient,patient,-1.4825677,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.8468992,-0.6405948,agent,patient,-1.2063044,0.8327493152398071,0.875,0.7352941176
barber,-2.2175164,-0.5738072,agent,patient,-1.6437092,0.7248762775364598,0.9305555555,0.2124183007
basket,-2.1437113,-0.9736026,patient,patient,-1.1701087000000001,0.2088464198880839,0.19444444449999998,1.006535948
beard,-2.283617,-0.5676787,patient,patient,-1.7159383,0.3522682168119178,0.15277777775,0.4869281046
bedding,-2.608235,-0.72762966,patient,patient,-1.8806053400000002,0.3901065107242925,0.15277777775,0.839869281
bike,-1.5175587,-0.8933979,patient,patient,-0.6241608,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-3.1353948,-0.479942,patient,patient,-2.6554528,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-1.8689121,-1.1307319,agent,patient,-0.7381802,0.8292682926829268,0.861111111,0.614379085
board,-2.1673787,-1.0122685,patient,patient,-1.1551102,0.7414235775059675,0.18055555550000002,0.5653594771
book,-1.4858745,-0.7496523,patient,patient,-0.7362221999999999,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-2.0006664,-0.70346415,patient,patient,-1.2972022500000002,0.1436385818924487,0.18055555550000002,1.035947712
