noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.2326499,-0.4963733,patient,patient,-0.7362766,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.6000012,-0.6620092,agent,patient,-0.9379919999999999,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.0892881,-0.53535205,patient,patient,-0.5539360500000001,0.5512745470387167,0.58333333325,1.176470588
album,-1.0936949,-0.4860899,patient,patient,-0.607605,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-0.98350275,-0.81242883,patient,patient,-0.17107392,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.8673934,-0.9513587,agent,patient,-0.9160347000000001,0.9088548566583649,0.9444444445,0.1830065359
artisan,-1.7826746,-0.61784136,agent,patient,-1.16483324,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.4717342,-0.47770038,agent,patient,-0.9940338200000001,0.8388102441595283,0.9305555555,0.2124183007
author,-1.2106984,-1.0399297,agent,patient,-0.1707687,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.3083199,-0.49223608,agent,patient,-0.81608382,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.0045888,-0.5599153,patient,patient,-0.44467350000000005,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.3799016,-0.40111706,agent,patient,-0.9787845399999999,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-0.96365345,-0.6664674,patient,patient,-0.29718605,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.4706569,-0.3434139,agent,patient,-1.127243,0.8327493152398071,0.875,0.7352941176
barber,-1.9576108,-0.31184548,agent,patient,-1.6457653200000002,0.7248762775364598,0.9305555555,0.2124183007
basket,-1.3740654,-0.38204953,patient,patient,-0.9920158700000001,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.4750167,-0.33110145,patient,patient,-1.14391525,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.1556094,-0.4969674,patient,patient,-0.658642,0.3901065107242925,0.15277777775,0.839869281
bike,-0.8091021,-0.69596577,patient,patient,-0.11313633000000001,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-1.6825497,-0.25023574,patient,patient,-1.43231396,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.9763973,-0.82952374,agent,patient,-0.14687356000000007,0.8292682926829268,0.861111111,0.614379085
board,-0.8967358,-0.6901223,patient,patient,-0.2066135,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.89607966,-0.6354452,patient,patient,-0.2606344599999999,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-1.0568509,-0.56532353,patient,patient,-0.4915273699999999,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-1.2313563,-0.49577567,patient,patient,-0.7355806300000001,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.1952434,-0.44589183,patient,patient,-0.7493515700000001,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-1.2044977,-0.68917024,agent,patient,-0.5153274599999998,0.8976559616094499,0.888888889,0.3790849673
building,-0.89445657,-0.66633373,patient,patient,-0.22812284000000005,0.5989896090029184,0.22222222225,0.9281045752
bus,-1.0049506,-0.669284,patient,patient,-0.3356665999999999,0.3936552556306598,0.54166666675,1.205882353
busboy,-1.2860631,-0.54415023,agent,patient,-0.7419128700000001,0.7171145685997171,0.8194444445,0.5653594771
businessman,-1.3563979,-0.4869235,agent,patient,-0.8694743999999999,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-1.1335561,-0.54900336,agent,patient,-0.58455274,0.7570036540803897,0.9305555555,0.3300653595
butcher,-1.7469462,-0.34266454,agent,patient,-1.40428166,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-1.6213834,-0.26996595,patient,patient,-1.35141745,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-1.3976054,-0.46921313,agent,patient,-0.92839227,0.705324074074074,0.875,0.6176470588
camper,-1.2863863,-0.49024168,agent,patient,-0.79614462,0.7956975142651014,0.8194444445,1.153594771
canvas,-1.3358314,-0.36277452,patient,patient,-0.97305688,0.3871303934847232,0.125,0.3823529412
captain,-1.2881421,-0.51590246,agent,patient,-0.77223964,0.7774360758884372,0.9027777777499999,0.3692810458
car,-0.9577527,-0.65711075,patient,patient,-0.30064195000000005,0.3570064841756182,0.52777777775,1.163398693
cardboard,-1.4311054,-0.3525035,patient,patient,-1.0786019,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-1.1310986,-0.49066257,patient,patient,-0.64043603,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-1.7177104,-0.3733388,agent,patient,-1.3443716,0.8386251851851851,0.888888889,0.3790849673
caterer,-1.7537696,-0.34999925,agent,patient,-1.40377035,0.5684324715241367,0.875,0.5
cd,-0.7931048,-0.9244219,patient,agent,0.13131709999999996,0.6047404328075499,0.25,0.8235294118
cellist,-1.6906044,-0.5808932,agent,patient,-1.1097112,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-1.2275279,-0.5366652,patient,patient,-0.6908626999999999,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-1.4977207,-0.4905663,agent,patient,-1.0071544,0.7000186396947015,0.8194444445,0.9183006536
chef,-1.9035546,-0.29891375,agent,patient,-1.60464085,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-1.3545891,-0.5595643,patient,patient,-0.7950248000000001,0.661941251596424,0.3194444445,0.9183006536
clarinet,-1.2821282,-0.49065867,patient,patient,-0.7914695300000001,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-1.3639781,-0.7210204,agent,patient,-0.6429577,0.7790178571428571,0.875,0.9705882353
clay,-1.3236531,-0.45691186,patient,patient,-0.8667412400000001,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-0.92430806,-0.90227616,agent,patient,-0.022031899999999993,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-0.84670186,-0.9882062,agent,agent,0.14150434,0.7568317979152734,0.8194444445,0.5653594771
cloth,-1.1920298,-0.5210342,patient,patient,-0.6709956,0.2985090774863912,0.15277777775,0.9575163399
coat,-1.4018399,-0.37865594,patient,patient,-1.02318396,0.2074233122822833,0.18055555550000002,0.6830065359
code,-0.62976754,-0.89006346,patient,agent,0.26029592,0.4440540805082204,0.47222222225,1.751633987
comedian,-1.8295542,-0.5943552,agent,patient,-1.2351990000000002,0.7264500011783838,0.9166666667500001,0.2352941176
