noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-0.7139507,-0.88560736,patient,agent,0.1716566599999999,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.7449107,-0.670382,agent,patient,-0.0745287,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-0.6854345,-0.8096368,patient,agent,0.1242023000000001,0.5512745470387167,0.58333333325,1.176470588
album,-0.9409057,-0.61477464,patient,patient,-0.3261310599999999,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-0.75605154,-0.6731988,patient,patient,-0.08285273999999998,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.50887,-0.92527395,agent,agent,0.41640394999999997,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.35285264,-1.3693984,agent,agent,1.0165457599999999,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.52816135,-1.0050753,agent,agent,0.4769139499999999,0.8388102441595283,0.9305555555,0.2124183007
author,-0.4966423,-1.0551629,agent,agent,0.5585206,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.47604364,-1.0313313,agent,agent,0.55528766,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.1722075,-0.4274018,patient,patient,-0.7448057000000001,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-0.91388965,-0.5250456,agent,patient,-0.38884405,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.0592631,-0.48987246,patient,patient,-0.56939064,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.5838246,-0.9096929,agent,agent,0.3258683,0.8327493152398071,0.875,0.7352941176
barber,-0.82064116,-0.6247381,agent,patient,-0.19590306000000002,0.7248762775364598,0.9305555555,0.2124183007
basket,-1.2353112,-0.39242327,patient,patient,-0.84288793,0.2088464198880839,0.19444444449999998,1.006535948
beard,-0.85820925,-0.5970689,patient,patient,-0.26114035,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.1769619,-0.38884312,patient,patient,-0.78811878,0.3901065107242925,0.15277777775,0.839869281
bike,-1.0002632,-0.5030038,patient,patient,-0.4972594,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-1.0944176,-0.5095432,patient,patient,-0.5848744000000001,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.6259651,-0.7750512,agent,agent,0.1490861,0.8292682926829268,0.861111111,0.614379085
board,-1.0277969,-0.49063054,patient,patient,-0.5371663600000001,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.91433483,-0.5412435,patient,patient,-0.37309133000000005,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-1.1147852,-0.46333224,patient,patient,-0.6514529600000001,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-1.0048463,-0.50421685,patient,patient,-0.50062945,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.0562243,-0.5224042,patient,patient,-0.5338201,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-0.61631495,-0.91327035,agent,agent,0.2969554,0.8976559616094499,0.888888889,0.3790849673
building,-0.7123869,-0.7252323,patient,agent,0.012845400000000007,0.5989896090029184,0.22222222225,0.9281045752
bus,-1.0742478,-0.4729867,patient,patient,-0.6012611,0.3936552556306598,0.54166666675,1.205882353
busboy,-0.7794548,-0.65417254,agent,patient,-0.12528225999999998,0.7171145685997171,0.8194444445,0.5653594771
businessman,-0.5964089,-0.88760096,agent,agent,0.29119206,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-0.45605585,-1.0537367,agent,agent,0.5976808499999999,0.7570036540803897,0.9305555555,0.3300653595
butcher,-0.49898005,-0.9254576,agent,agent,0.42647755,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-0.83892584,-0.6135492,patient,patient,-0.22537664000000002,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-0.6447591,-0.90212375,agent,agent,0.25736465,0.705324074074074,0.875,0.6176470588
camper,-0.80149275,-0.5807498,agent,patient,-0.22074295,0.7956975142651014,0.8194444445,1.153594771
canvas,-0.7919101,-0.7103816,patient,patient,-0.0815285,0.3871303934847232,0.125,0.3823529412
captain,-0.6068109,-0.8233553,agent,agent,0.21654439999999997,0.7774360758884372,0.9027777777499999,0.3692810458
car,-0.746057,-0.7033112,patient,patient,-0.042745799999999945,0.3570064841756182,0.52777777775,1.163398693
cardboard,-0.96499884,-0.49798334,patient,patient,-0.46701550000000003,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-1.0869282,-0.4459111,patient,patient,-0.6410171,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-0.70628315,-0.69604766,agent,patient,-0.010235490000000014,0.8386251851851851,0.888888889,0.3790849673
caterer,-0.7394178,-0.6769216,agent,patient,-0.0624962,0.5684324715241367,0.875,0.5
cd,-0.8845561,-0.64075214,patient,patient,-0.24380395999999993,0.6047404328075499,0.25,0.8235294118
cellist,-0.6240069,-0.8930402,agent,agent,0.2690332999999999,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-1.006476,-0.4463996,patient,patient,-0.5600763999999999,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-0.6266625,-0.79415506,agent,agent,0.16749256,0.7000186396947015,0.8194444445,0.9183006536
chef,-0.51830035,-0.8776759,agent,agent,0.35937555,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-0.56117177,-0.95231616,patient,agent,0.39114439,0.661941251596424,0.3194444445,0.9183006536
clarinet,-0.7683683,-0.70881844,patient,patient,-0.059549859999999954,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-0.47475678,-0.97932005,agent,agent,0.50456327,0.7790178571428571,0.875,0.9705882353
clay,-0.77049494,-0.6731668,patient,patient,-0.09732814000000001,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-0.5088285,-0.8424143,agent,agent,0.33358579999999993,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-0.56857646,-0.87632716,agent,agent,0.30775070000000004,0.7568317979152734,0.8194444445,0.5653594771
cloth,-0.85106605,-0.58559525,patient,patient,-0.2654708,0.2985090774863912,0.15277777775,0.9575163399
coat,-0.9345112,-0.5617657,patient,patient,-0.37274549999999995,0.2074233122822833,0.18055555550000002,0.6830065359
