noun,semantic role,gpt3-davinci,gpt3-babbage,text-davinci-001,bloom-1b1,bloom-3b,gpt2-x,bloom-560m,gpt3-ada,gpt3-curie,text-davinci-003,gpt2-medium,gpt2-xl,bloom-1b7,text-ada-001,gpt2-large,text-curie-001,text-babbage-001,bloom-7b1
abstract,patient,0.12653014,-1.72958167,4.715408101,-0.25,1.76513671875,0.7635192275047302,-1.5,-1.82835948,0.09659196,-2.5425795,-0.4705772995948791,0.9639759361743928,-0.40625,-5.109652358,-0.6879472732543945,2.2966508,-6.67058611,-0.03125
actor,agent,0.79462212,-1.10729877,7.226743177799999,0.875,1.87548828125,2.528953582048416,-0.5,-1.5363905,0.4841728399999999,15.7709620889,0.281437873840332,0.9275503158569336,0.09375,0.1382799999999999,0.1960334777832033,-0.1667248999999997,-3.4080814,0.078125
aircraft,patient,0.6030959599999999,-1.2836112,4.651116401,1.398193359375,1.765380859375,0.94222640991211,-1.000244140625,-1.89885595,0.6503370999999999,3.917049266,-0.4264697432518003,0.7684021592140198,-0.46875,0.0258065,-1.2371234595775604,-2.52998405,-4.345842367,0.0625
album,patient,0.1810533,-1.5510731000000002,3.242376952,-0.75048828125,1.28173828125,0.2685604095458984,-2.749755859375,-2.75224394,0.9209404,-11.433327193,-0.4669628143310549,0.3524618148803711,-0.71875,-5.397593396,-0.9789294600486756,-0.7620453299999999,-6.730549603,1.15576171875
animal,patient,0.2273330599999999,-1.92646585,2.26168593,0.34375,2.296630859375,0.4442406296730041,-1.749267578125,-1.7044964,0.8286697500000001,2.96506638,0.044057846069336,0.9228668808937072,-0.749755859375,2.4069283,-0.9430389404296876,-2.20567392,-4.9307875,0.09375
announcer,agent,1.4449196,-0.98742296,7.86027067,0.45263671875,2.546875,2.6338614225387573,-0.25,-0.8728284399999999,0.9366205999999996,15.582533929499998,0.3879356384277344,0.9589843451976776,-1.125,5.0020518,0.0183248519897458,4.769023300000001,-3.6256534,0.46923828125
artisan,agent,1.93346893,0.1729077999999999,4.204524206,0.43701171875,2.000732421875,1.3006632328033447,-0.75,-1.1023295000000002,0.4892616399999999,15.5323902534,0.0265522003173828,0.9712543785572052,0.0,2.02325625,0.3848419189453125,-0.2529851000000001,-2.1658467000000003,0.59326171875
artist,agent,1.25091923,-0.0967816999999999,4.37268846,0.18798828125,2.110107421875,1.9556885361671448,-0.74951171875,-2.0954292,0.4884986,17.005131100499998,-0.2412052750587463,0.9410800337791444,-0.28125,-0.7018323999999998,-0.3466777801513669,-0.3369216000000001,-3.10812965,0.68701171875
author,agent,1.46830002,-0.3823242,5.69158854,0.71826171875,3.077392578125,1.9794787168502808,0.75,-1.2569884999999998,1.3177757,16.2161208062,0.8392180800437927,1.1939659118652344,-0.15625,1.5920481999999998,0.9092779755592346,4.5496406,-1.8149657,0.765625
aviator,agent,1.45151315,-0.224348,4.104940906,1.15625,2.4063720703125,1.3098602890968325,-1.5,-1.4979611999999998,1.0499094,15.3404485835,-0.4325466752052305,1.181375443935394,-0.1875,2.47913726,-0.6342811584472658,-1.28032116,-4.314959437,0.171875
backpack,patient,-0.43304384,-1.3841548,3.102363318,-0.109375,1.296630859375,0.4879378676414491,-2.2493896484375,-2.5264548,0.85780327,-6.242007267,-0.3653135299682617,0.8774748146533966,-0.3125,-3.34269886,-0.910987913608551,-1.86751764,-4.011603849999999,1.077880859375
