verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.16666666666666666,0.4583333333333333,0.3333333333333333,-0.22916666666666666,0.03515625
carves,20,28,0.2,0.8571428571428571,0.5833333333333334,-0.37891845703125,-0.25169154575892855
cleans,21,33,0.6190476190476191,0.12121212121212122,0.3148148148148148,0.033482142857142856,0.36840080492424243
cooks,12,33,0.0,0.3939393939393939,0.28888888888888886,-0.16666666666666666,0.11362156723484848
cuts,16,24,0.0,0.4583333333333333,0.275,-0.409088134765625,0.060546875
drives,9,27,1.0,0.0,0.25,0.6685384114583334,0.6376862702546297
embroiders,12,16,0.0,0.0,0.0,-0.4101765950520833,0.24224853515625
flies,12,12,1.0,0.0,0.5,1.1536661783854167,1.0273030598958333
knits,20,15,0.4,0.0,0.22857142857142856,0.05782470703125,0.24270833333333333
packs,16,24,0.75,0.25,0.45,0.281219482421875,0.097686767578125
paints,20,28,0.8,0.07142857142857142,0.375,0.11171875,0.20647321428571427
performs,7,6,0.7142857142857143,0.6666666666666666,0.6923076923076923,0.26112583705357145,0.1353759765625
photographs,4,14,1.0,0.0,0.2222222222222222,0.203125,0.5011858258928571
plays,14,12,0.0,0.9166666666666666,0.4230769230769231,-0.4608851841517857,-0.4126790364583333
reads,14,20,0.5714285714285714,0.0,0.23529411764705882,0.04685756138392857,0.4804931640625
sculpts,15,15,0.2,0.6,0.4,-0.26564127604166665,-0.09166666666666666
sells,27,45,1.0,0.0,0.375,0.8096426504629629,0.7853732638888888
sews,12,8,0.3333333333333333,0.5,0.4,-0.20314534505208334,0.240234375
shaves,6,9,0.0,0.5555555555555556,0.3333333333333333,-0.4610595703125,-0.019097222222222224
stitches,20,28,0.2,0.9642857142857143,0.6458333333333334,-0.28123779296875,-0.19642857142857142
turns,16,28,1.0,0.0,0.36363636363636365,0.6035614013671875,0.4408482142857143
washes,8,18,0.75,0.2777777777777778,0.4230769230769231,0.1953125,0.1354031032986111
writes,24,10,0.875,0.0,0.6176470588235294,0.390594482421875,0.753125
