verb,overall_acc,avg_LL_delta
bakes,0.6666666666666666,-0.24483235677083334
carves,0.8541666666666666,-0.5058186848958334
cleans,0.37037037037037035,0.09662995515046297
cooks,0.6,-0.16797417534722223
cuts,0.575,-0.23782958984375
drives,0.1388888888888889,0.4809027777777778
embroiders,0.5714285714285714,-0.25783865792410715
flies,0.0,0.7741597493489584
knits,0.5714285714285714,-0.1821010044642857
packs,0.475,-0.036712646484375
paints,0.4375,-0.069976806640625
performs,0.7692307692307693,-0.2932692307692308
photographs,0.3333333333333333,0.20130750868055555
plays,1.0,-0.7602445162259616
reads,0.8235294117647058,-0.26468434053308826
sculpts,0.6333333333333333,-0.17344563802083332
sells,0.1388888888888889,0.4592556423611111
sews,0.75,-0.266455078125
shaves,0.8,-0.4385904947916667
stitches,0.8958333333333334,-0.4768931070963542
turns,0.22727272727272727,0.3203125
washes,0.38461538461538464,0.1010272686298077
writes,0.4411764705882353,-0.002786075367647059
