noun,avg_LL_delta
abstract,1.76513671875
actor,1.87548828125
aircraft,1.765380859375
album,1.28173828125
animal,2.296630859375
announcer,2.546875
artisan,2.000732421875
artist,2.110107421875
author,3.077392578125
aviator,2.4063720703125
backpack,1.296630859375
backpacker,2.0618896484375
bag,1.62548828125
baker,2.187744140625
barber,1.656005859375
basket,1.390380859375
beard,1.7652587890625
bedding,0.79736328125
bike,1.484375
blanket,0.922119140625
blogger,2.687744140625
board,1.59326171875
book,1.874267578125
bottle,0.984619140625
bowl,0.90625
bread,1.875
broadcaster,3.18701171875
building,1.96875
bus,1.875732421875
busboy,1.968017578125
businessman,3.0321044921875
businesswoman,3.328857421875
butcher,2.48431396484375
cake,2.078857421875
cameraman,2.344482421875
camper,1.828369140625
canvas,0.984619140625
captain,2.515380859375
car,2.687744140625
cardboard,1.546875
carpet,1.938232421875
carver,1.999755859375
caterer,2.4849853515625
cd,1.7041015625
cellist,2.014892578125
cello,1.843994140625
chauffeur,2.42138671875
chef,2.89056396484375
choreography,1.53173828125
clarinet,1.70361328125
clarinetist,2.04638671875
clay,1.452880859375
cleaner,3.07745361328125
clerk,2.67120361328125
cloth,1.608642578125
coat,2.25
code,2.390625
comedian,2.375732421875
concerto,1.8125
confectioner,2.14111328125
container,1.35888671875
convertible,1.42236328125
cook,2.0941162109375
cotton,1.23388671875
countertop,1.46923828125
crate,2.01513671875
cushion,1.531005859375
cut,2.8427734375
dancer,2.43701171875
dealer,2.7177734375
dish,1.203369140625
doctor,1.171630859375
dough,2.35888671875
dressmaker,1.999267578125
driver,2.31201171875
drug,1.64111328125
drummer,1.82763671875
duffle,1.702880859375
essay,2.1416015625
essayist,2.7802734375
fabric,1.468505859375
fillet,1.390380859375
fish,1.781982421875
floor,1.890869140625
flute,1.17138671875
flutist,1.3125
food,2.266357421875
gem,2.60986328125
glass,0.671875
hairdresser,2.0772705078125
handle,2.234130859375
hat,1.531494140625
herb,1.625244140625
hiker,1.76611328125
housekeeper,2.96923828125
ice,1.484375
illustrator,1.50048828125
ingredient,2.5478515625
instrument,0.8125
item,1.7041015625
jacket,1.781494140625
janitor,2.405517578125
jet,2.296875
jeweler,2.1568603515625
jewelry,2.03076171875
journalist,2.2808837890625
kite,2.3275146484375
knob,2.156982421875
lady,2.2803955078125
lake,1.656494140625
landscape,1.64111328125
letter,2.281005859375
line,1.28125
lotion,2.2646484375
lunchbox,1.15625
machine,1.40625
magazine,1.515380859375
maid,3.00048828125
make,2.6708984375
man,2.39111328125
marble,1.203125
mason,2.1881103515625
material,2.6103515625
meat,2.0947265625
mirror,0.765625
model,1.202880859375
motorcycle,1.140625
motorist,1.953369140625
mountain,1.70263671875
mover,1.42236328125
mushroom,1.28173828125
musician,2.828125
narrator,1.640625
notetaker,1.6884765625
novel,1.546875
novelist,2.3447265625
orator,2.7806396484375
packaging,1.937744140625
painter,1.67138671875
panel,0.75048828125
paper,1.31201171875
passage,1.23388671875
pastry,1.15625
patissier,1.328369140625
pattern,0.375
peddler,2.3433837890625
pepper,1.01513671875
person,2.28125
photographer,1.07763671875
pianist,1.453369140625
piano,0.84375
pie,1.46826171875
pilot,2.79638671875
pizza,1.437255859375
plane,2.20263671875
poem,1.78076171875
poet,2.0146484375
portraitist,1.797119140625
pot,0.5625
potato,0.140625
potter,0.828369140625
product,2.73388671875
professor,2.15576171875
proposal,2.56201171875
pumpkin,-0.43798828125
quilt,0.5625
racer,2.59375
report,2.04638671875
roadtripper,2.0155029296875
routine,1.03076171875
salesman,3.34332275390625
saleswoman,3.21795654296875
salmon,1.20361328125
scene,1.75048828125
screw,1.8427734375
scribe,1.781005859375
script,1.546875
sculptor,1.484619140625
seamster,1.656494140625
seamstress,1.858642578125
section,1.703857421875
shirt,1.42236328125
shopkeeper,2.5313720703125
sideburn,0.921875
silk,0.79638671875
silverware,0.968505859375
singer,2.766357421875
snack,2.015380859375
soloist,1.9375
sonata,1.8740234375
song,2.5947265625
steak,1.9835205078125
stone,0.93798828125
stubble,0.9375
student,2.54736328125
suitcase,1.40576171875
surface,1.2041015625
surgeon,0.59326171875
suv,0.84423828125
tailor,1.749755859375
tank,1.312255859375
teacher,2.5152587890625
telemarketer,2.32861328125
tent,1.796630859375
thread,1.3125
toy,1.281494140625
tractor,1.656982421875
trader,3.31201171875
traveller,2.32763671875
truck,1.797607421875
tub,0.203125
tuna,1.3125
turkey,2.5147705078125
upholsterer,2.3277587890625
valve,1.10888671875
van,1.969482421875
vegetable,1.265380859375
vehicle,2.172607421875
verse,1.29736328125
view,1.515625
violin,1.4375
violinist,1.76513671875
waiter,1.45361328125
waitress,1.6253662109375
wall,1.90673828125
window,1.703125
windshield,1.59375
woman,2.4366455078125
wood,1.890869140625
wool,1.9527587890625
worker,2.9224853515625
wound,2.093017578125
yarn,1.375244140625
