noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,0.9449462890625
actor,1,1.0,2.32769775390625
aircraft,3,1.0,2.7132771809895835
album,3,1.0,2.464263916015625
animal,2,1.0,1.999755859375
announcer,2,1.0,1.625
artisan,4,1.0,2.1366424560546875
artist,4,1.0,1.7889404296875
author,2,1.0,1.74237060546875
aviator,3,1.0,2.5931803385416665
backpack,2,1.0,2.49169921875
backpacker,2,1.0,2.2578125
bag,2,1.0,2.3287353515625
baker,6,1.0,2.2108866373697915
barber,7,1.0,2.2053745814732144
basket,2,1.0,2.148712158203125
beard,3,1.0,2.1142374674479165
bedding,5,1.0,2.481793212890625
bike,4,1.0,2.7699508666992188
blanket,2,1.0,2.5309295654296875
blogger,2,1.0,2.359405517578125
board,4,1.0,2.367584228515625
book,3,1.0,2.4481201171875
bottle,2,1.0,3.1411285400390625
bowl,2,1.0,2.624786376953125
bread,3,1.0,2.68719482421875
broadcaster,2,1.0,1.882568359375
building,2,1.0,1.0860595703125
bus,3,1.0,2.4739176432291665
busboy,5,1.0,2.653399658203125
businessman,3,1.0,2.0373331705729165
businesswoman,3,1.0,1.906494140625
butcher,4,1.0,1.8441162109375
cake,3,1.0,2.6769002278645835
cameraman,2,1.0,1.78118896484375
camper,2,1.0,2.5939788818359375
canvas,4,1.0,2.3750076293945312
captain,3,1.0,2.3537394205729165
car,12,1.0,2.3294219970703125
cardboard,4,1.0,2.417999267578125
carpet,3,1.0,2.99493408203125
carver,7,1.0,2.169956752232143
caterer,3,1.0,2.1460978190104165
cd,3,1.0,2.1664835611979165
cellist,2,1.0,2.335693359375
cello,2,1.0,2.726531982421875
chauffeur,3,1.0,2.369140625
chef,10,1.0,2.349957275390625
choreography,1,1.0,1.96826171875
clarinet,2,1.0,2.56280517578125
clarinetist,2,1.0,2.109527587890625
clay,6,1.0,2.380218505859375
cleaner,5,1.0,2.36552734375
clerk,2,1.0,2.070526123046875
cloth,8,1.0,2.1170425415039062
coat,2,1.0,2.8748321533203125
code,2,1.0,2.389862060546875
comedian,1,1.0,2.203125
concerto,1,1.0,2.781494140625
confectioner,3,1.0,1.8076171875
container,2,1.0,2.7259063720703125
convertible,3,1.0,1.8962809244791667
cook,6,1.0,1.9793802897135417
cotton,4,1.0,2.2499923706054688
countertop,3,1.0,2.52557373046875
crate,2,1.0,2.023681640625
cushion,4,1.0,2.011932373046875
cut,4,1.0,1.19140625
dancer,1,1.0,2.31207275390625
dealer,3,1.0,2.1616007486979165
dish,2,1.0,2.468292236328125
doctor,2,1.0,1.773590087890625
dough,3,1.0,2.3588663736979165
dressmaker,4,1.0,1.566436767578125
driver,7,1.0,1.9554617745535714
drug,3,1.0,2.09869384765625
drummer,2,1.0,2.195556640625
duffle,2,1.0,2.2733154296875
essay,4,1.0,1.851531982421875
essayist,2,1.0,2.32037353515625
fabric,20,1.0,2.342204284667969
fillet,3,1.0,1.9010416666666667
fish,3,1.0,2.0887654622395835
floor,3,1.0,2.6567586263020835
flute,2,1.0,2.437286376953125
flutist,2,1.0,2.172088623046875
food,2,1.0,2.663909912109375
gem,4,1.0,2.4651641845703125
glass,4,1.0,2.15972900390625
hairdresser,7,1.0,2.1942225864955356
handle,4,1.0,2.6950607299804688
hat,3,1.0,2.88494873046875
herb,3,1.0,2.2548624674479165
hiker,2,1.0,2.258544921875
housekeeper,3,1.0,2.203369140625
ice,7,1.0,2.3970947265625
illustrator,4,1.0,1.468994140625
ingredient,3,1.0,2.4121297200520835
instrument,2,1.0,1.90557861328125
item,3,1.0,2.62493896484375
jacket,2,1.0,2.8987884521484375
janitor,3,1.0,2.6823323567708335
jet,3,1.0,2.7554728190104165
jeweler,4,1.0,2.340118408203125
jewelry,3,1.0,2.9370218912760415
journalist,2,1.0,2.124420166015625
kite,3,1.0,2.8278299967447915
knob,4,1.0,2.5698013305664062
lady,5,1.0,2.02186279296875
lake,2,1.0,1.6954345703125
landscape,2,1.0,1.687744140625
letter,2,1.0,1.88299560546875
line,2,1.0,1.7574462890625
lotion,3,1.0,2.6099141438802085
lunchbox,2,1.0,2.6868133544921875
machine,8,1.0,1.8731231689453125
magazine,3,1.0,2.5832010904947915
maid,5,1.0,2.756292724609375
make,3,1.0,2.19293212890625
man,5,1.0,1.8623779296875
marble,3,1.0,2.2032470703125
mason,3,1.0,1.94317626953125
material,4,1.0,2.1251068115234375
meat,7,1.0,2.359715053013393
mirror,3,1.0,2.2554728190104165
model,2,1.0,1.29718017578125
motorcycle,4,1.0,2.4340667724609375
motorist,4,1.0,1.88677978515625
mountain,2,1.0,1.63287353515625
mover,2,1.0,2.140167236328125
mushroom,3,1.0,2.22918701171875
musician,3,1.0,2.08892822265625
narrator,2,1.0,0.7501220703125
notetaker,2,1.0,1.2423095703125
novel,3,1.0,2.39544677734375
novelist,2,1.0,2.1015625
orator,2,1.0,1.8048095703125
packaging,4,1.0,2.327880859375
painter,4,1.0,1.85565185546875
panel,4,1.0,1.418212890625
paper,4,1.0,2.2500457763671875
passage,6,1.0,1.10931396484375
pastry,3,1.0,1.8959147135416667
patissier,3,1.0,1.6562093098958333
pattern,5,1.0,1.1810791015625
peddler,3,1.0,1.9168294270833333
pepper,3,1.0,1.8542073567708333
person,30,1.0,1.7018961588541666
photographer,2,1.0,1.32794189453125
pianist,2,1.0,1.804443359375
piano,2,1.0,2.093475341796875
pie,3,1.0,2.1667683919270835
pilot,7,1.0,2.24334716796875
pizza,3,1.0,2.3072509765625
plane,3,1.0,2.5626220703125
poem,2,1.0,1.359130859375
poet,2,1.0,2.227020263671875
portraitist,4,1.0,1.3245849609375
pot,3,1.0,2.3746744791666665
potato,3,1.0,2.2811686197916665
potter,3,1.0,1.9638264973958333
product,3,1.0,2.29718017578125
professor,2,1.0,1.66375732421875
proposal,2,1.0,1.49224853515625
pumpkin,4,1.0,1.984771728515625
quilt,4,1.0,1.785186767578125
racer,4,1.0,2.1097564697265625
report,2,1.0,1.062255859375
roadtripper,2,1.0,2.3828125
routine,1,1.0,1.9522705078125
salesman,3,1.0,2.2813517252604165
saleswoman,3,1.0,2.1876017252604165
salmon,3,1.0,2.104736328125
scene,1,1.0,2.18682861328125
screw,4,1.0,2.366943359375
scribe,2,1.0,1.897918701171875
script,2,1.0,1.57037353515625
sculptor,7,1.0,2.16082763671875
seamster,8,1.0,1.89794921875
seamstress,4,1.0,1.577911376953125
section,2,1.0,1.69586181640625
shirt,2,1.0,2.8512725830078125
shopkeeper,3,1.0,1.7865804036458333
sideburn,3,1.0,1.7654622395833333
silk,4,1.0,2.093719482421875
silverware,3,1.0,2.6771443684895835
singer,1,1.0,2.64056396484375
snack,3,1.0,2.5365804036458335
soloist,1,1.0,2.0621337890625
sonata,1,1.0,2.64129638671875
song,1,1.0,2.53057861328125
steak,7,1.0,2.578578404017857
stone,7,1.0,2.0356532505580356
stubble,3,1.0,1.9324137369791667
student,4,1.0,1.6174774169921875
suitcase,2,1.0,2.359222412109375
surface,7,1.0,1.6920253208705358
surgeon,4,1.0,0.98431396484375
suv,6,1.0,2.429718017578125
tailor,12,1.0,1.7249654134114583
tank,3,1.0,2.1299031575520835
teacher,2,1.0,1.249755859375
telemarketer,3,1.0,1.9219767252604167
tent,2,1.0,2.436981201171875
thread,4,1.0,2.1096038818359375
toy,3,1.0,2.76593017578125
tractor,3,1.0,2.2081502278645835
trader,3,1.0,2.0416463216145835
traveller,2,1.0,2.321014404296875
truck,3,1.0,2.4793497721354165
tub,2,1.0,2.5936279296875
tuna,3,1.0,2.54150390625
turkey,4,1.0,2.5466156005859375
upholsterer,4,1.0,1.8989105224609375
