verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,1.0,0.0,0.42857142857142855,2.0155758327907987,1.9767786661783855
carves,20,28,1.0,0.0,0.4166666666666667,2.2756591796875,2.3356541224888394
cleans,21,33,1.0,0.0,0.3888888888888889,2.669682094029018,2.4395197088068183
cooks,12,33,1.0,0.0,0.26666666666666666,2.2225418090820312,2.0989028468276514
cuts,16,24,1.0,0.0,0.4,2.268688201904297,2.0839818318684897
drives,9,27,1.0,0.0,0.25,2.310818142361111,2.4055695710358798
embroiders,12,16,1.0,0.0,0.42857142857142855,1.7837575276692708,1.9618453979492188
flies,12,12,1.0,0.0,0.5,2.584747314453125,2.546666463216146
knits,20,15,1.0,0.0,0.5714285714285714,2.449200439453125,1.9009012858072916
packs,16,24,1.0,0.0,0.4,2.5028209686279297,2.3396644592285156
paints,20,28,1.0,0.0,0.4166666666666667,1.6844482421875,1.9465288434709822
performs,7,6,1.0,0.0,0.5384615384615384,2.2117832728794644,2.2525736490885415
photographs,4,14,1.0,0.0,0.2222222222222222,1.7107391357421875,1.8249555315290178
plays,14,12,1.0,0.0,0.5384615384615384,2.279087611607143,2.310033162434896
reads,14,20,1.0,0.0,0.4117647058823529,1.9542410714285714,1.390606689453125
sculpts,15,15,1.0,0.0,0.5,2.09964599609375,2.0293253580729167
sells,27,45,1.0,0.0,0.375,2.241360134548611,2.5541456434461804
sews,12,8,1.0,0.0,0.6,1.687347412109375,2.2050857543945312
shaves,6,9,1.0,0.0,0.4,2.2421875,1.7395426432291667
stitches,20,28,1.0,0.0,0.4166666666666667,1.4163970947265625,1.5244794573102678
turns,16,28,1.0,0.0,0.36363636363636365,1.9619331359863281,2.1324332101004466
washes,8,18,1.0,0.0,0.3076923076923077,2.6013221740722656,2.164059109157986
writes,24,10,1.0,0.0,0.7058823529411765,2.1388816833496094,2.015789794921875
