noun,avg_LL_delta
abstract,-1.5
actor,-0.5
aircraft,-1.000244140625
album,-2.749755859375
animal,-1.749267578125
announcer,-0.25
artisan,-0.75
artist,-0.74951171875
author,0.75
aviator,-1.5
backpack,-2.2493896484375
backpacker,-2.0006103515625
bag,-1.249755859375
baker,-1.25
barber,-1.500244140625
basket,-2.2498779296875
beard,-1.500244140625
bedding,-1.99951171875
bike,-1.49951171875
blanket,-2.5006103515625
blogger,-0.25
board,-1.5
book,-1.749755859375
bottle,-2.000244140625
bowl,-2.250732421875
bread,-1.500244140625
broadcaster,-0.75048828125
building,-1.24951171875
bus,-1.499755859375
busboy,-1.499755859375
businessman,0.25048828125
businesswoman,-0.5
butcher,-1.74951171875
cake,-2.000244140625
cameraman,-0.25
camper,-1.249755859375
canvas,-1.99951171875
captain,-0.5
car,-0.75
cardboard,-2.2501220703125
carpet,-1.9993896484375
carver,-1.0
caterer,-1.249755859375
cd,-1.75
cellist,-1.750244140625
cello,-2.25048828125
chauffeur,-0.75
chef,-0.25
choreography,-1.5
clarinet,-1.750244140625
clarinetist,-1.49951171875
clay,-2.2490234375
cleaner,-1.0
clerk,-0.75
cloth,-1.9991455078125
coat,-1.250244140625
code,-0.75048828125
comedian,-1.0
concerto,-2.2491455078125
confectioner,-0.75
container,-2.5003662109375
convertible,-1.75
cook,-1.499755859375
cotton,-2.00048828125
countertop,-1.750244140625
crate,-2.0006103515625
cushion,-2.5
cut,-2.249755859375
dancer,-1.250244140625
dealer,0.49951171875
dish,-1.75
doctor,-0.999755859375
dough,-2.000244140625
dressmaker,-0.99951171875
driver,0.0
drug,-1.249755859375
drummer,-1.750732421875
duffle,-1.75
essay,-0.49951171875
essayist,-0.25
fabric,-1.7490234375
fillet,-2.5003662109375
fish,-2.00048828125
floor,-1.9993896484375
flute,-2.5008544921875
flutist,-1.749755859375
food,-1.50048828125
gem,-1.75048828125
glass,-1.999755859375
hairdresser,-0.75
handle,-1.500244140625
hat,-1.5
herb,-1.25048828125
hiker,-2.2496337890625
housekeeper,-0.99951171875
ice,-1.5
illustrator,-0.24951171875
ingredient,-0.5
instrument,-1.750732421875
item,-1.25048828125
jacket,-0.999755859375
janitor,-0.75
jet,-1.50048828125
jeweler,-1.0
jewelry,-2.00048828125
journalist,0.0
kite,-2.2508544921875
knob,-2.250732421875
lady,-0.75
lake,-1.49951171875
landscape,-1.75048828125
letter,-1.249755859375
line,-1.5
lotion,-1.750244140625
lunchbox,-1.7498779296875
machine,-1.74951171875
magazine,-0.999755859375
maid,0.0
make,-1.250244140625
man,-1.00048828125
marble,-2.4990234375
mason,-2.50048828125
material,-1.74951171875
meat,-2.2503662109375
mirror,-1.9993896484375
model,-1.5
motorcycle,-1.249755859375
motorist,-0.75048828125
mountain,-2.5006103515625
mover,-0.999755859375
mushroom,-2.75042724609375
musician,-1.750732421875
narrator,-0.5
notetaker,-1.250244140625
novel,0.0
novelist,-0.24951171875
orator,-0.75048828125
packaging,-1.500244140625
painter,-1.249755859375
panel,-2.2490234375
paper,-2.0
passage,-1.5
pastry,-2.5006103515625
patissier,-2.0
pattern,-2.00048828125
peddler,-1.500244140625
pepper,-1.50048828125
person,-0.5
photographer,-1.24951171875
pianist,-1.999267578125
piano,-2.5001220703125
pie,-1.75048828125
pilot,-1.0
pizza,-2.000732421875
plane,-1.49951171875
poem,-1.50048828125
poet,-1.499755859375
portraitist,-1.000244140625
pot,-1.7501220703125
potato,-2.49951171875
potter,-1.7503662109375
product,-0.9990234375
professor,-1.0
proposal,-0.25
pumpkin,-2.2508544921875
quilt,-1.9998779296875
racer,-1.499755859375
report,-0.75048828125
roadtripper,-0.999755859375
routine,-1.75
salesman,0.50048828125
saleswoman,0.5
salmon,-2.25048828125
scene,-1.00048828125
screw,-1.7498779296875
scribe,-1.25
script,-0.50048828125
sculptor,-2.2493896484375
seamster,-1.000244140625
seamstress,-1.250244140625
section,-1.75048828125
shirt,-1.750732421875
shopkeeper,-1.0
sideburn,-2.49951171875
silk,-1.75
silverware,-1.99951171875
singer,-1.0
snack,-2.25
soloist,-1.500244140625
sonata,-1.99951171875
song,-1.5
steak,-1.999267578125
stone,-2.250244140625
stubble,-2.00048828125
student,-1.25
suitcase,-1.7509765625
surface,-2.24951171875
surgeon,-2.2493896484375
suv,-1.0
tailor,-1.749755859375
tank,-1.499755859375
teacher,-0.49951171875
telemarketer,-0.999755859375
tent,-1.9991455078125
thread,-2.2493896484375
toy,-2.000732421875
tractor,-1.5
trader,0.0
traveller,-1.0
truck,-0.999755859375
tub,-2.74981689453125
tuna,-2.49951171875
turkey,-2.2493896484375
upholsterer,-1.249755859375
valve,-1.9991455078125
van,-0.25048828125
vegetable,-1.7509765625
vehicle,-0.75
verse,-0.75048828125
view,-1.000244140625
violin,-2.7496337890625
violinist,-2.00048828125
waiter,-1.49951171875
waitress,-1.250244140625
wall,-2.250732421875
window,-1.9996337890625
windshield,-2.0008544921875
woman,-1.250244140625
wood,-2.2503662109375
wool,-1.50048828125
worker,-0.75
wound,-2.2498779296875
yarn,-1.499755859375
