noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.9998779296875
actor,1,0.0,-0.750244140625
aircraft,3,0.0,-1.0
album,3,0.0,-0.9168294270833334
animal,2,0.0,-1.375
announcer,2,0.0,-1.000244140625
artisan,4,0.0,-1.0626220703125
artist,4,0.0,-1.562408447265625
author,2,0.0,-1.0
aviator,3,0.0,-0.9165852864583334
backpack,2,0.0,-1.7503662109375
backpacker,2,0.0,-1.75030517578125
bag,2,0.0,-1.0001220703125
baker,6,0.0,-0.958251953125
barber,7,0.0,-1.142822265625
basket,2,0.0,-1.2501220703125
beard,3,0.0,-0.9169108072916666
bedding,5,0.0,-0.89990234375
bike,4,0.0,-0.68756103515625
blanket,2,0.0,-0.9998779296875
blogger,2,0.0,-0.6248779296875
board,4,0.0,-0.6876220703125
book,3,0.0,-1.0833333333333333
bottle,2,0.0,-0.375
bowl,2,0.0,-0.7498779296875
bread,3,0.0,-0.666748046875
broadcaster,2,0.0,-1.3746337890625
building,2,1.0,0.125
bus,3,0.0,-0.4166666666666667
busboy,5,0.0,-0.95009765625
businessman,3,0.0,-0.25
businesswoman,3,0.0,-0.9164225260416666
butcher,4,0.0,-1.18768310546875
cake,3,0.0,-1.0833333333333333
cameraman,2,0.0,-0.25
camper,2,0.0,-1.3748779296875
canvas,4,0.0,-1.187408447265625
captain,3,0.0,-1.166748046875
car,12,0.5,-0.12495930989583333
cardboard,4,0.0,-0.9376220703125
carpet,3,0.0,-0.7499186197916666
carver,7,0.0,-0.857177734375
caterer,3,0.0,-1.5002034505208333
cd,3,0.0,-0.833251953125
cellist,2,0.0,-1.49993896484375
cello,2,0.0,-1.249755859375
chauffeur,3,0.0,-0.6669108072916666
chef,10,0.0,-1.02490234375
choreography,1,0.0,-1.0
clarinet,2,0.0,-0.999755859375
clarinetist,2,0.0,-1.62518310546875
clay,6,0.0,-0.9583333333333334
cleaner,5,0.0,-0.5498046875
clerk,2,0.0,-1.25
cloth,8,0.0,-0.68768310546875
coat,2,0.0,-0.625
code,2,0.5,-0.25
comedian,1,0.0,-1.000244140625
concerto,1,0.0,-0.75
confectioner,3,0.0,-1.1668294270833333
container,2,0.0,-1.37493896484375
convertible,3,0.0,-0.583251953125
cook,6,0.0,-1.33319091796875
cotton,4,0.0,-1.0623779296875
countertop,3,0.0,-0.7500813802083334
crate,2,0.0,-1.1251220703125
cushion,4,0.0,-0.9373779296875
cut,4,0.0,-0.93768310546875
dancer,1,0.0,-1.5003662109375
dealer,3,0.3333333333333333,-0.16666666666666666
dish,2,0.0,-0.9996337890625
doctor,2,0.0,-1.749755859375
dough,3,0.0,-0.583251953125
dressmaker,4,0.0,-1.1251220703125
driver,7,0.0,-0.7144252232142857
drug,3,0.0,-0.9165852864583334
drummer,2,0.0,-1.50018310546875
duffle,2,0.0,-1.124755859375
essay,4,0.0,-0.4998779296875
essayist,2,0.0,-0.7498779296875
fabric,20,0.0,-0.8000244140625
fillet,3,0.0,-1.2500813802083333
fish,3,0.0,-1.500244140625
floor,3,0.0,-1.0831705729166667
flute,2,0.0,-1.12548828125
flutist,2,0.0,-1.250244140625
food,2,0.0,-1.249755859375
gem,4,0.0,-0.4373779296875
glass,4,0.0,-0.625
hairdresser,7,0.0,-1.1429617745535714
handle,4,0.0,-0.62506103515625
hat,3,0.0,-0.25
herb,3,0.0,-0.91650390625
hiker,2,0.0,-2.125152587890625
housekeeper,3,0.0,-1.3333740234375
ice,7,0.0,-0.7502092633928571
illustrator,4,0.0,-0.9375
ingredient,3,0.0,-0.25
instrument,2,0.0,-1.124755859375
item,3,0.0,-0.25
jacket,2,0.0,-0.625244140625
janitor,3,0.0,-1.0834147135416667
jet,3,0.0,-0.7500813802083334
jeweler,4,0.0,-0.68768310546875
jewelry,3,0.0,-0.9165852864583334
journalist,2,0.0,-1.0
kite,3,0.0,-0.8334147135416666
knob,4,0.0,-0.49993896484375
lady,5,0.0,-1.4500244140625
lake,2,0.0,-0.8751220703125
landscape,2,0.0,-0.749755859375
letter,2,0.0,-1.0
line,2,0.0,-0.749755859375
lotion,3,0.0,-0.416748046875
lunchbox,2,0.0,-0.875244140625
machine,8,0.0,-0.906280517578125
magazine,3,0.0,-0.4998372395833333
maid,5,0.0,-0.950048828125
make,3,0.0,-0.3333333333333333
man,5,0.0,-1.050146484375
marble,3,0.0,-1.3330078125
mason,3,0.0,-1.4163818359375
material,4,0.0,-0.3125
meat,7,0.0,-1.6782924107142858
mirror,3,0.0,-0.9164225260416666
model,2,0.0,-0.7501220703125
motorcycle,4,0.0,-0.74969482421875
motorist,4,0.0,-0.8126220703125
mountain,2,0.0,-1.37457275390625
mover,2,0.0,-0.624755859375
mushroom,3,0.0,-1.3336181640625
musician,3,0.0,-1.6664632161458333
narrator,2,0.0,-0.75
notetaker,2,0.0,-1.37530517578125
novel,3,1.0,0.583251953125
novelist,2,0.0,-0.375
orator,2,0.0,-1.2498779296875
packaging,4,0.0,-0.4373779296875
painter,4,0.0,-1.562225341796875
panel,4,0.0,-1.37481689453125
paper,4,0.0,-0.875
passage,6,0.0,-0.3749186197916667
pastry,3,0.0,-0.916259765625
patissier,3,0.0,-1.4166666666666667
pattern,5,0.0,-0.75
peddler,3,0.0,-0.75
pepper,3,0.0,-0.9169921875
person,30,0.0,-0.9250081380208334
photographer,2,0.0,-0.624755859375
pianist,2,0.0,-1.4998779296875
piano,2,0.0,-1.25
pie,3,0.0,-0.58349609375
pilot,7,0.0,-0.8927873883928571
pizza,3,0.0,-0.83349609375
plane,3,0.0,-0.9995930989583334
poem,2,0.0,-1.37506103515625
poet,2,0.0,-1.624755859375
portraitist,4,0.0,-1.37506103515625
pot,3,0.0,-0.5833333333333334
potato,3,0.0,-1.0834147135416667
potter,3,0.0,-1.2501627604166667
product,3,0.6666666666666666,-0.08333333333333333
professor,2,0.0,-1.6251220703125
proposal,2,0.0,-0.25
