verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-0.8333740234375,-0.937530517578125
carves,20,28,0.0,1.0,0.5833333333333334,-0.6749267578125,-1.1339460100446428
cleans,21,33,0.047619047619047616,1.0,0.6296296296296297,-0.7500697544642857,-0.9090909090909091
cooks,12,33,0.0,1.0,0.7333333333333333,-0.9583740234375,-1.2045750473484849
cuts,16,24,0.0,1.0,0.6,-0.7812042236328125,-1.000030517578125
drives,9,27,0.1111111111111111,0.8148148148148148,0.6388888888888888,-0.3333062065972222,-0.3148057725694444
embroiders,12,16,0.0,1.0,0.5714285714285714,-0.8958028157552084,-1.1093902587890625
flies,12,12,0.0,1.0,0.5,-0.8125712076822916,-1.1249186197916667
knits,20,15,0.0,1.0,0.42857142857142855,-1.024969482421875,-1.2500244140625
packs,16,24,0.0,1.0,0.6,-1.1094131469726562,-1.2812449137369792
paints,20,28,0.0,1.0,0.5833333333333334,-1.112445068359375,-1.3659711565290178
performs,7,6,0.0,1.0,0.46153846153846156,-0.9999476841517857,-0.9998982747395834
photographs,4,14,0.5,0.8571428571428571,0.7777777777777778,-0.1876220703125,-0.8572038922991071
plays,14,12,0.0,1.0,0.46153846153846156,-1.3750871930803572,-1.4374287923177083
reads,14,20,0.0,0.9,0.5294117647058824,-0.6963849748883929,-0.524993896484375
sculpts,15,15,0.0,1.0,0.5,-0.9666015625,-1.5165852864583333
sells,27,45,0.4444444444444444,0.7555555555555555,0.6388888888888888,-0.18519422743055555,-0.477783203125
sews,12,8,0.0,1.0,0.4,-0.9375203450520834,-0.74993896484375
shaves,6,9,0.0,1.0,0.6,-1.0000813802083333,-1.2222900390625
stitches,20,28,0.0,1.0,0.5833333333333334,-1.0499267578125,-1.196380615234375
turns,16,28,0.125,0.9642857142857143,0.6590909090909091,-0.64056396484375,-0.6339896065848214
washes,8,18,0.0,1.0,0.6923076923076923,-0.718780517578125,-0.9722222222222222
writes,24,10,0.08333333333333333,0.7,0.2647058823529412,-0.78118896484375,-0.425048828125
