verb,overall_acc,avg_LL_delta
bakes,1.0,-1.0475928896949405
carves,1.0,-1.1198094685872395
cleans,1.0,-1.2546138057002314
cooks,0.9777777777777777,-1.2332600911458333
cuts,1.0,-1.193731689453125
drives,0.9444444444444444,-0.7221747504340278
embroiders,1.0,-1.2322126116071428
flies,1.0,-1.0312754313151042
knits,1.0,-1.3428083147321428
packs,1.0,-1.4874237060546875
paints,1.0,-1.385393778483073
performs,1.0,-1.1923358623798077
photographs,0.8888888888888888,-0.8334554036458334
plays,1.0,-1.4423781174879808
reads,0.9705882352941176,-1.0220301011029411
sculpts,1.0,-1.4333821614583333
sells,0.6666666666666666,-0.3957994249131944
sews,1.0,-1.175
shaves,1.0,-1.4500162760416666
stitches,1.0,-1.4531593322753906
turns,1.0,-0.7841436212713068
washes,1.0,-1.0000469501201923
writes,0.9705882352941176,-1.213278377757353
