noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-0.0625
actor,1,0.0,0.812744140625
aircraft,3,0.0,0.125
album,3,0.0,0.31787109375
animal,2,0.0,0.078125
announcer,2,0.0,0.1875
artisan,4,0.0,0.64453125
artist,4,0.0,0.50396728515625
author,2,0.0,0.6951904296875
aviator,3,0.0,0.4114583333333333
backpack,2,0.0,0.312255859375
backpacker,2,0.0,0.375
bag,2,0.0,0.374755859375
baker,6,0.0,0.3463541666666667
barber,7,0.0,0.44423130580357145
basket,2,0.0,0.28125
beard,3,0.0,0.06770833333333333
bedding,5,1.0,-0.175
bike,4,0.0,0.4141845703125
blanket,2,0.0,0.109375
blogger,2,0.0,0.781494140625
board,4,0.0,0.20703125
book,3,0.0,0.2864583333333333
bottle,2,0.0,0.2265625
bowl,2,0.0,0.1484375
bread,3,0.0,0.11979166666666667
broadcaster,2,0.0,0.3125
building,2,0.0,0.1015625
bus,3,0.0,0.19791666666666666
busboy,5,0.0,0.321875
businessman,3,0.0,0.687744140625
businesswoman,3,0.0,0.4739583333333333
butcher,4,0.0,0.56658935546875
cake,3,0.3333333333333333,0.10416666666666667
cameraman,2,0.0,0.2421875
camper,2,0.0,0.2734375
canvas,4,0.25,0.1796875
captain,3,0.0,0.3854166666666667
car,12,0.0,0.2643636067708333
cardboard,4,0.25,0.13671875
carpet,3,0.0,0.2604166666666667
carver,7,0.0,0.598388671875
caterer,3,0.0,0.3333333333333333
cd,3,0.0,0.3489583333333333
cellist,2,0.0,0.2890625
cello,2,0.0,0.234375
chauffeur,3,0.0,0.4427083333333333
chef,10,0.0,0.4046142578125
choreography,1,0.0,0.6875
clarinet,2,0.0,0.40625
clarinetist,2,0.0,0.359375
clay,6,0.0,0.2109375
cleaner,5,0.0,0.518994140625
clerk,2,0.0,0.4454345703125
cloth,8,0.125,0.21875
coat,2,0.0,0.4373779296875
code,2,0.0,0.5389404296875
comedian,1,0.0,0.56298828125
concerto,1,0.0,0.890869140625
confectioner,3,0.0,0.3854166666666667
container,2,0.0,0.28125
convertible,3,0.0,0.16666666666666666
cook,6,0.0,0.2578125
cotton,4,0.25,0.12109375
countertop,3,0.0,0.16145833333333334
crate,2,0.0,0.265625
cushion,4,0.5,-0.03125
cut,4,0.75,-0.1796875
dancer,1,0.0,0.64013671875
dealer,3,0.0,0.5677083333333334
dish,2,0.5,0.0703125
doctor,2,0.0,0.4609375
dough,3,0.3333333333333333,-0.010416666666666666
dressmaker,4,0.0,0.31634521484375
driver,7,0.0,0.49330357142857145
drug,3,0.0,0.4115397135416667
drummer,2,0.0,0.1953125
duffle,2,0.5,0.15625
essay,4,0.0,0.6209716796875
essayist,2,0.0,0.882568359375
fabric,20,0.05,0.21796875
fillet,3,0.6666666666666666,-0.0625
fish,3,0.3333333333333333,0.052083333333333336
floor,3,0.0,0.15625
flute,2,0.0,0.109375
flutist,2,0.0,0.203125
food,2,0.5,0.0625
gem,4,0.0,0.589599609375
glass,4,0.25,0.1484375
