noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-0.6974906623363496
actor,1,0.0,0.8268356323242188
aircraft,3,0.0,0.4589242736498515
album,3,0.0,1.430974970261256
animal,2,1.0,-0.48004722595214855
announcer,2,1.0,-0.15182110667228693
artisan,4,0.0,0.6504926830530167
artist,4,0.75,-0.22503876686096186
author,2,0.0,1.162601426243782
aviator,3,0.0,0.5908136566480001
backpack,2,0.5,0.06752109527587896
backpacker,2,1.0,-1.10055972635746
bag,2,0.0,0.7884659767150879
baker,6,0.0,0.652296394109726
barber,7,0.14285714285714285,0.365053585597447
basket,2,0.0,0.9394340664148331
beard,3,0.0,1.1769920885562897
bedding,5,0.0,2.348604033887386
bike,4,0.0,1.1469998359680176
blanket,2,0.0,1.9491214230656626
blogger,2,1.0,-0.07605457305908195
board,4,0.0,0.6099414825439453
book,3,0.0,2.6011924743652344
bottle,2,0.0,1.9706682711839676
bowl,2,0.0,1.905902288854122
bread,3,0.0,1.3056316723426182
broadcaster,2,1.0,-0.3452520370483399
building,2,1.0,-0.2043981552124023
bus,3,0.0,1.20284237464269
busboy,5,0.0,1.4779817879199983
businessman,3,0.0,1.7701489180326462
businesswoman,3,0.0,0.7291177014509836
butcher,4,0.25,0.2684474140405655
cake,3,0.0,0.9137566884358724
cameraman,2,0.0,0.5367827415466306
camper,2,0.0,0.715659201145172
canvas,4,0.5,0.14357781410217285
captain,3,1.0,-0.24361290534337357
car,12,0.0,1.5453464326759179
cardboard,4,0.5,-0.3467376157641411
carpet,3,0.0,2.0275821338097253
carver,7,1.0,-0.42483699321746826
caterer,3,0.0,1.1343621810277302
cd,3,0.0,1.3685356577237446
cellist,2,1.0,-1.1589594483375554
cello,2,0.5,0.04353573918342585
chauffeur,3,0.0,1.0310335357983906
chef,10,0.2,0.350755900144577
choreography,1,0.0,1.861915498971939
clarinet,2,1.0,-0.4522037804126739
clarinetist,2,1.0,-1.4720029532909393
clay,6,0.0,0.856838529308637
cleaner,5,0.0,1.7051275223493576
clerk,2,0.5,0.25442838668823253
cloth,8,0.0,0.42868268117308617
coat,2,0.5,-0.13801193237304685
code,2,0.0,1.783418171107769
comedian,1,0.0,0.8196601271629333
concerto,1,0.0,1.051649123430252
confectioner,3,0.0,0.4098469614982605
container,2,0.0,0.43054625391960144
convertible,3,0.0,0.8290153940518697
cook,6,0.0,0.5568213562170664
cotton,4,0.0,0.6801145225763321
countertop,3,0.0,1.6492643405993783
crate,2,0.0,0.653256893157959
cushion,4,0.0,0.6043970584869385
cut,4,0.75,-0.1899745762348175
dancer,1,0.0,1.0571708381175997
dealer,3,0.0,1.715457613269488
dish,2,0.0,1.9964332282543182
doctor,2,1.0,-0.1461467742919921
dough,3,0.0,1.87754920621713
dressmaker,4,0.75,-0.19459392130374906
driver,7,0.2857142857142857,0.19923660584858488
drug,3,0.0,1.9408502231041591
drummer,2,1.0,-0.8487548828125001
duffle,2,0.0,0.6739916801452636
essay,4,0.0,0.5073523670434952
essayist,2,0.0,0.5685148239135742
fabric,20,0.25,0.36340283751487734
fillet,3,0.0,1.5525900721549988
fish,3,0.0,1.1402978797753651
floor,3,0.0,1.6885814319054282
flute,2,1.0,-0.30930757522583
flutist,2,1.0,-0.4673128128051758
food,2,0.0,1.1166777610778809
gem,4,0.0,1.662103407084942
glass,4,0.0,1.153455264866352
hairdresser,7,0.14285714285714285,0.2632737840924944
handle,4,0.0,0.5413923189043999
hat,3,0.0,1.3788852741320927
herb,3,0.0,1.6233422110478086
hiker,2,0.5,-0.26723289489746094
housekeeper,3,0.0,0.635308583577474
ice,7,0.0,1.673808357545308
illustrator,4,0.0,0.34030820429325104
ingredient,3,0.0,1.8068822324275973
instrument,2,0.5,0.01198053359985365
item,3,0.0,1.9949315637350082
jacket,2,0.0,0.6774339377880098
janitor,3,0.0,1.2353070676326752
jet,3,0.0,0.5960295995076498
jeweler,4,0.0,0.7871513217687607
jewelry,3,0.0,1.7483847886323929
journalist,2,0.0,0.5616683959960938
kite,3,0.0,0.617569327354431
knob,4,0.0,0.9268529489636419
lady,5,0.6,-0.018865203857421853
lake,2,0.0,0.5967755317687987
landscape,2,0.0,0.8910073637962341
letter,2,0.0,0.8652376979589462
line,2,0.0,1.0383849143981934
lotion,3,0.0,2.5772619545459747
lunchbox,2,0.0,0.37395337224006653
machine,8,0.0,0.6398584917187691
magazine,3,0.0,1.5045805027087529
maid,5,0.0,1.364186829328537
make,3,0.0,0.5311489403247833
man,5,0.0,0.5536415219306947
marble,3,0.0,0.9956874847412109
mason,3,0.0,0.2440020044644674
material,4,0.0,1.0381591245532036
meat,7,0.0,0.9949424905436379
mirror,3,0.0,1.325926770766576
model,2,1.0,-1.9694900214672089
motorcycle,4,0.0,1.7274079099297523
motorist,4,0.0,0.8526453971862793
mountain,2,0.0,0.2650885581970215
mover,2,0.0,0.8368973582983017
mushroom,3,0.0,1.5973914513985317
musician,3,0.6666666666666666,-0.4306589563687642
narrator,2,0.0,0.3779015541076661
notetaker,2,0.0,1.1938157379627228
novel,3,0.0,2.520391826828321
novelist,2,0.0,1.5052556842565536
orator,2,0.0,0.4118165969848633
packaging,4,0.0,0.5949325636029243
painter,4,1.0,-0.4836843013763428
panel,4,0.25,0.26693606376647955
paper,4,0.0,1.2083303965628147
passage,6,0.0,0.7319005280733109
pastry,3,0.0,1.2349996616442998
patissier,3,0.0,0.33007240295410156
pattern,5,0.2,0.10924242734909059
peddler,3,0.0,0.9126208424568176
pepper,3,0.0,2.0365727742513022
person,30,0.06666666666666667,0.3944747567176819
photographer,2,1.0,-0.43560317158699036
pianist,2,1.0,-0.4716172218322753
piano,2,0.0,0.2131438255310058
pie,3,0.0,1.0274899701277416
pilot,7,0.8571428571428571,-0.5528836931501118
pizza,3,0.0,1.5073878119389217
plane,3,0.0,0.5280307034651438
poem,2,0.0,0.15417480468749994
poet,2,0.0,0.47743991017341614
portraitist,4,0.75,-0.18430900573730452
pot,3,0.0,1.9439303328593571
potato,3,0.0,2.0143203934033713
potter,3,0.0,0.5325819651285807
product,3,0.0,1.6958538840214412
professor,2,1.0,-0.6205000877380371
proposal,2,0.0,0.7605061680078506
pumpkin,4,0.0,1.076307289302349
quilt,4,0.25,0.28564930707216263
racer,4,0.0,0.8980216830968856
report,2,0.0,1.3243980556726456
roadtripper,2,0.0,1.1217064708471298
routine,1,0.0,0.8446855843067169
salesman,3,0.0,1.574202870329221
saleswoman,3,0.0,1.0749130249023438
salmon,3,0.0,1.0438874661922455
scene,1,0.0,1.0548934936523438
screw,4,0.0,1.6515033654868603
scribe,2,0.0,0.8335451781749725
script,2,0.0,1.2616524696350098
sculptor,7,0.2857142857142857,0.275439270905086
