noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.36575847864151
actor,1,1.0,1.353634774684906
aircraft,3,1.0,0.8036095599333445
album,3,1.0,1.4573529660701752
animal,2,1.0,0.18772268295288086
announcer,2,0.0,-0.42305752635002136
artisan,4,1.0,0.9937620237469673
artist,4,0.75,0.30283139646053314
author,2,1.0,1.2143659889698029
aviator,3,1.0,0.7674261927604675
backpack,2,0.5,0.097224235534668
backpacker,2,0.0,-0.35741569101810466
bag,2,1.0,0.8508158028125764
baker,6,1.0,0.5660762737194697
barber,7,0.8571428571428571,0.4118529856204986
basket,2,1.0,0.8743782341480255
beard,3,1.0,1.0351168513298032
bedding,5,1.0,2.1722293868660927
bike,4,1.0,0.8737144395709038
blanket,2,1.0,1.5503888055682182
blogger,2,0.5,0.19403982162475591
board,4,0.75,0.3437736332416534
book,3,1.0,2.6224762375156083
bottle,2,1.0,1.7732897028326988
bowl,2,1.0,1.6240534856915474
bread,3,1.0,1.2554900000492732
broadcaster,2,0.0,-0.6411795318126678
building,2,0.0,-0.2999458312988281
bus,3,1.0,1.3798574109872181
busboy,5,1.0,1.1670455753803253
businessman,3,1.0,1.6803099811077118
businesswoman,3,1.0,0.6806103587150574
butcher,4,0.5,0.1346676349639892
cake,3,1.0,0.3835223515828449
cameraman,2,1.0,0.6538147926330568
camper,2,1.0,0.6151967346668242
canvas,4,1.0,0.33417510241270065
captain,3,0.6666666666666666,0.2099793553352356
car,12,1.0,1.590841691320141
cardboard,4,0.25,-0.34303068369627
carpet,3,1.0,1.827869762976964
carver,7,0.14285714285714285,-0.2653044121606009
caterer,3,1.0,0.5380430221557617
cd,3,1.0,1.4737246682246525
cellist,2,0.0,-0.9282217025756835
cello,2,0.0,-0.2049508392810821
chauffeur,3,1.0,0.7849750220775604
chef,10,0.9,0.4311590254306793
choreography,1,1.0,1.8005867153406143
clarinet,2,0.0,-0.33053115010261525
clarinetist,2,0.0,-1.0739121437072754
clay,6,1.0,0.6730623443921407
cleaner,5,1.0,0.8260791659355163
clerk,2,0.5,0.10806608200073246
cloth,8,0.5,0.18830513581633568
coat,2,0.5,-0.20517298579216003
code,2,1.0,1.517958171665669
comedian,1,1.0,1.3656711876392365
concerto,1,1.0,1.8115759193897247
confectioner,3,0.0,-0.08226648966471349
container,2,1.0,0.324343204498291
convertible,3,1.0,0.6617981294790903
cook,6,1.0,0.5716958045959472
cotton,4,1.0,0.4804194048047065
countertop,3,1.0,1.520755762855212
crate,2,1.0,0.7383189052343369
cushion,4,0.25,-0.0584161281585693
cut,4,0.25,-0.6184802055358887
dancer,1,1.0,1.4409027099609375
dealer,3,1.0,1.7664146423339844
dish,2,1.0,1.4652147144079208
doctor,2,1.0,0.6122880280017853
dough,3,1.0,1.5918149948120117
dressmaker,4,0.75,0.40966416150331497
driver,7,1.0,0.7252690281186785
drug,3,1.0,2.1438347150882087
drummer,2,0.0,-0.7477688789367675
duffle,2,0.5,-0.02563187479972845
essay,4,1.0,0.5757345929741859
essayist,2,1.0,0.7353649288415909
fabric,20,0.7,0.13994988948106765
fillet,3,1.0,1.7129764854907987
fish,3,1.0,1.0100971659024556
floor,3,1.0,1.5266402463118238
flute,2,0.5,-0.2686419188976288
flutist,2,0.0,-0.1900109946727753
food,2,1.0,1.1925859600305557
gem,4,1.0,1.7382192611694336
glass,4,1.0,0.8562889099121094
hairdresser,7,0.42857142857142855,-0.32111249225480215
handle,4,0.5,0.3879208639264107
hat,3,1.0,1.633793825904528
herb,3,1.0,1.5076077977816265
hiker,2,0.5,-0.03672885894775396
housekeeper,3,1.0,0.3638267517089843
ice,7,1.0,1.3316608284200941
illustrator,4,1.0,0.40242981910705566
ingredient,3,1.0,1.8124329795440037
instrument,2,1.0,0.5423569977283478
item,3,1.0,2.3105154559016228
jacket,2,1.0,0.6605872958898545
janitor,3,1.0,0.7770338257153829
jet,3,1.0,0.7176484962304435
jeweler,4,1.0,1.2754366248846054
jewelry,3,1.0,1.7615597893794377
journalist,2,1.0,0.46747636795043945
kite,3,1.0,0.8027168413003286
knob,4,1.0,1.207791082561016
lady,5,0.6,0.047567546367645264
lake,2,1.0,0.7170514464378357
landscape,2,1.0,0.9554562866687776
letter,2,1.0,1.1475166827440262
line,2,1.0,0.9872250705957414
lotion,3,1.0,2.3763631333907447
lunchbox,2,0.5,0.10968349874019631
machine,8,1.0,0.6559127606451511
magazine,3,1.0,1.712820033232371
maid,5,1.0,1.0713182628154754
make,3,1.0,1.2038755218187969
man,5,1.0,0.40185625553131105
marble,3,1.0,0.7197185854117075
mason,3,0.6666666666666666,0.1698211034138997
material,4,1.0,1.1086404100060463
meat,7,0.8571428571428571,0.8008085191249847
mirror,3,1.0,1.6143115212519963
model,2,0.0,-0.8297677338123322
motorcycle,4,1.0,1.3932006321847439
motorist,4,1.0,0.6201110035181046
mountain,2,1.0,0.46878197789192205
mover,2,0.5,0.23526906967163086
mushroom,3,1.0,1.6512302110592525
musician,3,0.3333333333333333,-0.17851863304773974
narrator,2,0.0,-0.0400452613830566
notetaker,2,1.0,1.043473705649376
novel,3,1.0,2.5316458021601043
novelist,2,1.0,1.5626864656805992
orator,2,0.0,-0.03102016448974605
packaging,4,0.75,0.12245154380798332
painter,4,0.0,-0.4360475540161132
panel,4,0.75,0.15118312835693357
paper,4,1.0,0.7869179397821426
passage,6,1.0,0.44483693937460583
pastry,3,1.0,0.8164895176887512
patissier,3,0.3333333333333333,-0.08826319376627605
pattern,5,0.2,-0.30252854824066155
peddler,3,1.0,0.903850237528483
pepper,3,1.0,2.025160476565361
person,30,1.0,0.5695312301317851
photographer,2,0.0,-0.22010135650634766
pianist,2,0.0,-0.12106227874755854
piano,2,1.0,0.38529443740844727
pie,3,1.0,0.7771997352441152
pilot,7,0.5714285714285714,-0.023997302566255842
pizza,3,1.0,1.386898343761762
plane,3,1.0,0.698695182800293
poem,2,0.5,0.0051426887512207
poet,2,1.0,0.7457542717456818
portraitist,4,0.75,0.304473876953125
pot,3,1.0,2.026136358579
potato,3,1.0,1.8351380378007889
potter,3,1.0,0.36694016059239704
product,3,1.0,1.9523300131162007
professor,2,1.0,0.3915877193212509
proposal,2,1.0,1.1356039196252823
pumpkin,4,1.0,0.9281521141529083
quilt,4,0.75,0.33191107958555227
racer,4,0.5,0.5791971981525421
report,2,1.0,1.5768804475665092
roadtripper,2,1.0,0.8738827109336853
routine,1,1.0,0.9840574562549592
salesman,3,1.0,1.3892990698417027
saleswoman,3,1.0,0.7878109713395437
salmon,3,1.0,1.1011654436588287
scene,1,1.0,1.2512903213500977
screw,4,1.0,1.116230495274067
scribe,2,1.0,0.8893566131591797
script,2,1.0,1.2268052101135254
sculptor,7,1.0,0.4247039982250757
seamster,8,1.0,0.6938668265938758
seamstress,4,0.25,-0.2909390926361084
section,2,1.0,1.1561641246080399
shirt,2,1.0,1.6229472234845164
shopkeeper,3,1.0,1.0683187047640483
sideburn,3,1.0,0.9976653754711151
silk,4,1.0,0.5769576877355576
silverware,3,1.0,1.3363253225882847
singer,1,1.0,0.60919189453125
snack,3,1.0,1.609749749302864
soloist,1,1.0,1.3133316338062286
