verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,1.0,0.5833333333333334,0.7619047619047619,1.3792290021147993,-0.0329979459444682
carves,20,28,1.0,0.42857142857142855,0.6666666666666666,2.0071772476658225,0.11023848397391182
cleans,21,33,1.0,0.24242424242424243,0.5370370370370371,2.0106874988192605,0.5227056570125349
cooks,12,33,1.0,0.24242424242424243,0.4444444444444444,2.3145608697086573,0.3365087825240511
cuts,16,24,1.0,0.6666666666666666,0.8,1.696757322177291,-0.1170252114534378
drives,9,27,1.0,0.4444444444444444,0.5833333333333334,1.414546514550845,0.19681955818776728
embroiders,12,16,1.0,0.375,0.6428571428571429,2.3306999442478022,-0.00678036734461783
flies,12,12,1.0,0.0,0.5,1.991930694008867,0.7117030670245489
knits,20,15,0.55,0.4,0.4857142857142857,0.21744003593921662,0.049205533663431805
packs,16,24,1.0,0.16666666666666666,0.5,1.7620239481329918,0.5825836813698212
paints,20,28,1.0,0.35714285714285715,0.625,2.016467535868287,0.21198871625321253
performs,7,6,1.0,0.3333333333333333,0.6923076923076923,2.651345925671714,0.3795067432026069
photographs,4,14,1.0,0.5714285714285714,0.6666666666666666,2.8852730188518763,0.21157915890216827
plays,14,12,1.0,0.0,0.5384615384615384,1.8324553141636508,0.9276333898305893
reads,14,20,1.0,0.45,0.6764705882352942,2.032947658428124,0.14772711694240567
sculpts,15,15,1.0,0.2,0.6,1.826336153348287,0.12318623860677083
sells,27,45,1.0,0.1111111111111111,0.4444444444444444,2.7572014754017196,1.3082759880357318
sews,12,8,0.9166666666666666,0.5,0.75,1.5401344262063503,0.016994480043649687
shaves,6,9,1.0,0.8888888888888888,0.9333333333333333,1.0928433885176976,-0.6274676786528693
stitches,20,28,0.8,0.5357142857142857,0.6458333333333334,1.3519550401717424,-0.21941634586879186
turns,16,28,1.0,0.6785714285714286,0.7954545454545454,0.5189352128654718,-0.16984272641795023
washes,8,18,1.0,0.1111111111111111,0.38461538461538464,1.4689378906041384,0.45637861556477016
writes,24,10,0.9166666666666666,0.4,0.7647058823529411,1.991254094056785,0.2083362579345703
