verb,overall_acc,avg_LL_delta
bakes,0.9285714285714286,-1.0468759132283074
carves,0.875,-0.7491346662864089
cleans,0.9629629629629629,-0.9196431349824976
cooks,0.8666666666666667,-0.784939542081621
cuts,0.925,-0.8719502530992032
drives,0.9166666666666666,-1.041083548631933
embroiders,0.75,-0.5843454737748418
flies,0.75,-0.1481706202030182
knits,0.9428571428571428,-1.28028598512922
packs,0.975,-0.7885811805725098
paints,0.625,-0.3532334951062997
performs,0.6153846153846154,-0.09504964030705962
photographs,0.4444444444444444,-0.24082736753755146
plays,0.9230769230769231,-0.7396891873616439
reads,0.5882352941176471,-0.31573474845465493
sculpts,0.9333333333333333,-0.9202544947465261
sells,0.5555555555555556,-0.19484555390146038
sews,0.8,-0.3596717894077301
shaves,1.0,-1.3288067917029063
stitches,0.875,-0.8069034523020188
turns,0.9090909090909091,-1.2344204370271077
washes,0.8076923076923077,-0.8557959336500901
writes,0.5882352941176471,-0.32943569474360523
