noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,0.5569038689136505
actor,1,0.0,0.960992842912674
aircraft,3,0.0,0.4431012471516927
album,3,0.0,1.0393543144067128
animal,2,0.0,0.6657557785511017
announcer,2,0.0,0.6773624569177626
artisan,4,0.0,0.36125802993774414
artist,4,0.0,0.8159477785229683
author,2,0.0,1.6223149150609975
aviator,3,0.0,0.6934394737084705
backpack,2,0.0,0.8118133544921875
backpacker,2,0.0,0.5749964118003845
bag,2,0.0,0.5943523049354552
baker,6,0.0,0.44961293538411456
barber,7,0.0,0.7949259494032178
basket,2,0.0,0.1689949035644531
beard,3,0.0,0.5355968674023946
bedding,5,0.0,0.9036531269550323
bike,4,0.0,0.7185473293066025
blanket,2,0.0,0.763363391160965
blogger,2,0.0,1.0443443953990936
board,4,0.0,0.6424522772431374
book,3,0.0,1.6047258079051971
bottle,2,0.0,1.0646209567785263
bowl,2,0.0,0.9476361274719238
bread,3,0.0,0.3785343170166015
broadcaster,2,0.0,1.007722869515419
building,2,0.0,0.35819244384765625
bus,3,0.0,0.27598730723063153
busboy,5,0.0,0.841281509399414
businessman,3,0.0,1.2092723647753398
businesswoman,3,0.0,0.9615106582641602
butcher,4,0.0,0.7718195989727974
cake,3,0.0,0.37278207143147785
cameraman,2,1.0,-0.5911688804626465
camper,2,0.0,0.7053842544555664
canvas,4,0.0,0.39202904701232905
captain,3,0.0,0.9448131322860718
car,12,0.0,0.7080217202504476
cardboard,4,0.0,0.6267921701073647
carpet,3,0.0,1.3097960203886032
carver,7,0.0,0.4124471162046705
caterer,3,0.0,0.5933939615885416
cd,3,0.0,1.0239187876383464
cellist,2,0.0,1.1139802485704422
cello,2,0.0,1.0072064697742462
chauffeur,3,0.0,0.7102060317993164
chef,10,0.0,0.8602905303239823
choreography,1,0.0,1.5487814247608185
clarinet,2,0.0,0.5093970596790313
clarinetist,2,0.0,0.7025918364524841
clay,6,0.0,0.34983921051025374
cleaner,5,0.0,1.520647221803665
clerk,2,0.0,1.2124557495117188
cloth,8,0.0,0.8507778681814671
coat,2,0.0,0.40799856185913086
code,2,0.0,1.3924674689769745
comedian,1,0.0,1.0992250442504885
concerto,1,0.0,1.0116481482982635
confectioner,3,0.0,0.2904615402221679
container,2,0.0,0.6763348877429962
convertible,3,0.0,0.24900499979654947
cook,6,0.0,0.4092866579691569
cotton,4,0.0,0.48656678199768066
countertop,3,0.0,0.8515663047631582
crate,2,0.0,0.7780614495277405
cushion,4,0.0,0.4885277673602104
cut,4,0.0,0.9754819571971893
dancer,1,0.0,1.5452661365270617
dealer,3,0.0,1.4954109340906143
dish,2,0.0,1.3053980320692062
doctor,2,0.0,0.9290604144334794
dough,3,0.0,0.4646457036336263
dressmaker,4,0.0,0.4132659584283829
driver,7,0.0,0.44348826578685213
drug,3,0.0,1.1531060536702473
drummer,2,0.0,0.817931205034256
duffle,2,0.0,0.3432598114013672
essay,4,0.0,1.2504515796899796
essayist,2,0.0,0.895476832985878
fabric,20,0.0,0.8985085815191269
fillet,3,0.0,0.7496770322322845
fish,3,0.0,1.1945626338322959
floor,3,0.0,1.5549812366565068
flute,2,0.0,0.3461155891418457
flutist,2,0.0,0.7344231605529785
food,2,0.0,0.8168373256921768
gem,4,0.0,0.7618048116564751
glass,4,0.0,0.6940886750817299
hairdresser,7,0.0,0.5103494226932526
handle,4,0.0,0.7229976877570152
hat,3,0.0,0.7015679677327474
herb,3,0.0,0.783460001150767
hiker,2,0.0,0.9250335693359376
housekeeper,3,0.0,0.6365041633447012
ice,7,0.0,0.8966140917369297
illustrator,4,0.0,0.8902084678411484
ingredient,3,0.0,0.7109222114086151
instrument,2,0.0,0.5998521447181702
item,3,0.0,0.9558429817358652
jacket,2,0.0,0.639591246843338
janitor,3,0.0,1.2329835991064708
jet,3,0.0,0.8605301976203918
jeweler,4,0.0,0.7587072551250458
jewelry,3,0.0,0.8944492340087891
journalist,2,0.0,1.0623898953199387
kite,3,0.0,0.6362736920515696
knob,4,0.0,0.4807681813836097
lady,5,0.0,0.5307985305786133
lake,2,0.0,0.27942752838134766
landscape,2,0.0,0.1931204795837402
letter,2,0.0,0.5641427487134933
line,2,0.0,1.400174617767334
lotion,3,0.0,0.8433335423469543
lunchbox,2,0.0,0.1550030708312988
machine,8,0.0,0.5987612083554268
magazine,3,0.0,0.972460409005483
maid,5,0.0,0.765783143043518
make,3,0.0,0.9510475893815359
man,5,0.0,1.0545423567295074
marble,3,0.0,0.5502360562483469
mason,3,0.0,0.4227593739827474
material,4,0.0,1.2434394359588623
meat,7,0.0,0.8539144013609204
mirror,3,0.0,0.5638430813948313
model,2,0.0,0.26108837127685547
motorcycle,4,0.0,0.7439670637249947
motorist,4,0.0,0.5641534402966499
mountain,2,0.0,0.00484895706176755
mover,2,0.0,0.3124175071716308
mushroom,3,0.0,0.38065052032470703
musician,3,0.0,1.3133214463790257
