noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-0.65392594
actor,1,0.0,0.5563011
aircraft,3,1.0,-0.40449841999999997
album,3,0.6666666666666666,-0.015235163333333331
animal,2,1.0,-0.5433531149999999
announcer,2,0.5,0.0328464
artisan,4,0.0,1.1997923849999999
artist,4,0.5,0.038247102500000046
author,2,0.0,0.5123205
aviator,3,0.0,0.7001796833333334
backpack,2,1.0,-0.404279335
backpacker,2,1.0,-0.41563986499999994
bag,2,1.0,-0.85620605
baker,6,1.0,-0.20219674833333334
barber,7,0.2857142857142857,0.03431780714285713
basket,2,1.0,-1.041897825
beard,3,1.0,-0.45982871333333336
bedding,5,1.0,-0.892733054
bike,4,1.0,-0.20677976999999997
blanket,2,1.0,-0.768579495
blogger,2,0.5,-0.010403625
board,4,1.0,-0.340875895
book,3,1.0,-0.3376750966666666
bottle,2,1.0,-0.660807585
bowl,2,1.0,-0.78878877
bread,3,1.0,-0.8440913866666667
broadcaster,2,1.0,-0.923051895
building,2,1.0,-0.8580628099999998
bus,3,1.0,-0.1831411999999999
busboy,5,0.6,-0.04917335
businessman,3,0.0,0.44782381666666665
businesswoman,3,0.3333333333333333,0.029581269999999965
butcher,4,0.0,0.07823424999999992
cake,3,1.0,-0.7354899033333333
cameraman,2,1.0,-0.01086520999999995
camper,2,1.0,-0.636679585
canvas,4,1.0,-1.06035608
captain,3,0.0,0.6356792066666667
car,12,0.9166666666666666,-0.18257985166666665
cardboard,4,1.0,-0.555865315
carpet,3,1.0,-0.41033198666666665
carver,7,1.0,-0.22234075571428574
caterer,3,1.0,-0.36268016000000003
cd,3,0.3333333333333333,0.04232781666666663
cellist,2,0.0,0.07398224499999995
cello,2,1.0,-0.46639636999999995
chauffeur,3,0.0,0.4948030399999999
chef,10,0.0,0.291932866
choreography,1,1.0,-0.48251526
clarinet,2,1.0,-0.6351156250000001
clarinetist,2,1.0,-0.19642701999999995
clay,6,1.0,-0.8289038416666666
cleaner,5,1.0,-0.4683280979999999
clerk,2,1.0,-0.11178114999999995
cloth,8,1.0,-1.02882364625
coat,2,1.0,-0.89145271
code,2,1.0,-0.30026809
comedian,1,0.0,0.40970606
concerto,1,0.0,0.1075210399999999
confectioner,3,1.0,-0.8780099200000001
container,2,1.0,-1.0827942
convertible,3,0.3333333333333333,0.05482081000000003
cook,6,1.0,-0.5964444516666667
cotton,4,1.0,-1.1694911824999998
countertop,3,1.0,-0.62336543
crate,2,1.0,-0.9027175350000001
cushion,4,1.0,-1.27117107
cut,4,1.0,-1.072298595
dancer,1,1.0,-0.36745447
dealer,3,0.0,0.0844459133333333
dish,2,1.0,-0.9291514850000001
doctor,2,0.5,-0.07304455
dough,3,1.0,-1.06532988
dressmaker,4,1.0,-0.8050107
driver,7,0.0,0.2553720242857143
drug,3,1.0,-0.6239510033333334
drummer,2,0.0,0.14843927999999995
duffle,2,1.0,-0.90938378
essay,4,0.75,-0.19859315
essayist,2,0.0,0.17476457999999995
fabric,20,1.0,-1.2411072640000003
fillet,3,1.0,-0.37972318666666666
fish,3,1.0,-0.80902612
floor,3,1.0,-0.43930112333333327
flute,2,1.0,-0.705570325
flutist,2,1.0,-0.14826868999999995
food,2,1.0,-0.9923476299999999
gem,4,1.0,-0.5383856874999999
glass,4,1.0,-0.862926935
