noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,0.0,-0.57030202
actor,1,0.0,0.0,-0.31236082
aircraft,3,1.0,0.0,-0.6649849333333333
album,3,1.0,0.0,-0.51872638
animal,2,0.5,0.5,-0.0040902
announcer,2,0.0,0.0,-0.16248795
artisan,4,0.0,0.0,-0.6387024425
artist,4,0.0,0.0,-0.31146290499999996
author,2,1.0,1.0,0.11908724999999995
aviator,3,0.0,0.0,-0.32706706333333335
backpack,2,1.0,0.0,-0.7085076349999999
backpacker,2,0.0,0.0,-0.43055638499999993
bag,2,1.0,0.0,-0.7215157
baker,6,0.0,0.0,-0.5420296933333334
barber,7,0.0,1.0,-0.5312846
basket,2,1.0,0.0,-0.7686186100000001
beard,3,1.0,0.0,-0.6746755566666667
bedding,5,1.0,0.0,-0.95478936
bike,4,1.0,0.0,-0.4562263775
blanket,2,1.0,1.0,-1.069155685
blogger,2,0.0,0.0,-0.261910465
board,4,1.0,0.0,-0.5874133324999999
book,3,1.0,0.0,-0.08371993
bottle,2,1.0,0.0,-0.60791683
bowl,2,1.0,0.0,-1.03107072
bread,3,1.0,0.0,-0.8936341566666667
broadcaster,2,0.0,0.0,-0.172008545
building,2,1.0,0.0,-0.496155735
bus,3,1.0,0.0,-0.8457965833333333
busboy,5,0.0,0.0,-0.40509565
businessman,3,0.0,0.0,-0.3858706366666666
businesswoman,3,0.0,0.0,-0.13249151
butcher,4,0.0,0.0,-0.36267233500000007
cake,3,1.0,0.0,-1.37452494
cameraman,2,0.0,0.0,-0.40907860499999993
camper,2,0.0,0.0,-0.540269855
canvas,4,1.0,0.0,-0.92170669
captain,3,0.0,0.0,-0.24481015000000003
car,12,1.0,0.0,-0.5967195866666667
cardboard,4,1.0,0.0,-0.90956071
carpet,3,1.0,0.0,-0.8036384599999998
carver,7,0.0,0.0,-0.5501106514285715
caterer,3,0.0,0.0,-0.7880922633333333
cd,3,1.0,0.0,-0.6569331966666666
cellist,2,0.0,0.0,-0.23364733
cello,2,1.0,0.0,-0.5220851649999999
chauffeur,3,0.0,0.0,-0.6274439566666667
chef,10,0.0,0.0,-0.369939643
choreography,1,1.0,0.0,-0.6717585700000002
clarinet,2,1.0,0.0,-0.4562921249999999
clarinetist,2,0.0,0.0,-0.217969905
clay,6,1.0,0.0,-1.1070683683333333
cleaner,5,0.0,0.0,-0.5750896799999999
clerk,2,0.0,0.0,-0.38432122
cloth,8,1.0,0.0,-0.703156965
coat,2,1.0,0.0,-0.6834306450000001
code,2,0.0,1.0,0.22780983499999996
comedian,1,0.0,0.0,-0.56756578
concerto,1,1.0,0.0,-0.46154595
confectioner,3,0.0,0.0,-0.65002506
