noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-0.31736467499999993
actor,1,1.0,-0.3540687999999999
aircraft,3,1.0,-0.3789749966666666
album,3,1.0,-0.4669189066666666
animal,2,0.5,-0.005004929999999949
announcer,2,1.0,-0.43486121499999997
artisan,4,1.0,-0.973852175
artist,4,1.0,-0.41701077999999997
author,2,0.5,-0.03271290000000005
aviator,3,1.0,-0.3542938066666667
backpack,2,1.0,-0.573255525
backpacker,2,1.0,-0.85677621
bag,2,1.0,-0.45021058999999997
baker,6,1.0,-0.6980857966666667
barber,7,1.0,-0.5178699742857144
basket,2,1.0,-0.51191239
beard,3,1.0,-0.7502575266666667
bedding,5,1.0,-0.795583772
bike,4,1.0,-0.06724167499999989
blanket,2,1.0,-0.6618422
blogger,2,1.0,-0.39036755
board,4,1.0,-0.505497525
book,3,1.0,-0.17265764000000003
bottle,2,1.0,-0.48965837
bowl,2,1.0,-0.6808510050000001
bread,3,1.0,-0.6074008366666667
broadcaster,2,1.0,-0.3721551949999999
building,2,1.0,-0.6226129899999999
bus,3,1.0,-0.5403238933333333
busboy,5,1.0,-0.5715546039999999
businessman,3,1.0,-0.6995957733333332
businesswoman,3,1.0,-0.34135881666666656
butcher,4,1.0,-0.5906381549999999
cake,3,1.0,-1.0203636033333334
cameraman,2,1.0,-0.44636445
camper,2,1.0,-0.5682125199999999
canvas,4,1.0,-0.72077228
captain,3,1.0,-0.5598487099999999
car,12,1.0,-0.4012577683333332
cardboard,4,1.0,-0.6285185950000001
carpet,3,1.0,-0.7365557633333334
carver,7,1.0,-0.5581620371428572
caterer,3,1.0,-0.9128921466666666
cd,3,1.0,-0.5848334966666667
cellist,2,1.0,-0.34805585499999997
cello,2,1.0,-0.23338223499999988
chauffeur,3,1.0,-0.6695073599999999
chef,10,1.0,-0.450197058
choreography,1,1.0,-0.49777215
clarinet,2,1.0,-0.11422544999999995
clarinetist,2,1.0,-0.37125206999999993
clay,6,1.0,-0.6945066550000001
cleaner,5,1.0,-0.621353512
clerk,2,1.0,-0.54546735
cloth,8,1.0,-0.45899849625
coat,2,1.0,-0.5772189
code,2,0.0,0.24410723499999992
comedian,1,1.0,-0.5938358
concerto,1,1.0,-0.2127438
confectioner,3,1.0,-0.7306397566666667
container,2,1.0,-0.6725472749999999
convertible,3,1.0,-0.4133033
cook,6,1.0,-0.5893974933333334
cotton,4,1.0,-0.31375832000000003
countertop,3,1.0,-0.70982295
crate,2,1.0,-0.9495926
cushion,4,1.0,-0.889632235
cut,4,1.0,-0.8573222725
dancer,1,1.0,-0.38175196
dealer,3,1.0,-0.49998727666666665
dish,2,1.0,-0.6078137699999999
doctor,2,1.0,-0.07704067
dough,3,1.0,-0.7492053233333333
dressmaker,4,1.0,-0.8145322425
driver,7,1.0,-0.50970431
drug,3,1.0,-0.24719051999999989
drummer,2,1.0,-0.34766575499999997
duffle,2,1.0,-0.7547789349999999
essay,4,1.0,-0.28857608500000004
essayist,2,1.0,-0.34548477499999997
fabric,20,1.0,-0.3686082595
fillet,3,1.0,-0.6418195999999999
fish,3,1.0,-0.5918324633333333
floor,3,1.0,-0.7502676366666666
flute,2,1.0,-0.26189045499999997
flutist,2,1.0,-0.59069072
food,2,1.0,-0.3692235199999999
gem,4,1.0,-0.27021030500000004
glass,4,1.0,-0.36917348749999995
hairdresser,7,1.0,-0.7207685485714285
handle,4,0.0,0.09747511249999992
hat,3,1.0,-0.12373799
herb,3,1.0,-0.18297201666666663
hiker,2,1.0,-0.653792375
housekeeper,3,1.0,-0.57068321
ice,7,1.0,-0.30477553142857144
