noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.24182897999999997
actor,1,0.0,-0.24847037
aircraft,3,0.0,-0.3312359466666666
album,3,0.0,-0.2528623633333333
animal,2,1.0,0.09947682000000005
announcer,2,0.0,-0.4990129299999999
artisan,4,0.0,-0.9076590425
artist,4,0.0,-0.4150806075
author,2,1.0,0.11551294999999995
aviator,3,0.0,-0.34647943
backpack,2,0.0,-0.4396114299999999
backpacker,2,0.0,-0.62238315
bag,2,0.0,-0.37942506499999995
baker,6,0.0,-0.5716006
barber,7,0.0,-0.5309086157142858
basket,2,0.0,-0.50917431
beard,3,0.0,-0.5295797866666666
bedding,5,0.0,-0.721723978
bike,4,0.75,0.07744166249999998
blanket,2,0.0,-0.6343259450000001
blogger,2,0.0,-0.26337915
board,4,0.0,-0.36164424250000005
book,3,0.6666666666666666,0.005710640000000033
bottle,2,0.0,-0.3070526
bowl,2,0.0,-0.554395715
bread,3,0.0,-0.53349553
broadcaster,2,0.0,-0.392535145
building,2,0.0,-0.47610193999999995
bus,3,0.0,-0.5311183233333333
busboy,5,0.0,-0.45457234199999996
businessman,3,0.0,-0.5196984566666667
businesswoman,3,0.0,-0.31948790333333327
butcher,4,0.0,-0.6794624275000001
cake,3,0.0,-0.88084544
cameraman,2,0.0,-0.43248752
camper,2,0.0,-0.6296739499999999
canvas,4,0.0,-0.5072216724999999
captain,3,0.0,-0.5139465433333333
car,12,0.0,-0.2858607075
cardboard,4,0.0,-0.54450945
carpet,3,0.0,-0.46121220999999996
carver,7,0.0,-0.53946442
caterer,3,0.0,-0.8934020866666668
cd,3,0.0,-0.36283109666666663
cellist,2,0.0,-0.2866392499999999
cello,2,0.0,-0.24187763499999995
chauffeur,3,0.0,-0.69310699
chef,10,0.0,-0.397892015
choreography,1,0.0,-0.27734933
clarinet,2,0.0,-0.17323692
clarinetist,2,0.0,-0.32361690499999995
clay,6,0.0,-0.6561024816666667
cleaner,5,0.0,-0.568958568
clerk,2,0.0,-0.427675275
cloth,8,0.125,-0.22497561875000002
coat,2,0.0,-0.38366888000000005
code,2,1.0,0.32865335500000004
comedian,1,0.0,-0.49580195
concerto,1,1.0,0.1259555999999999
confectioner,3,0.0,-0.5891742766666667
container,2,0.0,-0.63309864
convertible,3,0.0,-0.4036413433333334
cook,6,0.0,-0.59308146
cotton,4,0.75,-0.0419501975
countertop,3,0.0,-0.4967974733333333
crate,2,0.0,-0.8411369599999999
cushion,4,0.0,-0.6997874975
cut,4,0.0,-0.5885200075
dancer,1,0.0,-0.3645858599999999
dealer,3,0.0,-0.49573923000000003
dish,2,0.0,-0.49684056
doctor,2,0.0,-0.16088576999999996
dough,3,0.0,-0.5933743533333334
dressmaker,4,0.0,-0.55400854
driver,7,0.0,-0.44358495571428563
drug,3,0.0,-0.32759413666666665
drummer,2,0.0,-0.37537487999999997
duffle,2,0.0,-0.56358048
essay,4,0.0,-0.19500207249999998
essayist,2,0.0,-0.09224222499999996
fabric,20,0.15,-0.15377349799999998
fillet,3,0.0,-0.6342690999999999
fish,3,0.0,-0.6180515333333334
floor,3,0.0,-0.6256587666666666
flute,2,0.0,-0.30749609999999994
flutist,2,0.0,-0.56315039
food,2,0.0,-0.299204825
gem,4,0.0,-0.08811570999999994
glass,4,0.0,-0.21617411999999997
hairdresser,7,0.0,-0.5419965285714285
handle,4,1.0,0.17333652249999995
hat,3,0.6666666666666666,-0.02033552666666667
herb,3,0.0,-0.18273745
hiker,2,0.0,-0.6659831999999999
housekeeper,3,0.0,-0.47634949
ice,7,0.0,-0.16131948142857142
illustrator,4,0.0,-0.2573938325
ingredient,3,0.0,-0.2169927266666667
instrument,2,0.0,-0.24481682999999993
item,3,0.0,-0.16082983666666664
