verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-0.6199324988888888,-1.1755503254166666
carves,20,28,0.0,1.0,0.5833333333333334,-0.42924671650000007,-0.6255582985714286
cleans,21,33,0.0,1.0,0.6111111111111112,-0.47199119761904756,-0.7508669924242425
cooks,12,33,0.0,1.0,0.7333333333333333,-0.5961233758333333,-0.8502795890909088
cuts,16,24,0.0,1.0,0.6,-0.37287583187499995,-0.5934688512499999
drives,9,27,0.0,1.0,0.75,-0.46326024888888895,-0.7171896503703704
embroiders,12,16,0.0,1.0,0.5714285714285714,-0.5941081275000001,-0.715175240625
flies,12,12,0.0,1.0,0.5,-0.26269149666666664,-0.5576408516666665
knits,20,15,0.0,1.0,0.42857142857142855,-0.5262409905,-0.5843097853333332
packs,16,24,0.0,1.0,0.6,-0.509533543125,-0.8117879245833333
paints,20,28,0.05,1.0,0.6041666666666666,-0.39528735200000004,-0.7182349182142859
performs,7,6,0.0,1.0,0.46153846153846156,-0.2905254585714286,-0.575175285
photographs,4,14,0.0,0.8571428571428571,0.6666666666666666,-0.341789285,-0.34588512071428573
plays,14,12,0.0,1.0,0.46153846153846156,-0.3062548885714286,-0.5748087791666666
reads,14,20,0.0,1.0,0.5882352941176471,-0.28686974285714284,-0.6082911139999999
sculpts,15,15,0.0,1.0,0.5,-0.562930674,-0.8061148286666667
sells,27,45,0.037037037037037035,0.9333333333333333,0.5972222222222222,-0.3387113314814814,-0.4975377924444443
sews,12,8,0.0,1.0,0.4,-0.7614090091666669,-0.58210417875
shaves,6,9,0.0,1.0,0.6,-0.5246791516666667,-0.6447514644444444
stitches,20,28,0.0,1.0,0.5833333333333334,-0.7055618189999999,-0.837753229642857
turns,16,28,0.0,1.0,0.6363636363636364,-0.3637304231249999,-0.3992571049999999
washes,8,18,0.0,1.0,0.6923076923076923,-0.572185115,-1.0073324900000002
writes,24,10,0.08333333333333333,0.8,0.29411764705882354,-0.22148529499999992,-0.29343034900000003
