verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.9444444444444444,1.0,0.9761904761904762,1.2079901788888887,-0.90333397375
carves,20,28,1.0,0.25,0.5625,2.0543560375,0.24790235035714278
cleans,21,33,0.9047619047619048,0.9393939393939394,0.9259259259259259,0.9076079019047618,-1.0434721169696972
cooks,12,33,1.0,1.0,1.0,1.7237676450000003,-0.8482103154545454
cuts,16,24,1.0,0.5833333333333334,0.75,1.761723178125,-0.047660593749999945
drives,9,27,1.0,0.07407407407407407,0.3055555555555556,1.4607925322222224,0.5785149551851851
embroiders,12,16,0.8333333333333334,0.9375,0.8928571428571429,1.563549811666667,-0.780279241875
flies,12,12,0.8333333333333334,0.0,0.4166666666666667,1.5014540486666668,0.7387336066666667
knits,20,15,0.7,0.9333333333333333,0.8,0.27074398250000004,-0.42720584333333333
packs,16,24,0.625,1.0,0.85,0.10936005437499993,-1.2145873879166664
paints,20,28,0.95,1.0,0.9791666666666666,1.58941536115,-1.1922549167857142
performs,7,6,1.0,0.16666666666666666,0.6153846153846154,1.3809884042857143,0.32348354166666665
photographs,4,14,1.0,0.8571428571428571,0.8888888888888888,2.1880170025,-1.0684978571428572
plays,14,12,1.0,0.0,0.5384615384615384,1.712016036428571,0.9878357141666667
reads,14,20,0.9285714285714286,0.95,0.9411764705882353,1.0702485057142859,-0.5700267944999999
sculpts,15,15,1.0,0.26666666666666666,0.6333333333333333,2.2535465356666666,0.3432485599999999
sells,27,45,1.0,0.5111111111111111,0.6944444444444444,1.5358526677777777,-0.10084970666666666
sews,12,8,0.9166666666666666,0.75,0.85,1.5031313153333334,-0.5856574475
shaves,6,9,1.0,1.0,1.0,2.072233135,-0.5486716522222223
stitches,20,28,0.95,0.75,0.8333333333333334,1.6749871348000003,-0.7146833357142857
turns,16,28,0.6875,0.5714285714285714,0.6136363636363636,0.6431834612499999,-0.06178887321428571
washes,8,18,0.625,1.0,0.8846153846153846,0.31874642625000005,-1.2176003811111111
writes,24,10,1.0,0.4,0.8235294117647058,1.575671833125,0.13416970399999992
