noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-1.157821755
actor,1,1.0,1.0,3.465574227
aircraft,3,0.3333333333333333,0.6666666666666666,1.435380298
album,3,1.0,1.0,-2.2756172466666666
animal,2,1.0,0.0,-3.7715975885
announcer,2,1.0,1.0,4.1667201044999995
artisan,4,1.0,1.0,4.3851831895
artist,4,1.0,0.0,4.605942092125
author,2,1.0,1.0,5.263358406749999
aviator,3,0.3333333333333333,0.3333333333333333,-0.46040982333333336
backpack,2,1.0,1.0,-1.26709558
backpacker,2,0.5,0.5,0.026908870000000047
bag,2,1.0,1.0,-1.387078195
baker,6,0.5,0.5,-0.18497122000000002
barber,7,1.0,0.0,2.764022435142857
basket,2,1.0,1.0,-4.50958401575
beard,3,0.3333333333333333,0.3333333333333333,0.5667654333333333
bedding,5,0.2,0.2,1.2006185500000002
bike,4,1.0,1.0,-0.7096914475
blanket,2,1.0,1.0,-4.209595794
blogger,2,0.5,0.5,0.19033287500000007
board,4,0.0,0.0,1.5529954362499998
book,3,0.0,0.0,1.3082631133333333
bottle,2,1.0,1.0,-1.34592252
bowl,2,1.0,1.0,-2.8514812875
bread,3,1.0,1.0,-5.232700349333333
broadcaster,2,1.0,1.0,2.320198875
building,2,1.0,1.0,-2.057261895
bus,3,0.0,0.0,2.3766904513333333
busboy,5,1.0,0.0,1.6868591000000002
businessman,3,1.0,1.0,6.748015192866667
businesswoman,3,1.0,0.0,2.27889569
butcher,4,1.0,0.0,3.0737708300000004
cake,3,1.0,1.0,-5.825815255199999
cameraman,2,1.0,1.0,1.727462155
camper,2,0.5,0.5,-0.18019099999999993
canvas,4,1.0,1.0,-2.78032719675
captain,3,1.0,1.0,4.30285026
car,12,0.0,1.0,2.30411596625
cardboard,4,1.0,1.0,-3.7802246165
carpet,3,0.6666666666666666,0.6666666666666666,-0.22905290000000003
carver,7,0.14285714285714285,0.8571428571428571,-0.9172483357142857
caterer,3,0.3333333333333333,0.6666666666666666,-0.7054700866666667
cd,3,1.0,1.0,-0.8412665899999999
cellist,2,0.0,1.0,-0.1523438149999999
cello,2,1.0,1.0,-2.01597342
chauffeur,3,1.0,1.0,4.171314306666667
chef,10,1.0,1.0,3.1710033267
choreography,1,0.0,0.0,1.4970549
clarinet,2,1.0,1.0,-2.514654915
clarinetist,2,1.0,0.0,2.027331337
clay,6,1.0,1.0,-4.260300625199999
cleaner,5,1.0,0.0,4.5621894236000005
clerk,2,1.0,1.0,3.2646628935
cloth,8,1.0,1.0,-1.686480672375
coat,2,1.0,1.0,-1.9392174080000002
code,2,1.0,1.0,-1.2208585699999999
comedian,1,1.0,1.0,2.9056243
concerto,1,1.0,1.0,-2.67687759
confectioner,3,0.6666666666666666,0.3333333333333333,-0.18940099666666665
container,2,1.0,1.0,-4.550072826
convertible,3,0.0,0.0,1.401662886666667
cook,6,0.0,1.0,-3.412266039166667
cotton,4,1.0,1.0,-2.59845456475
countertop,3,0.3333333333333333,0.3333333333333333,0.5221690733333334
crate,2,1.0,1.0,-1.646520555
cushion,4,1.0,1.0,-5.058808106
cut,4,0.75,0.75,-0.9018358774999999
dancer,1,1.0,0.0,0.47122956
dealer,3,1.0,1.0,6.257122170999999
dish,2,1.0,1.0,-1.9617327575
doctor,2,1.0,1.0,2.43248828
dough,3,1.0,1.0,-4.242363788333333
dressmaker,4,0.5,0.5,0.11294702749999996
driver,7,1.0,1.0,4.945099336285715
drug,3,0.0,0.0,2.5627582933333337
drummer,2,0.5,0.5,0.5179309049999999
duffle,2,0.5,0.5,-0.021734619999999982
essay,4,0.75,0.75,-0.589264895
essayist,2,1.0,0.0,3.7458024795
fabric,20,0.35,0.35,0.018701197499999968
fillet,3,1.0,1.0,-3.5611532886666666
fish,3,1.0,1.0,-3.9402226573333334
floor,3,0.0,0.0,2.912544183333333
flute,2,1.0,1.0,-6.8186304479499995
flutist,2,1.0,0.0,1.383136095
food,2,0.5,0.5,0.10001026000000002
gem,4,1.0,1.0,-4.424581465875
glass,4,1.0,1.0,-2.9042413295000005
hairdresser,7,1.0,0.0,6.256848798699999
handle,4,0.75,0.75,-0.7992987575
hat,3,1.0,1.0,-1.1623754633333334
herb,3,1.0,1.0,-3.1316845433333333
hiker,2,0.5,0.5,-0.24953277500000004
housekeeper,3,1.0,0.0,2.419303205
ice,7,1.0,1.0,-5.257473660314285
illustrator,4,0.0,1.0,-0.45275736999999994
ingredient,3,1.0,0.0,-1.21569635
instrument,2,1.0,1.0,-7.6172037523
item,3,0.0,0.0,2.00065927
jacket,2,1.0,1.0,-2.0265138900000004
janitor,3,1.0,1.0,3.614409532333333
jet,3,1.0,0.0,-1.4522062616666667
jeweler,4,1.0,0.0,2.15594389
jewelry,3,1.0,1.0,-0.57879763
journalist,2,1.0,1.0,2.695028695
kite,3,1.0,1.0,-2.8673505033333337
knob,4,1.0,1.0,-2.1218026725
lady,5,0.0,1.0,-3.4579632948
lake,2,1.0,1.0,-1.891158085
landscape,2,1.0,1.0,-0.2684468149999999
letter,2,1.0,1.0,-1.81213751
line,2,0.0,0.0,1.138366195
lotion,3,0.6666666666666666,0.6666666666666666,-0.1795393533333333
lunchbox,2,1.0,1.0,-2.16429848
machine,8,0.875,0.875,0.93318124
magazine,3,0.0,0.0,1.5073123899999998
maid,5,1.0,0.0,0.9080389345999998
make,3,0.0,0.0,2.480705556666667
man,5,1.0,1.0,1.943622602
marble,3,1.0,1.0,-3.2426426236666663
mason,3,0.0,1.0,-1.6797636266666667
material,4,1.0,1.0,-1.95061560075
meat,7,0.7142857142857143,0.7142857142857143,-0.4198657842857143
mirror,3,1.0,1.0,-1.4054820033333335
model,2,1.0,1.0,-3.107811755
motorcycle,4,0.5,0.5,0.33713191500000006
motorist,4,1.0,1.0,3.8244198672500005
mountain,2,1.0,1.0,-3.4901615785
mover,2,1.0,1.0,0.47944075499999994
mushroom,3,1.0,1.0,-4.002554613
musician,3,1.0,0.0,0.3906402633333333
narrator,2,1.0,1.0,2.02206349
notetaker,2,0.5,0.5,-0.25791744000000005
novel,3,0.3333333333333333,0.3333333333333333,0.25674632
novelist,2,1.0,0.0,3.028134905
orator,2,1.0,1.0,2.6497145335
packaging,4,0.0,0.0,2.2508459425
painter,4,1.0,0.0,1.11165679
panel,4,1.0,1.0,-1.84123132
paper,4,0.5,0.5,0.5437090310000001
passage,6,0.0,0.0,0.760141115
pastry,3,1.0,1.0,-5.396036231900001
patissier,3,0.3333333333333333,0.6666666666666666,-0.5430949366666666
pattern,5,1.0,1.0,-4.5177569250200005
peddler,3,1.0,1.0,2.3894290486666665
pepper,3,1.0,1.0,-2.717806601
person,30,0.8333333333333334,0.8333333333333334,1.8188969459999997
photographer,2,1.0,0.0,2.5155268200000003
pianist,2,0.0,1.0,-0.3988953499999999
piano,2,1.0,1.0,-3.429989785
pie,3,1.0,1.0,-6.785144455766667
pilot,7,0.5714285714285714,0.5714285714285714,0.13652121000000003
pizza,3,1.0,1.0,-4.346887108333333
plane,3,0.3333333333333333,0.3333333333333333,1.0729290733333334
poem,2,1.0,1.0,-2.626461975
poet,2,0.0,1.0,-0.78909781
portraitist,4,0.0,1.0,-0.36761482249999994
pot,3,1.0,1.0,-1.3303774800000001
potato,3,1.0,1.0,-5.568503012733333
potter,3,0.0,1.0,-0.6137269766666668
product,3,0.0,0.0,1.2229661966666665
professor,2,1.0,1.0,4.2063380949999996
proposal,2,0.5,0.5,-0.683213045
pumpkin,4,1.0,1.0,-5.185751563999999
quilt,4,1.0,1.0,-0.955688965
racer,4,0.25,0.75,-0.18803259249999998
report,2,0.0,0.0,1.9245167125
roadtripper,2,1.0,0.0,1.174031265
routine,1,0.0,0.0,3.817032586
salesman,3,1.0,1.0,8.915872439866668
saleswoman,3,1.0,0.0,4.757496904
salmon,3,1.0,1.0,-5.257542668666667
scene,1,0.0,0.0,1.4146653
screw,4,0.75,0.25,-0.8673910825
scribe,2,1.0,1.0,2.006021495
script,2,1.0,1.0,-1.167928645
sculptor,7,0.5714285714285714,0.5714285714285714,0.7874930062857143
seamster,8,0.875,0.125,1.6894839825
seamstress,4,0.75,0.25,1.668974109
section,2,0.5,0.5,0.24546997000000004
shirt,2,0.5,0.5,0.278140025
shopkeeper,3,1.0,0.0,3.0406943500000003
sideburn,3,0.0,0.0,2.848289416
silk,4,1.0,1.0,-1.2421775225
silverware,3,0.0,0.0,1.2932377199999998
singer,1,0.0,1.0,-0.1963291099999999
snack,3,1.0,1.0,-2.9863409589999996
soloist,1,1.0,0.0,0.7007827500000001
sonata,1,0.0,0.0,0.5352859799999999
song,1,1.0,1.0,-3.969045441
steak,7,0.42857142857142855,0.42857142857142855,0.04774423000000004
stone,7,1.0,1.0,-2.074761191285714
stubble,3,0.6666666666666666,0.6666666666666666,-0.15337560666666666
student,4,1.0,0.0,2.386644748
suitcase,2,1.0,1.0,-1.871185745
surface,7,0.5714285714285714,0.5714285714285714,-0.24036749285714287
surgeon,4,1.0,1.0,4.46190720325
suv,6,0.0,0.0,3.3977470363333335
tailor,12,1.0,0.0,2.9480920587499995
tank,3,1.0,1.0,-0.3688984433333333
teacher,2,1.0,1.0,4.264834658
telemarketer,3,1.0,1.0,4.7865625063333335
tent,2,1.0,1.0,-2.25878987
thread,4,1.0,1.0,-5.066536128425001
toy,3,1.0,1.0,-1.9900925513333334
tractor,3,0.0,1.0,1.1073780199999999
trader,3,1.0,1.0,8.324304618866668
traveller,2,1.0,1.0,0.821838385
truck,3,0.0,0.0,5.096244455166667
tub,2,1.0,1.0,-2.0769690265
