noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-1.895855825
actor,1,1.0,3.629621427
aircraft,3,1.0,1.45043878
album,3,0.6666666666666666,-0.18635039666666664
animal,2,0.0,-2.7232360085000002
announcer,2,0.0,-0.9838714900000001
artisan,4,0.0,-2.2999629925
artist,4,1.0,1.9154816167500002
author,2,1.0,1.62638229
aviator,3,0.3333333333333333,-0.13397346666666665
backpack,2,0.5,0.689471185
backpacker,2,0.5,-0.393084415
bag,2,0.5,-1.5877875499999998
baker,6,0.0,-3.026249153166667
barber,7,0.0,-1.7245761537142859
basket,2,0.0,-3.4874871594999997
beard,3,0.3333333333333333,-0.1240183666666667
bedding,5,0.6,-0.6604324028
bike,4,0.75,0.967555495
blanket,2,0.0,-1.8761367365
blogger,2,0.0,-2.200060195
board,4,1.0,0.8803680925
book,3,1.0,0.6055043866666666
bottle,2,0.5,-0.748005915
bowl,2,0.0,-1.3803348400000002
bread,3,0.0,-3.795405205333333
broadcaster,2,0.0,-0.6180448650000001
building,2,0.0,-1.27390045
bus,3,0.3333333333333333,0.10165973000000002
busboy,5,0.4,-0.2893932180000001
businessman,3,1.0,1.4455582866666665
businesswoman,3,0.0,-1.544755262
butcher,4,0.0,-2.3438209625
cake,3,0.0,-4.036074066133334
cameraman,2,1.0,1.1450795900000001
camper,2,0.5,-0.7682360749999999
canvas,4,0.25,-0.7702793725000001
captain,3,1.0,1.9250105766666665
car,12,0.4166666666666667,-0.10614282541666675
cardboard,4,0.0,-1.737339055
carpet,3,0.6666666666666666,0.3110243399999999
carver,7,0.0,-3.4842200071428566
caterer,3,0.0,-4.158201339
cd,3,0.0,-0.9340661066666667
cellist,2,0.0,-2.257614095
cello,2,0.0,-2.557359682
chauffeur,3,0.0,-1.7855230853333335
chef,10,0.2,-1.3649164786999999
choreography,1,1.0,2.9920672670000004
clarinet,2,0.0,-3.482065941
clarinetist,2,0.0,-3.958201269
clay,6,0.0,-1.7687563576666665
cleaner,5,1.0,3.0741701702
clerk,2,0.5,-0.80836005
cloth,8,0.25,-0.4815225625
coat,2,0.5,-0.17649931499999993
code,2,1.0,1.7863540225
comedian,1,1.0,2.36031803
concerto,1,1.0,1.6788156200000002
confectioner,3,0.0,-4.895185359766667
container,2,0.0,-4.6034887058
convertible,3,0.3333333333333333,-0.41359327333333334
cook,6,0.0,-4.709608806083334
cotton,4,0.0,-2.35797111125
countertop,3,1.0,0.36035666666666666
crate,2,0.0,-1.6095456049999999
cushion,4,0.0,-3.06820465275
cut,4,0.0,-2.26914294475
dancer,1,1.0,2.48905911
dealer,3,0.6666666666666666,0.2520879466666666
dish,2,0.0,-2.7610262115
doctor,2,1.0,0.6816607149999999
dough,3,0.0,-4.710612950433333
dressmaker,4,0.0,-2.4921077715
driver,7,0.7142857142857143,0.5270519257142857
drug,3,0.0,-0.8957134133333332
drummer,2,0.0,-5.404627065
duffle,2,0.0,-1.8877125614999999
essay,4,0.25,-0.9398541175
essayist,2,0.5,0.5109424750000001
fabric,20,0.45,-0.06831858979999997
fillet,3,0.0,-3.2402642709999996
fish,3,0.0,-3.0720810533333336
floor,3,1.0,2.4035963683333335
flute,2,0.0,-3.7599837584999998
flutist,2,0.0,-4.065465257
food,2,0.5,-0.20020517000000004
gem,4,0.0,-2.749952359
glass,4,0.0,-1.6616021912499999
hairdresser,7,0.2857142857142857,-0.630489617142857
handle,4,0.75,1.966854
hat,3,0.0,-2.215123326666667
herb,3,0.0,-3.6383768810000006
hiker,2,0.5,-0.512272815
housekeeper,3,0.0,-2.51862701
ice,7,0.0,-3.860242836671429
illustrator,4,0.25,-0.46556089999999994
ingredient,3,0.0,-3.4488358616666672
instrument,2,0.0,-5.6380448819
item,3,0.6666666666666666,-0.6034997166666667
jacket,2,0.5,0.6241283870000001
janitor,3,1.0,1.2070674633333331
jet,3,1.0,1.0937156399999999
jeweler,4,0.0,-3.057530705
jewelry,3,1.0,2.7750036196666668
journalist,2,0.0,-1.528536745
kite,3,0.0,-2.4954529543333335
knob,4,0.5,0.15721134999999997
lady,5,0.0,-6.834652245759999
lake,2,0.0,-1.76719464
landscape,2,1.0,0.536531
letter,2,0.0,-3.5285788375
line,2,0.0,-5.47611034525
lotion,3,1.0,1.8865859333333332
lunchbox,2,0.0,-2.6462124455
machine,8,1.0,1.904338028875
magazine,3,0.6666666666666666,0.1972967866666667
maid,5,0.0,-2.685428565
make,3,0.0,-2.834073516666667
man,5,0.2,-0.7797538060000001
marble,3,0.0,-0.59730726
mason,3,0.0,-3.379575579333333
material,4,0.0,-1.369356586
meat,7,0.42857142857142855,0.018742879999999955
mirror,3,0.0,-0.69499332
model,2,0.0,-3.161055063
motorcycle,4,1.0,2.10604175325
motorist,4,0.5,0.27544595999999993
mountain,2,0.0,-1.17359635
mover,2,0.5,0.4537392725
mushroom,3,0.0,-4.114472901666667
musician,3,0.0,-2.807707210333333
narrator,2,0.0,-3.960976059
notetaker,2,0.0,-2.3406165420000002
novel,3,0.6666666666666666,0.1308765233333333
novelist,2,1.0,1.186734265
orator,2,0.0,-3.046588651
packaging,4,1.0,2.36970424375
painter,4,0.0,-2.29314566
panel,4,0.25,-0.7476453974999999
paper,4,1.0,1.7288990705000002
passage,6,0.3333333333333333,-0.44593529000000004
pastry,3,0.0,-6.083174519500001
patissier,3,0.0,-3.7043123430000002
pattern,5,0.2,-0.8919016865999998
peddler,3,0.0,-2.791618801333333
pepper,3,0.0,-2.3341397953333334
person,30,0.03333333333333333,-2.877117072033334
photographer,2,0.5,0.00790784500000005
pianist,2,0.0,-3.9783036365
piano,2,0.0,-3.6708658595
pie,3,0.0,-5.301453185100001
pilot,7,0.5714285714285714,0.8950762228571428
pizza,3,0.0,-1.2844594433333334
plane,3,0.6666666666666666,0.5254510499999999
poem,2,0.0,-3.84634391
poet,2,0.0,-2.4750765865
portraitist,4,0.0,-1.2760143560000001
pot,3,0.3333333333333333,-0.25595350333333333
potato,3,0.0,-5.430824050766667
potter,3,0.0,-4.547218739000001
product,3,0.3333333333333333,-0.25130908
professor,2,1.0,0.82189281
proposal,2,1.0,1.12682444
pumpkin,4,0.0,-3.6216216049999996
quilt,4,0.0,-1.438091785
racer,4,0.5,0.34198189874999996
report,2,0.5,0.119504865
roadtripper,2,0.5,-0.10802557000000007
routine,1,1.0,3.45919574
salesman,3,1.0,3.6416018613333336
saleswoman,3,0.0,-2.7903342143333334
salmon,3,0.0,-5.302485921233334
scene,1,0.0,-1.2104818
screw,4,0.75,1.4118027675
scribe,2,0.0,-1.181186685
script,2,0.0,-2.029623955
sculptor,7,0.0,-3.128325496428572
seamster,8,0.0,-1.998803377
seamstress,4,0.0,-2.8419483555
section,2,0.0,-1.10831549
shirt,2,0.5,0.538510235
shopkeeper,3,0.6666666666666666,0.2595222066666667
sideburn,3,0.0,-0.2516924566666666
silk,4,0.25,-1.1200811849999999
silverware,3,1.0,3.8483967173333333
singer,1,1.0,0.62383656
snack,3,0.0,-1.12215227
soloist,1,0.0,-0.2584992
sonata,1,1.0,0.79581832
song,1,0.0,-0.8575154300000001
steak,7,0.7142857142857143,0.18273085000000003
stone,7,0.0,-0.6041257114285715
stubble,3,0.6666666666666666,0.04483347333333334
student,4,1.0,0.71706846
suitcase,2,0.5,0.902445615
surface,7,0.5714285714285714,0.5753132632857143
surgeon,4,1.0,2.4422985945
suv,6,1.0,2.3309395646666666
tailor,12,0.08333333333333333,-1.9175501204999998
tank,3,0.0,-2.4137177463333335
teacher,2,0.0,-1.141617775
telemarketer,3,1.0,1.37650546
tent,2,0.0,-1.623536055
thread,4,0.0,-2.4739602025000003
toy,3,0.0,-2.112677788333333
tractor,3,0.3333333333333333,0.13504544666666668
trader,3,1.0,2.4799218036666666
traveller,2,0.5,-0.32751548999999996
truck,3,1.0,2.072515998
tub,2,0.0,-1.443657815
tuna,3,0.0,-4.556333338333334
turkey,4,0.0,-3.1554671045
upholsterer,4,0.75,0.15966747750000002
valve,4,1.0,1.6523556225
van,3,0.6666666666666666,0.6620361566666667
vegetable,3,0.0,-3.9759752103333335
vehicle,3,1.0,2.2336755900000003
verse,2,0.0,-3.2794483735
view,2,0.5,0.2410631750000001
violin,2,0.0,-3.609399534
violinist,2,0.0,-3.233025358
waiter,3,0.6666666666666666,-0.23411619000000003
waitress,3,0.0,-1.44247115
wall,4,0.0,-1.1695995675
window,3,1.0,2.1959286053333336
windshield,5,0.8,2.191400744
woman,5,0.0,-3.4466423043999996
wood,11,0.0,-1.2606879190909093
wool,5,0.0,-1.8799303154
worker,4,0.25,-0.6481389675000001
wound,4,0.5,-0.3154954325
yarn,5,0.2,-1.3332014870000002
