noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,0.0,0.0,5.0966964665
actor,1,1.0,0.0,4.934505465
aircraft,3,0.0,0.0,4.3117082736666665
album,3,0.0,0.0,3.329417573666667
animal,2,0.0,0.0,1.324008
announcer,2,1.0,0.0,2.032043435
artisan,4,1.0,0.0,2.6494780635
artist,4,0.75,0.25,1.6610891075
author,2,1.0,0.0,3.5599282315
aviator,3,1.0,0.0,4.947572431
backpack,2,0.0,0.0,1.921172915
backpacker,2,1.0,0.0,0.49448016
bag,2,0.0,0.0,1.6465547850000002
baker,6,0.6666666666666666,0.3333333333333333,0.7172892416666667
barber,7,0.8571428571428571,0.14285714285714285,1.0334900071428572
basket,2,0.0,0.0,0.966620935
beard,3,0.0,0.0,0.9527896333333334
bedding,5,0.0,0.0,2.2601573522000002
bike,4,0.0,0.0,2.35655510975
blanket,2,0.0,0.0,2.3710430799999997
blogger,2,1.0,0.0,1.400388635
board,4,0.25,0.25,0.68820876
book,3,0.0,0.0,3.2753083613333334
bottle,2,0.0,0.0,3.21497053
bowl,2,0.0,0.0,3.7765767429999997
bread,3,0.3333333333333333,0.3333333333333333,0.5350008199999999
broadcaster,2,1.0,0.0,1.267081295
building,2,0.0,0.0,2.9845946725
bus,3,0.0,0.0,3.6495229896666666
busboy,5,1.0,0.0,1.9918185392
businessman,3,1.0,0.0,3.3030835773333336
businesswoman,3,1.0,0.0,1.8049942133333332
butcher,4,1.0,0.0,1.80983754775
cake,3,0.3333333333333333,0.3333333333333333,0.45459967000000007
cameraman,2,1.0,0.0,2.25479539
camper,2,1.0,0.0,0.6534228049999999
canvas,4,0.25,0.25,1.0031311075
captain,3,1.0,0.0,3.155735525666667
car,12,0.0,0.0,3.8141475841666668
cardboard,4,0.25,0.25,0.46532350499999997
carpet,3,0.0,0.0,2.25631072
carver,7,1.0,0.0,2.2176880534285712
caterer,3,0.6666666666666666,0.3333333333333333,0.7930587233333334
cd,3,0.0,0.0,2.994604245666667
cellist,2,1.0,0.0,2.3076788725
cello,2,0.0,0.0,2.410657075
chauffeur,3,1.0,0.0,2.9788751406666667
chef,10,0.9,0.1,1.8251081186
choreography,1,0.0,0.0,4.716401865
clarinet,2,0.0,0.0,1.5489572200000001
clarinetist,2,1.0,0.0,1.6283262349999998
clay,6,0.16666666666666666,0.16666666666666666,0.05836805833333333
cleaner,5,1.0,0.0,2.7560900792000007
clerk,2,1.0,0.0,1.019828275
cloth,8,0.25,0.25,1.1405409457500002
coat,2,0.0,0.0,1.16914852
code,2,0.0,0.0,3.1744332555
comedian,1,1.0,0.0,3.302443234
concerto,1,0.0,0.0,4.608473372
confectioner,3,0.6666666666666666,0.3333333333333333,-0.21852864000000002
container,2,0.0,0.0,2.9779513250000003
convertible,3,0.0,0.0,3.277480092
cook,6,0.6666666666666666,0.3333333333333333,1.056680609
cotton,4,0.25,0.25,0.6203820074999999
countertop,3,0.0,0.0,1.6248008799999998
crate,2,0.0,0.0,1.277617005
cushion,4,1.0,1.0,-1.1037980925
cut,4,0.25,0.25,1.2216116525
dancer,1,1.0,0.0,3.086678398
dealer,3,1.0,0.0,3.4911410333333333
dish,2,0.0,0.0,3.1045110830000002
doctor,2,1.0,0.0,2.602783943
dough,3,0.3333333333333333,0.3333333333333333,0.7310037600000001
dressmaker,4,0.75,0.25,-0.03179529599999997
driver,7,1.0,0.0,4.433447401285714
drug,3,0.0,0.0,3.2940255260000004
drummer,2,1.0,0.0,3.5428309195
duffle,2,0.0,0.0,1.2717904599999998
essay,4,0.0,0.0,5.0997128505
essayist,2,1.0,0.0,3.277437645
fabric,20,0.05,0.05,2.42261825555
fillet,3,0.3333333333333333,0.3333333333333333,1.21532984
fish,3,0.3333333333333333,0.3333333333333333,1.2003919733333333
floor,3,0.0,0.0,2.6451475153333335
flute,2,0.0,0.0,2.139704055
flutist,2,1.0,0.0,1.1728186649999999
food,2,0.0,0.0,1.00983953
gem,4,0.0,0.0,2.760977893
glass,4,0.25,0.25,0.9859428225
hairdresser,7,0.8571428571428571,0.14285714285714285,0.62471033
handle,4,0.0,0.0,3.41884646175
hat,3,0.0,0.0,1.77083517
herb,3,0.0,0.0,2.317371225
hiker,2,1.0,0.0,1.10882578
housekeeper,3,1.0,0.0,1.1784953
ice,7,0.0,0.0,0.8226364899999999
illustrator,4,0.75,0.25,1.4822074550000002
ingredient,3,0.0,0.0,2.234566291666667
instrument,2,0.0,0.0,3.3963146175
item,3,0.0,0.0,4.427803235666667
jacket,2,0.0,0.0,1.7082872299999998
janitor,3,1.0,0.0,2.5092578096666664
jet,3,0.0,0.0,4.274200972
jeweler,4,1.0,0.0,1.473565995
jewelry,3,0.0,0.0,2.6763030736666664
journalist,2,1.0,0.0,2.038348145
kite,3,0.0,0.0,1.8780949900000001
knob,4,0.0,0.0,2.16596089
lady,5,0.4,0.6,-0.49363322600000004
lake,2,0.0,0.0,1.0270823500000001
landscape,2,0.0,0.0,1.26811738
letter,2,0.0,0.0,4.113455350000001
line,2,0.0,0.0,4.6562165449999995
lotion,3,0.0,0.0,0.8681409000000001
lunchbox,2,1.0,1.0,-0.3092295299999999
machine,8,0.75,0.25,1.2745100405000003
magazine,3,0.0,0.0,2.506041473333333
maid,5,1.0,0.0,1.9655195060000001
make,3,0.0,0.0,3.1796508733333333
man,5,0.8,0.2,1.1760278720000001
marble,3,0.0,0.0,1.7004180166666665
mason,3,1.0,0.0,0.8696438566666668
material,4,0.0,0.0,3.062324473
meat,7,0.0,0.0,2.1011131185714285
mirror,3,0.0,0.0,1.97671816
model,2,0.0,0.0,1.921842555
