noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,4.34157078
actor,1,0.0,5.170752386
aircraft,3,0.0,5.6367175849999995
album,3,0.0,3.730558624666667
animal,2,0.0,2.441275445
announcer,2,0.0,2.326819
artisan,4,0.0,3.61322808175
artist,4,0.0,2.5281180175
author,2,0.0,2.591374795
aviator,3,0.0,5.351252594666666
backpack,2,0.0,2.8540199375
backpacker,2,0.0,1.323314275
bag,2,0.0,2.944107363
baker,6,0.0,1.9069018683333336
barber,7,0.0,1.8094442335714287
basket,2,0.0,2.25941228
beard,3,0.0,1.93008467
bedding,5,0.0,2.7693436564000002
bike,4,0.0,3.4762772585
blanket,2,0.0,2.984794952
blogger,2,0.0,1.46872427
board,4,0.0,2.21733258625
book,3,0.0,3.5394639653333333
bottle,2,0.0,3.448349251
bowl,2,0.0,4.180777711499999
bread,3,0.0,2.0658176200000002
broadcaster,2,0.0,1.33895733
building,2,0.0,4.171591455
bus,3,0.0,4.596845360333334
busboy,5,0.0,2.6118605209999997
businessman,3,0.0,3.765929444333333
businesswoman,3,0.0,2.6910720966666664
butcher,4,0.0,2.4695881660000003
cake,3,0.0,1.9432599113333335
cameraman,2,0.0,3.355774095
camper,2,0.0,2.1909656225000003
canvas,4,0.0,2.0230030087500004
captain,3,0.0,4.5986818666666665
car,12,0.0,4.416479284916667
cardboard,4,0.0,1.37968587875
carpet,3,0.0,3.2331970566666666
carver,7,0.0,2.6040377272857143
caterer,3,0.0,1.3516921066666665
cd,3,0.0,3.589759619666667
cellist,2,0.0,3.482492242
cello,2,0.0,2.804623425
chauffeur,3,0.0,4.925269131
chef,10,0.0,2.7954582631999996
choreography,1,0.0,5.1280798690000005
clarinet,2,0.0,2.255285692
clarinetist,2,0.0,3.1289245279999998
clay,6,0.0,1.5026527716666667
cleaner,5,0.0,4.5715515322
clerk,2,0.0,2.26540059
cloth,8,0.0,2.19534458175
coat,2,0.0,2.241177825
code,2,0.0,3.3766467240000004
comedian,1,0.0,4.17665681
concerto,1,0.0,5.422760779
confectioner,3,0.0,1.3806755366666668
container,2,0.0,3.338434007
convertible,3,0.0,4.658141992666667
cook,6,0.0,2.7809935948333333
cotton,4,0.25,1.10902612
countertop,3,0.0,2.6208836233333335
crate,2,0.0,2.8254099200000002
cushion,4,0.0,1.3526547050000002
cut,4,0.0,2.217943361
dancer,1,0.0,4.683339096
dealer,3,0.0,4.135717904000001
dish,2,0.0,4.09737001
doctor,2,0.0,1.5151095099999998
dough,3,0.0,2.2209611246666667
dressmaker,4,0.25,0.97032013
driver,7,0.0,5.2395089740000005
drug,3,0.0,2.9623468899999996
drummer,2,0.0,4.371719152000001
duffle,2,0.0,2.7007327125
essay,4,0.0,3.83871899725
essayist,2,0.0,2.843694595
fabric,20,0.0,3.1357174084000006
fillet,3,0.0,2.415903236666667
fish,3,0.0,2.29492361
floor,3,0.0,4.081939574
flute,2,0.0,2.8322294379999997
flutist,2,0.0,3.1125336800000003
food,2,0.0,1.4364800149999999
gem,4,0.0,3.646356526
glass,4,0.0,1.8771901034999998
hairdresser,7,0.0,1.255632502857143
handle,4,0.0,4.93336866175
hat,3,0.0,3.0783670136666665
herb,3,0.0,2.5683362743333333
hiker,2,0.0,2.2075699899999996
housekeeper,3,0.0,1.9427065199999998
ice,7,0.0,2.174848433571429
illustrator,4,0.0,2.1285645352500002
ingredient,3,0.0,2.51495495
instrument,2,0.0,2.9825613125
item,3,0.0,4.935737095
jacket,2,0.0,3.006945515
janitor,3,0.0,3.5982261553333337
jet,3,0.0,5.43904567
jeweler,4,0.0,2.432164311
jewelry,3,0.0,2.686497578333333
journalist,2,0.0,2.124454533
kite,3,0.0,2.380814856666667
knob,4,0.0,3.8845821385
lady,5,0.2,0.695619158
lake,2,0.0,2.1194881
landscape,2,0.0,2.416861465
letter,2,0.0,3.142949325
line,2,0.0,2.958203595
lotion,3,0.0,1.7922883733333332
lunchbox,2,0.0,1.136686775
machine,8,0.0,1.8284437149999997
magazine,3,0.0,2.901102509333333
maid,5,0.0,3.0190093414000003
make,3,0.0,4.090355677
man,5,0.0,2.08883741
marble,3,0.0,2.5105446883333333
mason,3,0.0,1.477513326666667
material,4,0.0,3.4949875290000003
meat,7,0.0,3.008508278285714
mirror,3,0.0,2.58760347
model,2,0.0,1.8846477849999999
motorcycle,4,0.0,3.68342666925
motorist,4,0.0,3.80495238125
mountain,2,0.0,1.7434887099999998
mover,2,0.0,2.414997007
mushroom,3,0.0,1.9189049400000002
musician,3,0.0,4.262517964666666
narrator,2,0.0,2.0883916
notetaker,2,0.0,1.6862286000000002
novel,3,0.0,4.789994502333333
novelist,2,0.0,2.42020452
orator,2,0.0,2.1591161100000003
packaging,4,0.0,2.5714347755
painter,4,0.0,3.0374380865
panel,4,0.0,2.1447792625
paper,4,0.0,2.7622593355
passage,6,0.0,3.5429007169999998
pastry,3,0.0,1.5338385666666667
patissier,3,0.3333333333333333,-0.06347784000000002
pattern,5,0.2,1.193386314
peddler,3,0.0,2.793581408333333
pepper,3,0.0,1.8063014146666667
person,30,0.1,1.3671310413333333
photographer,2,0.0,2.5693685349999997
pianist,2,0.0,2.4703762505
piano,2,0.0,3.2520854725
pie,3,0.0,2.0487838133333334
pilot,7,0.0,3.8449091641428574
pizza,3,0.0,1.65997244
plane,3,0.0,4.819521133666668
poem,2,0.0,2.346372745
poet,2,0.0,2.179143185
portraitist,4,0.0,1.8327300025
pot,3,0.0,2.7993006623333336
potato,3,0.0,1.6415964733333335
potter,3,0.0,1.7619466933333332
product,3,0.0,4.287649227666667
professor,2,0.0,1.780236165
proposal,2,0.0,3.5182400019999998
pumpkin,4,0.0,0.4476080375
quilt,4,0.25,0.77808425
racer,4,0.0,3.69514148425
report,2,0.0,2.7604682150000004
roadtripper,2,0.0,1.596272515
routine,1,0.0,5.448066482
salesman,3,0.0,4.091889029
saleswoman,3,0.0,2.704064281333333
salmon,3,0.0,2.4476238733333333
scene,1,0.0,4.785856143
screw,4,0.0,3.22897444425
scribe,2,0.0,2.72113417
script,2,0.0,3.181992845
sculptor,7,0.0,2.352352715714286
seamster,8,0.125,1.406655122
seamstress,4,0.0,1.0321517075
section,2,0.0,3.751082325
shirt,2,0.0,3.522833737
shopkeeper,3,0.0,2.10337926
sideburn,3,1.0,-0.8705775533333333
silk,4,0.0,1.3627967475
silverware,3,0.0,2.2097579753333334
singer,1,0.0,4.30081787
snack,3,0.0,2.152712086666667
soloist,1,0.0,4.3736948810000005
sonata,1,0.0,4.736997701
song,1,0.0,4.68593011
steak,7,0.0,2.950976887
stone,7,0.0,2.495987452142857
stubble,3,0.0,0.4690596366666666
student,4,0.0,1.990959985
suitcase,2,0.0,2.8903712015
surface,7,0.0,3.5030143564285714
surgeon,4,0.25,1.3086969175
suv,6,0.0,4.284659603833333
tailor,12,0.16666666666666666,1.4205050111666664
tank,3,0.0,4.406826773333333
teacher,2,0.0,2.019197565
telemarketer,3,0.0,3.1786581060000003
tent,2,0.0,2.33797572
thread,4,0.0,2.3573664174999998
toy,3,0.0,2.7377797183333334
tractor,3,0.0,5.2190942609999995
trader,3,0.0,3.6091075213333332
traveller,2,0.0,1.78598346
truck,3,0.0,5.135541262
tub,2,0.0,3.122466037
tuna,3,0.0,1.6288594466666666
turkey,4,0.0,0.4306483575
upholsterer,4,0.25,0.5449221000000001
valve,4,0.0,4.12246331225
van,3,0.0,4.782368512333334
vegetable,3,0.0,2.856204444333333
vehicle,3,0.0,5.799592995333334
verse,2,0.0,3.6795017650000004
view,2,0.0,3.2481710415
violin,2,0.0,3.203054041
violinist,2,0.0,3.042541225
waiter,3,0.0,2.8315965453333334
waitress,3,0.0,1.4853797766666668
wall,4,0.0,2.7973500027500005
window,3,0.0,3.7854181046666664
windshield,5,0.0,4.0483657468
woman,5,0.2,0.528484788
wood,11,0.0,2.4122677564545456
wool,5,0.0,1.1657003119999998
worker,4,0.0,2.7354870995000002
wound,4,0.25,1.86249105275
yarn,5,0.0,1.4920242152
