noun,avg_LL_delta
abstract,2.2966508
actor,-0.1667248999999997
aircraft,-2.52998405
album,-0.7620453299999999
animal,-2.20567392
announcer,4.769023300000001
artisan,-0.2529851000000001
artist,-0.3369216000000001
author,4.5496406
aviator,-1.28032116
backpack,-1.86751764
backpacker,0.7491150000000002
bag,-0.3822627
baker,-0.4643632599999999
barber,-1.87050222
basket,-2.89492829
beard,-2.53841289
bedding,-0.33096886
bike,-1.64992335
blanket,-2.67816312
blogger,2.55240716
board,-0.7069854499999999
book,-0.7410067
bottle,-1.93561938
bowl,-2.31153663
bread,-0.8746145000000001
broadcaster,4.0141446
building,-0.8298384599999999
bus,-3.4060696
busboy,-0.2014449999999998
businessman,1.7143431
businesswoman,3.16912843
butcher,-1.5810643
cake,-2.17452235
cameraman,-0.3032524999999999
camper,-1.36422093
canvas,-0.4518614999999999
captain,-3.2074283
car,-2.96207411
cardboard,-0.5532807999999999
carpet,-0.7779236
carver,-1.7146785400000002
caterer,2.621891
cd,-0.9062214000000002
cellist,-0.5184935999999998
cello,-2.14249968
chauffeur,-1.0995946
chef,-0.8023698000000001
choreography,-0.5030711000000001
clarinet,-1.10998156
clarinetist,0.7920992
clay,1.13708718
cleaner,2.9205768
clerk,2.0717679
cloth,-1.0515432999999998
coat,-2.73263068
code,3.3117618
comedian,0.0046404999999998
concerto,-0.2642901000000002
confectioner,2.5533131300000003
container,-1.22019
convertible,0.1059931999999999
cook,-0.9454820000000002
cotton,0.2380637999999999
countertop,-1.1107082
crate,-1.2022137
cushion,-1.73081102
cut,-1.35745805
dancer,0.1614208999999999
dealer,1.680322
dish,-1.2352036999999998
doctor,-1.0004267000000002
dough,-0.0644551999999998
dressmaker,1.4690061600000002
driver,-0.9212626
drug,-1.57987776
drummer,-1.6399811
duffle,-2.25851055
essay,3.10990152
essayist,3.1288395600000003
fabric,-0.2743309999999999
fillet,-3.07401418
fish,-2.0021171200000003
floor,-0.7519977
flute,-2.27797305
flutist,-1.1817092
food,-2.88654744
gem,-1.20600323
glass,-2.04816244
hairdresser,2.32684508
handle,0.2320941999999999
hat,-1.75755828
herb,-1.1534081500000002
hiker,-2.1052107
housekeeper,1.3838346
ice,-2.5325749
illustrator,2.6591442
ingredient,-0.4968696999999999
instrument,-2.13765717
item,-1.5369910999999998
jacket,-1.97702423
janitor,1.4560471500000003
jet,-0.7102861
jeweler,2.3022869
jewelry,-0.4188689599999999
journalist,3.612335999999999
kite,-0.8161736399999999
knob,-1.0321030999999996
lady,-1.43069476
lake,-3.624365082
landscape,-0.8274334999999999
letter,1.6719561
line,-0.2562208000000003
lotion,-0.2889290599999999
lunchbox,-1.60515409
machine,-1.14356036
magazine,0.75277703
maid,1.2604075
make,0.8170793000000001
man,-2.5250567700000004
marble,-0.5379441
mason,-0.0450237999999998
material,0.5523204000000002
meat,-2.16007144
mirror,-0.97731364
model,3.3596405
motorcycle,-0.8833656700000001
motorist,0.616214
mountain,-2.467910944
mover,1.4144905000000003
mushroom,-0.0696831
musician,-0.4386519999999998
narrator,4.670961
notetaker,4.4588292
novel,1.5989044
novelist,2.031186
orator,3.1716056
packaging,0.78741146
painter,-2.1397562
panel,0.1390685999999998
paper,0.7840652000000001
passage,-0.5057976000000002
pastry,-1.801964
patissier,0.0338783
pattern,1.552315
peddler,-1.8491173
pepper,-0.4910187299999999
person,-1.198233
photographer,-0.6187746999999999
pianist,0.8517667
piano,0.3008097999999999
pie,-1.25665085
pilot,-1.7685831000000003
pizza,-1.7910939600000002
plane,-2.1117019
poem,2.3880844
poet,1.1892777
portraitist,-0.7761612999999999
pot,-1.5493164
potato,-1.52906
potter,0.1924846000000002
product,0.1026532
professor,3.0392971
proposal,2.1004868
pumpkin,-4.099999942
quilt,-3.125522
racer,-0.7821008
report,3.01137408
roadtripper,0.6599655000000001
routine,-0.0633946
salesman,2.5633643999999998
saleswoman,3.3791246
salmon,-1.86261267
scene,0.4823282999999998
screw,0.2707108
scribe,0.6690541000000003
script,3.7905060000000006
sculptor,-1.5071354
seamster,0.2222900999999999
seamstress,1.0097465
section,-0.0377285
shirt,-1.4318353
shopkeeper,1.0075665000000005
sideburn,-2.49592968
silk,1.1375293000000002
silverware,-3.285841718
singer,1.5370436
snack,-2.2728057
soloist,1.8817987
sonata,0.2444218
song,0.9934784999999996
steak,-2.29508206
stone,-1.75145909
stubble,-0.9460601000000002
student,0.4910396000000001
suitcase,-1.46445843
surface,-1.2117558000000002
surgeon,-0.8988989399999999
suv,-1.66833318
tailor,1.3909385000000003
tank,-1.71765906
teacher,2.2946644
telemarketer,3.8772751
tent,-1.58603016
thread,-1.2252235699999998
toy,-1.447563
tractor,-1.2706737499999998
trader,0.9876784999999996
traveller,-0.4122945
truck,-2.21833403
tub,-2.55843354
tuna,-1.72723675
turkey,-2.4928014700000003
upholsterer,1.8721449
valve,-0.82282037
van,-1.1239301
vegetable,-1.7629623
vehicle,-1.62316503
verse,3.62875124
view,1.0778818
violin,-1.2511274
violinist,0.1868133999999999
waiter,-0.2205143
waitress,1.0342375
wall,-0.5936727999999999
window,-1.623335
windshield,0.5911409599999999
woman,-0.8209289
wood,-3.17259315
wool,-0.7553360999999998
worker,1.9388504
wound,-1.07178698
yarn,-0.920434
