noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,0.5467318999999999
actor,1,1.0,-0.2644803
aircraft,3,0.0,0.32680007
album,3,0.3333333333333333,0.12718841333333333
animal,2,0.0,0.7774106350000001
announcer,2,0.0,0.23684538000000005
artisan,4,1.0,-0.54613779
artist,4,0.5,-0.27105295000000007
author,2,0.0,1.06934835
aviator,3,0.3333333333333333,0.1273739533333333
backpack,2,1.0,-0.21806907
backpacker,2,1.0,-0.593484635
bag,2,0.5,0.0257521
baker,6,1.0,-1.776114311
barber,7,1.0,-1.090286117142857
basket,2,1.0,-0.40241963000000003
beard,3,1.0,-1.6928246466666668
bedding,5,1.0,-0.5618885519999999
bike,4,1.0,-0.6134801599999999
blanket,2,1.0,-0.952749245
blogger,2,0.0,0.10696761499999999
board,4,0.75,-0.756835965
book,3,0.0,0.46316516999999996
bottle,2,1.0,-0.24184788
bowl,2,1.0,-0.5798575850000001
bread,3,1.0,-1.6784947916666668
broadcaster,2,0.0,0.099643845
building,2,0.0,0.08686647499999994
bus,3,1.0,-1.0152098266666665
busboy,5,1.0,-0.893039592
businessman,3,1.0,-0.3287071033333333
businesswoman,3,0.0,0.8511976566666667
butcher,4,1.0,-0.6133741199999999
cake,3,1.0,-2.44999329
cameraman,2,1.0,-0.6342370000000002
camper,2,1.0,-0.68584322
canvas,4,1.0,-0.7160626262500001
captain,3,1.0,-0.3265548333333333
car,12,0.9166666666666666,-0.8856895483333335
cardboard,4,0.75,-0.359624815
carpet,3,1.0,-1.0091342833333334
carver,7,1.0,-1.0369673757142857
caterer,3,1.0,-1.3743397780000002
cd,3,0.3333333333333333,0.22682034999999998
cellist,2,1.0,-0.32411862999999996
cello,2,1.0,-0.42613081999999997
chauffeur,3,1.0,-0.8710486566666665
chef,10,1.0,-0.7025006759999999
choreography,1,1.0,-0.12073887
clarinet,2,1.0,-0.12133394499999994
clarinetist,2,1.0,-0.19500343999999997
clay,6,1.0,-0.7155730526666666
cleaner,5,1.0,-0.21714284999999997
clerk,2,1.0,-0.842494925
cloth,8,0.625,-0.646019052
coat,2,1.0,-0.5399931949999999
code,2,0.0,1.658949535
comedian,1,1.0,-0.33843997
concerto,1,0.0,0.4776268
confectioner,3,1.0,-1.07165098
container,2,0.0,0.2172726849999999
