noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,0.6983998699999999
actor,1,0.0,-0.0485682499999999
aircraft,3,1.0,0.31630198666666665
album,3,1.0,0.3408782133333334
animal,2,1.0,0.74185224
announcer,2,0.5,-0.0012750449999999539
artisan,4,0.0,-0.7008628349999999
artist,4,0.75,-0.2550179675
author,2,1.0,0.92456942
aviator,3,0.6666666666666666,0.025924813333333296
backpack,2,0.0,-0.15451248499999995
backpacker,2,0.0,-0.51478185
bag,2,0.0,-0.167251775
baker,6,0.0,-1.3831502075
barber,7,0.0,-1.0268547928571428
basket,2,0.0,-0.29390606499999994
beard,3,0.0,-0.7907607433333332
bedding,5,0.4,-0.23190735599999995
bike,4,0.0,-0.826697335
blanket,2,0.0,-0.85990528
blogger,2,0.5,0.027138749999999948
board,4,0.5,-0.3827727175000001
book,3,1.0,0.7837414366666667
bottle,2,1.0,0.07350330499999995
bowl,2,0.0,-0.35754484999999997
bread,3,0.0,-1.3937725666666667
broadcaster,2,0.5,-0.01688199999999995
building,2,1.0,0.3268360449999999
bus,3,0.0,-1.3452884866666668
busboy,5,0.0,-0.7011991980000001
businessman,3,1.0,0.32985753333333334
businesswoman,3,1.0,1.1020844966666665
butcher,4,0.0,-0.7403371324999999
cake,3,0.0,-1.8706593466666668
cameraman,2,0.0,-0.15229485
camper,2,0.0,-0.692047335
canvas,4,0.75,-0.23438600749999997
captain,3,0.0,-0.5298385533333333
car,12,0.0,-0.6737990908333334
cardboard,4,0.25,-0.376339925
carpet,3,0.0,-0.2556582733333333
carver,7,0.0,-0.6941874842857143
caterer,3,0.0,-1.1546781833333333
cd,3,0.6666666666666666,0.08193652999999995
cellist,2,0.0,-0.17309896999999994
cello,2,1.0,0.17095408999999995
chauffeur,3,0.0,-0.9590061066666666
chef,10,0.1,-0.5458942389999999
choreography,1,1.0,0.4050896699999999
clarinet,2,1.0,0.343284945
clarinetist,2,0.5,0.15100983499999995
clay,6,0.0,-0.7005626450000001
cleaner,5,0.6,-0.080848176
clerk,2,0.0,-0.7879490600000001
cloth,8,0.625,-0.15147632562500005
coat,2,0.0,-0.60887271
code,2,1.0,1.56510616
comedian,1,0.0,-0.42881015
concerto,1,1.0,0.5101852600000001
confectioner,3,0.0,-0.9734409200000002
container,2,1.0,0.0341974299999999
convertible,3,0.0,-0.5244739733333333
cook,6,0.0,-1.050092575
cotton,4,0.5,-0.40511669000000006
countertop,3,0.3333333333333333,-0.015006979999999967
crate,2,0.0,-0.826636215
cushion,4,0.0,-0.92270206
cut,4,0.0,-1.2609982275
dancer,1,0.0,-0.01604667
dealer,3,0.0,-0.09620235333333332
dish,2,0.0,-0.5927213349999999
doctor,2,1.0,0.4713670299999999
dough,3,0.0,-1.7499515766666665
dressmaker,4,0.0,-0.9924827250000001
driver,7,0.0,-0.9024873857142858
drug,3,1.0,0.5828143466666668
drummer,2,0.0,-0.50985679
duffle,2,0.0,-0.55170455
essay,4,1.0,0.591597555
essayist,2,1.0,0.53502055
fabric,20,0.75,0.07465542950000001
fillet,3,0.0,-1.4742070216666665
fish,3,0.0,-1.307330765
floor,3,0.0,-0.4166050566666666
flute,2,0.5,0.12729072499999994
flutist,2,0.0,-0.34010724499999995
food,2,1.0,0.592114395
gem,4,1.0,0.5557227425
glass,4,0.75,0.11080029
hairdresser,7,0.14285714285714285,-0.3808505042857143
handle,4,0.25,-0.388278
hat,3,1.0,1.0924987433333333
herb,3,0.6666666666666666,-0.1783933133333333
hiker,2,0.0,-0.959054005
housekeeper,3,0.0,-0.28940138666666665
ice,7,0.42857142857142855,-0.05036421714285716
illustrator,4,0.75,-0.15616260500000004
ingredient,3,0.6666666666666666,0.31987633666666665
instrument,2,1.0,0.31967542499999996
item,3,1.0,1.1865622766666666
jacket,2,0.0,-0.49806615
janitor,3,0.0,-1.2082182666666668
jet,3,0.6666666666666666,-0.06915081666666671
jeweler,4,0.0,-0.4498686225
jewelry,3,1.0,0.7021878833333334
journalist,2,0.5,-0.04810609500000006
kite,3,0.6666666666666666,0.09445871
knob,4,0.0,-1.2217032525000002
lady,5,0.2,-0.6151221880000001
lake,2,0.0,-0.27445414
landscape,2,1.0,0.0526953299999999
letter,2,1.0,1.267672465
line,2,1.0,1.549862745
lotion,3,1.0,0.7766023366666667
lunchbox,2,0.0,-0.19865683499999998
machine,8,0.0,-1.0151100162500002
magazine,3,0.6666666666666666,0.16905793666666666
maid,5,0.0,-0.6612911180000001
make,3,1.0,1.6403788300000002
man,5,0.0,-1.4337433296
marble,3,1.0,0.31817765333333337
mason,3,0.0,-0.3340762766666667
material,4,0.75,-0.22832543375000008
meat,7,0.2857142857142857,-0.5565375585714285
mirror,3,0.6666666666666666,-0.0045542300000000315
model,2,1.0,1.10488794
motorcycle,4,0.5,-0.22430613750000003
motorist,4,0.0,-0.8674633375
mountain,2,1.0,0.23568535999999995
mover,2,0.0,-0.4369895049999999
mushroom,3,0.6666666666666666,-0.22974568333333337
musician,3,0.6666666666666666,0.12484046333333337
narrator,2,0.0,-0.18709302
notetaker,2,1.0,0.1975984
novel,3,0.6666666666666666,0.04205521333333334
novelist,2,0.5,-0.07600600000000005
orator,2,0.0,-0.065565175
packaging,4,0.75,0.5256902699999999
painter,4,0.0,-0.64948522
panel,4,0.75,0.24328550250000006
paper,4,0.75,0.103647125
passage,6,0.3333333333333333,-0.09973593833333329
pastry,3,0.0,-1.4393380833333334
patissier,3,0.0,-1.3298019666666665
pattern,5,0.6,-0.353989843
peddler,3,0.0,-0.5569095866666666
pepper,3,0.6666666666666666,0.006729053333333364
person,30,0.5666666666666667,0.0014354445333333262
photographer,2,0.5,-0.023267274999999952
pianist,2,0.0,-0.28229998
piano,2,0.0,-0.19598886499999996
pie,3,0.0,-1.9038427680000003
pilot,7,0.0,-0.5780952114285716
pizza,3,0.0,-1.6412028566666665
plane,3,0.0,-0.6328598533333333
poem,2,1.0,0.19467282999999996
poet,2,0.5,0.02293937
portraitist,4,0.0,-0.589954425
pot,3,1.0,0.13750594999999996
potato,3,0.0,-1.4093907766666665
potter,3,0.0,-0.4128994166666667
product,3,1.0,0.8747202566666666
professor,2,1.0,0.8527131450000001
proposal,2,1.0,0.44730472999999993
pumpkin,4,0.0,-0.60649207
quilt,4,0.0,-1.6441229185
racer,4,0.0,-0.5142370425
report,2,1.0,1.36594097
roadtripper,2,0.0,-0.7751140350000001
routine,1,0.0,-1.63727333
salesman,3,1.0,0.6033783533333333
saleswoman,3,1.0,1.0101797933333332
salmon,3,0.0,-1.3779874
scene,1,0.0,-0.1522789
screw,4,0.0,-0.5533323625000001
scribe,2,0.0,-0.47148697
script,2,1.0,1.2674531199999999
sculptor,7,0.0,-0.22411776999999994
seamster,8,0.0,-0.951134430875
seamstress,4,0.75,-0.41447427000000003
section,2,1.0,0.5865145
shirt,2,0.0,-0.98674774
shopkeeper,3,1.0,0.17641509333333324
