verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-1.5238804605555556,-2.188000096125
carves,20,28,0.0,0.8214285714285714,0.4791666666666667,-0.7511259115,-0.5185750660714287
cleans,21,33,0.2857142857142857,0.9090909090909091,0.6666666666666666,-0.3224430847619047,-0.3838006700000001
cooks,12,33,0.0,0.8787878787878788,0.6444444444444445,-1.2635540175,-1.2139782776666665
cuts,16,24,0.1875,0.5416666666666666,0.4,-0.44420477562500005,-0.26266642145833335
drives,9,27,0.1111111111111111,1.0,0.7777777777777778,-0.5500581455555555,-0.8495134407407408
embroiders,12,16,0.0,0.875,0.5,-1.1835042344166669,-0.925257867875
flies,12,12,0.4166666666666667,0.25,0.3333333333333333,-0.07896079833333332,0.29903255749999996
knits,20,15,0.0,0.4666666666666667,0.2,-1.00628865585,-0.39552776040000004
packs,16,24,0.0,0.9166666666666666,0.55,-0.71143613875,-0.5608363729166667
paints,20,28,0.2,0.8928571428571429,0.6041666666666666,-0.7817266499999999,-0.9285433157500002
performs,7,6,0.2857142857142857,0.6666666666666666,0.46153846153846156,-0.1665567428571429,-0.5032285476666667
photographs,4,14,0.5,0.42857142857142855,0.4444444444444444,0.06393802999999999,0.23394342785714287
plays,14,12,0.07142857142857142,0.8333333333333334,0.4230769230769231,-0.44298801857142855,-0.26995343499999996
reads,14,20,0.35714285714285715,0.45,0.4117647058823529,-0.026869025714285684,-0.16525463100000004
sculpts,15,15,0.06666666666666667,1.0,0.5333333333333333,-0.6633136986666668,-0.4914195286666666
sells,27,45,0.5925925925925926,0.4222222222222222,0.4861111111111111,0.13868502481481482,0.031260084888888914
sews,12,8,0.0,0.375,0.15,-1.3670824613333334,-0.44216869300000006
shaves,6,9,0.0,1.0,0.6,-0.5777899283333332,-0.8360236899999999
stitches,20,28,0.0,0.7857142857142857,0.4583333333333333,-1.0814321744000002,-1.0348341142142858
turns,16,28,0.0,0.9642857142857143,0.6136363636363636,-0.8055013200000001,-1.0161247845
washes,8,18,0.0,1.0,0.6923076923076923,-0.5148865425,-1.02415831
writes,24,10,0.4583333333333333,0.8,0.5588235294117647,-0.03153294416666668,-0.18495878899999998
