noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.5,0.10255394500000005
actor,1,0.0,4.128480497
aircraft,3,0.0,5.017707865333334
album,3,0.0,2.184895866666667
animal,2,0.0,0.6272897000000001
announcer,2,0.0,3.9172344850000003
artisan,4,0.0,2.5130681267500004
artist,4,0.25,2.4258302525
author,2,0.0,4.0186652105
aviator,3,0.0,4.598502996666666
backpack,2,0.5,1.3707382415
backpacker,2,0.5,-0.68214993
bag,2,0.5,0.6072029500000001
baker,6,0.6666666666666666,-0.4773158128333333
barber,7,0.0,2.9730384747142855
basket,2,0.5,0.22570543300000012
beard,3,1.0,-0.6874773866666667
bedding,5,1.0,-1.8596724194
bike,4,0.75,-0.288195255
blanket,2,1.0,-3.1119850424999997
blogger,2,0.0,2.944934965
board,4,0.5,0.07579890750000007
book,3,0.0,2.4902790199999996
bottle,2,1.0,-1.21625066
bowl,2,1.0,-2.9663271824999997
bread,3,1.0,-2.5527023566666665
broadcaster,2,0.0,3.436277989
building,2,0.0,1.72184089
bus,3,0.0,4.002498529666667
busboy,5,0.4,0.04553137
businessman,3,0.0,3.543558237333334
businesswoman,3,0.0,3.9893916216666665
butcher,4,0.0,3.69252998275
cake,3,1.0,-2.498966896666667
cameraman,2,0.0,2.127462833
camper,2,0.5,1.1100519850000001
canvas,4,0.5,0.400375995
captain,3,0.0,2.936607816
car,12,0.4166666666666667,1.4864199392500002
cardboard,4,0.25,0.663686175
carpet,3,0.3333333333333333,0.014238833333333423
carver,7,0.0,3.3534148261428567
caterer,3,1.0,-0.7817972333333333
cd,3,0.0,2.498177631666667
cellist,2,0.0,2.0882951050000003
cello,2,0.0,3.2427832404999997
chauffeur,3,0.0,3.3342079946666665
chef,10,0.2,1.4021612307
choreography,1,0.0,4.065939085999999
clarinet,2,0.0,4.0733416579999995
clarinetist,2,0.0,2.19178844
clay,6,0.5,0.720816886
cleaner,5,0.0,3.0763983926
clerk,2,0.5,-0.7115611649999999
cloth,8,1.0,-1.974842582875
coat,2,0.5,-0.10020192000000006
code,2,0.0,6.133583882
comedian,1,0.0,5.734900515
concerto,1,0.0,4.880582269
confectioner,3,1.0,-0.9956379933333336
container,2,0.5,1.5244636514999999
convertible,3,0.0,3.611326350666667
cook,6,0.5,-0.6741755758333333
cotton,4,0.75,-1.67098355175
countertop,3,0.3333333333333333,0.30677313666666667
crate,2,0.0,2.226380213
cushion,4,1.0,-2.6976097085
cut,4,1.0,-2.5405548825
dancer,1,0.0,4.393924915
dealer,3,0.0,4.387855571666667
dish,2,1.0,-3.5468269955
doctor,2,0.0,5.384632571
dough,3,1.0,-2.0620081933333334
dressmaker,4,1.0,-2.7853705384000005
driver,7,0.2857142857142857,1.25798309
drug,3,0.0,6.558714305233333
drummer,2,0.0,2.8660414335
duffle,2,0.5,1.3604343975000002
essay,4,0.75,-1.4641317445
essayist,2,0.0,4.898258968
fabric,20,0.9,-1.6970289779
fillet,3,1.0,-3.079416526333333
fish,3,1.0,-3.0458619233333337
floor,3,0.6666666666666666,-0.30652861666666664
flute,2,0.0,3.9227447
flutist,2,0.0,4.0395716975000004
food,2,1.0,-2.048993793
gem,4,0.0,4.3299193083750005
glass,4,1.0,-1.65458928875
hairdresser,7,0.14285714285714285,0.7829308114285715
handle,4,0.0,5.8839242125
hat,3,0.0,4.452279674333334
herb,3,1.0,-2.1356165616666667
hiker,2,0.5,-0.164819665
housekeeper,3,0.3333333333333333,-0.07703171333333338
ice,7,0.0,2.0797696034285713
illustrator,4,0.25,1.5498646375
ingredient,3,1.0,-2.24664778
instrument,2,0.0,2.132680035
item,3,0.0,3.641585700666667
jacket,2,0.5,1.078056845
janitor,3,0.0,3.0049396576666667
jet,3,0.0,7.2036028251
jeweler,4,0.0,4.81986689425
jewelry,3,0.3333333333333333,-0.10958932000000006
journalist,2,0.0,4.468782844
kite,3,0.0,2.5817156066666667
knob,4,0.0,5.58839970525
lady,5,1.0,-4.66420446934
lake,2,1.0,-0.18280232499999993
landscape,2,1.0,-0.49716760499999996
letter,2,1.0,-0.7383483099999999
line,2,1.0,-1.19992237
lotion,3,0.0,4.033934758333333
lunchbox,2,0.5,-0.5610853450000001
machine,8,0.25,2.034773820625
magazine,3,0.0,2.670556793333333
maid,5,1.0,-1.7846270929999999
make,3,0.0,4.866338973
man,5,1.0,-2.7885254695999997
marble,3,0.0,1.8829939133333333
mason,3,0.0,3.5519877443333336
material,4,1.0,-3.769441285
meat,7,0.42857142857142855,0.23395841471428577
mirror,3,0.0,3.6129713203333336
model,2,0.0,1.13609464
motorcycle,4,0.0,1.1287694725
motorist,4,1.0,-1.2820067375
mountain,2,0.0,1.191515275
mover,2,0.0,1.6323647649999997
mushroom,3,1.0,-1.9315161333333333
musician,3,0.0,3.2811925856666666
narrator,2,0.0,1.821248675
notetaker,2,0.0,3.832528849
novel,3,0.0,3.643130068
novelist,2,0.0,6.473571145299999
orator,2,0.0,3.535530447
packaging,4,0.25,1.01094795
painter,4,0.0,2.6318724957499997
panel,4,0.5,0.03268223399999998
paper,4,0.25,0.7698836125000001
passage,6,0.6666666666666666,-0.6463264758333335
pastry,3,1.0,-4.184568274
patissier,3,1.0,-0.8089034366666666
pattern,5,0.8,-1.49162571
peddler,3,0.0,2.653199655
pepper,3,1.0,-2.7636438889999995
person,30,0.9333333333333333,-1.2923762320666667
photographer,2,0.0,1.850968935
pianist,2,0.0,2.9919490575000003
piano,2,0.0,5.306294813
pie,3,1.0,-3.210450697666667
pilot,7,0.0,4.000042195200001
pizza,3,1.0,-2.9723666056666667
plane,3,0.0,5.000727408
poem,2,0.5,-0.017640975000000045
poet,2,0.0,4.96932712315
portraitist,4,0.0,2.73449187925
pot,3,0.3333333333333333,0.6581964433333334
potato,3,1.0,-3.381002427
potter,3,0.0,3.4881749766666665
product,3,0.0,5.175959065333333
professor,2,0.0,6.02459002715
proposal,2,0.0,4.185767317
pumpkin,4,0.0,3.7780337514999998
quilt,4,1.0,-3.1808311335
racer,4,0.75,0.05151626000000001
report,2,1.0,-1.08331337
roadtripper,2,1.0,-1.143452895
routine,1,0.0,2.22740728
salesman,3,0.0,4.730782433999999
saleswoman,3,0.0,2.417118416666667
salmon,3,1.0,-2.1055001533333333
scene,1,0.0,2.03927605
screw,4,0.0,6.305932400325
scribe,2,0.0,3.238924525
script,2,0.0,2.8959176500000003
sculptor,7,0.0,3.6390705704285713
seamster,8,0.75,-0.9514422112500001
seamstress,4,1.0,-2.1034565515
section,2,0.5,0.46247899
shirt,2,1.0,-2.49552039
shopkeeper,3,0.0,1.881012875
sideburn,3,0.0,0.42062081666666673
silk,4,0.75,-0.3484010825
silverware,3,0.0,1.97269087
singer,1,0.0,4.071807846
snack,3,0.0,2.0957999453333334
soloist,1,0.0,5.148579786
sonata,1,0.0,3.13931214
song,1,0.0,3.324924195
steak,7,0.42857142857142855,0.6888800257142859
stone,7,0.0,2.688158614428571
stubble,3,1.0,-0.5353841433333333
student,4,0.5,0.4740864787499999
suitcase,2,0.5,0.8374452815
surface,7,0.42857142857142855,0.49614902857142856
surgeon,4,0.25,2.6018282737500003
suv,6,0.0,3.8908787803333333
tailor,12,0.3333333333333333,-0.43155332856666667
tank,3,0.0,6.425622864733334
teacher,2,0.0,4.377034903
telemarketer,3,0.0,1.8319434433333335
tent,2,0.0,2.299784566
thread,4,0.5,-0.16974471999999996
toy,3,0.0,5.343579724666667
tractor,3,0.0,5.711418737999999
trader,3,0.0,3.0464566000000004
traveller,2,1.0,-1.3403210399999999
truck,3,0.0,6.228255454166667
tub,2,1.0,-1.546672695
tuna,3,1.0,-2.4335153139999997
turkey,4,0.0,1.83014965375
upholsterer,4,0.5,-0.7971611075
valve,4,0.0,7.4960328674999985
van,3,0.0,4.313534872666667
vegetable,3,1.0,-4.7254855183333335
vehicle,3,0.0,3.8413689516666665
verse,2,1.0,-0.6993418899999999
view,2,1.0,-0.1284769499999999
violin,2,0.0,3.9017860994999998
violinist,2,0.0,2.766670065
waiter,3,0.0,0.7666055466666667
waitress,3,1.0,-1.4891311666666667
wall,4,1.0,-1.3553764515
window,3,0.0,2.1931511333333336
windshield,5,0.4,0.32681894199999995
woman,5,1.0,-3.6612876528
wood,11,0.18181818181818182,1.3159624514545456
wool,5,0.8,-0.23039535199999994
worker,4,1.0,-1.0637018725
wound,4,1.0,-3.8408935462500002
yarn,5,0.8,-0.770598774
