noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-14.39760562438
actor,1,1.0,1.0,15.5061446335
aircraft,3,0.0,1.0,6.0007061675
album,3,1.0,1.0,-8.766085181653335
animal,2,1.0,0.0,-12.12204374438
announcer,2,1.0,1.0,15.1916054433
artisan,4,1.0,1.0,15.713285985485001
artist,4,1.0,1.0,17.137887068025
author,2,1.0,1.0,16.460097771705
aviator,3,1.0,1.0,15.933420508886664
backpack,2,0.0,0.0,6.86933136615
backpacker,2,1.0,1.0,14.1905955053
bag,2,0.0,0.0,0.75910003
baker,6,1.0,1.0,17.169103886823333
barber,7,1.0,1.0,16.851403817871432
basket,2,1.0,1.0,-5.1171717615
beard,3,1.0,1.0,-12.166184549696666
bedding,5,1.0,1.0,-14.739043631313999
bike,4,1.0,0.0,-2.4221951469
blanket,2,1.0,1.0,-14.73066941871
blogger,2,1.0,1.0,16.3437254381
board,4,0.25,0.25,3.640203669425
book,3,1.0,1.0,-5.910785952333334
bottle,2,1.0,1.0,-12.26119658818
bowl,2,1.0,1.0,-12.332738651645
bread,3,1.0,1.0,-9.66261908026
broadcaster,2,1.0,1.0,15.1809075635
building,2,1.0,1.0,-13.80291047587
bus,3,0.0,1.0,12.715768173723333
busboy,5,1.0,1.0,13.513441849159998
businessman,3,1.0,1.0,16.97900641024
businesswoman,3,1.0,1.0,17.398205829393333
butcher,4,1.0,1.0,16.9353228253875
cake,3,1.0,1.0,-8.863002645979998
cameraman,2,1.0,1.0,15.94181882062
camper,2,1.0,1.0,10.7950103702
canvas,4,1.0,1.0,-10.7340481928275
captain,3,1.0,1.0,17.3463100101
car,12,0.5,0.5,1.7396176510749994
cardboard,4,1.0,1.0,-5.159527502
carpet,3,1.0,1.0,-14.765712093083332
carver,7,1.0,1.0,17.545650187
caterer,3,1.0,1.0,15.552661477000001
cd,3,1.0,1.0,-12.865371074876668
cellist,2,1.0,1.0,16.081541776515003
cello,2,1.0,1.0,-6.0532161008
chauffeur,3,1.0,1.0,17.670642754613336
chef,10,1.0,1.0,17.117715422026002
choreography,1,0.0,1.0,0.8889636700000001
clarinet,2,1.0,1.0,-1.449769215
clarinetist,2,1.0,1.0,16.985928621615
clay,6,0.8333333333333334,0.8333333333333334,-7.096437048273333
cleaner,5,1.0,1.0,16.077058519974
clerk,2,1.0,1.0,15.13932486795
cloth,8,1.0,1.0,-13.79363479429125
coat,2,1.0,1.0,-11.622090531400001
code,2,0.5,0.5,-0.5904141414999999
comedian,1,1.0,1.0,16.11062565684
concerto,1,1.0,1.0,-3.71841336
confectioner,3,1.0,1.0,15.823307772033333
container,2,1.0,1.0,-3.0405082505000003
convertible,3,0.0,0.0,5.2670660334
cook,6,1.0,1.0,17.686286489596668
cotton,4,1.0,1.0,-14.912138352022499
countertop,3,1.0,1.0,-13.890419372669998
crate,2,1.0,1.0,-8.39647190505
cushion,4,1.0,1.0,-11.302135005945
cut,4,1.0,0.0,-3.2252649807500005
dancer,1,1.0,1.0,16.9151622246
dealer,3,1.0,1.0,17.21564246020667
dish,2,1.0,1.0,-12.729129300735
doctor,2,1.0,1.0,16.90616752525
dough,3,1.0,1.0,-13.273697829786668
dressmaker,4,1.0,1.0,15.52628370699
driver,7,1.0,1.0,16.720231571938573
