noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,0.390625
actor,1,1.0,1.09375
aircraft,3,1.0,1.8336181640625
album,3,1.0,0.4847005208333333
animal,2,1.0,0.718994140625
announcer,2,1.0,0.1171875
artisan,4,0.0,-0.30859375
artist,4,1.0,0.32421875
author,2,1.0,0.8828125
aviator,3,1.0,1.7240397135416667
backpack,2,1.0,0.468505859375
backpacker,2,1.0,0.4296875
bag,2,1.0,0.3984375
baker,6,1.0,0.13802083333333334
barber,7,0.0,-0.3236607142857143
basket,2,1.0,0.2890625
beard,3,1.0,0.15625
bedding,5,1.0,0.3125
bike,4,1.0,1.01190185546875
blanket,2,1.0,0.015625
blogger,2,1.0,1.0078125
board,4,1.0,0.140625
book,3,1.0,1.2396647135416667
bottle,2,1.0,0.672119140625
bowl,2,1.0,0.3515625
bread,3,1.0,0.4427083333333333
broadcaster,2,1.0,0.2109375
building,2,1.0,0.3828125
bus,3,1.0,1.0677897135416667
busboy,5,1.0,0.434375
businessman,3,1.0,0.8644205729166666
businesswoman,3,1.0,0.5310872395833334
butcher,4,0.0,-0.13671875
cake,3,0.6666666666666666,0.03125
cameraman,2,1.0,0.3359375
camper,2,1.0,0.59375
canvas,4,1.0,0.484375
captain,3,1.0,2.02117919921875
car,12,1.0,1.4778238932291667
cardboard,4,1.0,0.4139404296875
carpet,3,1.0,0.5310872395833334
carver,7,0.42857142857142855,-0.004464285714285714
caterer,3,0.3333333333333333,-0.06770833333333333
cd,3,1.0,0.4847005208333333
cellist,2,1.0,0.0859375
cello,2,1.0,0.140625
chauffeur,3,1.0,1.0518391927083333
chef,10,0.9,0.121875
choreography,1,1.0,0.125
clarinet,2,1.0,0.1796875
clarinetist,2,1.0,0.046875
clay,6,1.0,0.541748046875
cleaner,5,1.0,0.71240234375
clerk,2,1.0,0.2265625
cloth,8,0.625,0.0
coat,2,1.0,0.4453125
code,2,1.0,1.2420654296875
comedian,1,1.0,0.40625
concerto,1,1.0,0.25
confectioner,3,0.0,-0.2708333333333333
container,2,1.0,0.2265625
convertible,3,1.0,0.765625
cook,6,0.16666666666666666,-0.07552083333333333
cotton,4,0.25,-0.1171875
countertop,3,1.0,0.713623046875
crate,2,1.0,0.1796875
cushion,4,1.0,0.23046875
cut,4,0.0,-0.22265625
dancer,1,1.0,0.109375
dealer,3,1.0,1.2237955729166667
dish,2,1.0,0.265625
doctor,2,0.0,-0.125
dough,3,1.0,0.421875
dressmaker,4,0.0,-0.40234375
driver,7,1.0,0.8616768973214286
drug,3,1.0,0.6197916666666666
drummer,2,0.0,-0.3046875
duffle,2,1.0,0.632568359375
essay,4,1.0,0.6990966796875
essayist,2,1.0,0.883056640625
fabric,20,0.8,0.12421875
fillet,3,0.0,-0.22395833333333334
fish,3,1.0,0.24479166666666666
floor,3,1.0,0.588623046875
flute,2,1.0,0.09375
flutist,2,1.0,0.0546875
food,2,1.0,0.4609375
gem,4,0.25,-0.10546875
glass,4,1.0,0.66790771484375
hairdresser,7,0.0,-0.21205357142857142
handle,4,1.0,0.8826904296875
hat,3,1.0,0.7762858072916666
herb,3,1.0,0.4010416666666667
hiker,2,1.0,0.3671875
housekeeper,3,0.0,-0.19270833333333334
ice,7,1.0,0.26339285714285715
illustrator,4,1.0,0.40618896484375
ingredient,3,1.0,0.5365397135416666
instrument,2,1.0,0.140625
item,3,1.0,1.0523274739583333
jacket,2,1.0,0.5469970703125
janitor,3,1.0,0.5833333333333334
jet,3,1.0,1.5362548828125
jeweler,4,0.0,-0.3946533203125
jewelry,3,0.6666666666666666,0.25
journalist,2,1.0,1.2578125
kite,3,1.0,1.6300862630208333
knob,4,1.0,1.004119873046875
lady,5,0.0,-0.20625
lake,2,1.0,0.7265625
landscape,2,1.0,1.281005859375
letter,2,1.0,1.086181640625
line,2,1.0,0.9609375
lotion,3,1.0,0.7185872395833334
lunchbox,2,0.5,-0.03125
machine,8,1.0,0.300811767578125
magazine,3,1.0,1.3020833333333333
maid,5,0.8,0.009375
make,3,1.0,0.7657877604166666
man,5,1.0,0.453125
marble,3,0.3333333333333333,0.015625
mason,3,0.3333333333333333,-0.07291666666666667
material,4,1.0,0.53521728515625
