verb,overall_acc,avg_LL_delta
bakes,0.7142857142857143,0.17934454055059523
carves,0.3333333333333333,-0.11981201171875
cleans,0.7962962962962963,0.3888572410300926
cooks,0.8,0.17742513020833334
cuts,0.675,0.113671875
drives,1.0,1.0864020453559027
embroiders,0.6071428571428571,0.04963902064732143
flies,1.0,1.6849746704101562
knits,0.7142857142857143,0.273193359375
packs,0.975,0.4562255859375
paints,1.0,0.3922170003255208
performs,1.0,0.44711538461538464
photographs,1.0,0.6275363498263888
plays,0.5384615384615384,0.001201923076923077
reads,0.9411764705882353,0.4724695542279412
sculpts,0.5666666666666667,0.06456705729166666
sells,1.0,1.0306532118055556
sews,0.6,0.1054931640625
shaves,0.4,0.018782552083333334
stitches,0.2916666666666667,-0.16437276204427084
turns,1.0,1.0589433149857954
washes,1.0,0.5042161207932693
writes,0.9411764705882353,0.7398107192095589
