noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,0.0,0.0,0.265625
actor,1,1.0,0.0,0.40625
aircraft,3,1.0,1.0,-0.4375813802083333
album,3,1.0,1.0,-1.0311686197916667
animal,2,1.0,1.0,-0.4217529296875
announcer,2,1.0,0.0,0.421875
artisan,4,1.0,0.0,0.40625
artist,4,1.0,0.0,0.39837646484375
author,2,1.0,0.0,0.5941162109375
aviator,3,1.0,0.0,0.5208333333333334
backpack,2,1.0,1.0,-0.765869140625
backpacker,2,1.0,0.0,0.234375
bag,2,1.0,1.0,-1.015380859375
baker,6,1.0,0.0,0.3177083333333333
barber,7,0.8571428571428571,0.14285714285714285,0.08928571428571429
basket,2,1.0,1.0,-0.9998779296875
beard,3,1.0,1.0,-0.5935872395833334
bedding,5,1.0,1.0,-0.412548828125
bike,4,1.0,1.0,-0.4453125
blanket,2,1.0,1.0,-0.7344970703125
blogger,2,1.0,0.0,0.609130859375
board,4,1.0,1.0,-0.92950439453125
book,3,1.0,1.0,-0.3541666666666667
bottle,2,1.0,1.0,-0.9691162109375
bowl,2,1.0,1.0,-1.0465087890625
bread,3,1.0,1.0,-0.3958333333333333
broadcaster,2,1.0,0.0,0.531494140625
building,2,0.0,0.0,0.640380859375
bus,3,1.0,1.0,-0.0625
busboy,5,1.0,0.0,0.424951171875
businessman,3,1.0,0.0,0.23958333333333334
businesswoman,3,1.0,0.0,0.46875
butcher,4,0.5,0.5,0.046875
cake,3,1.0,1.0,-0.6875
cameraman,2,1.0,0.0,0.5782470703125
camper,2,0.0,1.0,-0.15625
canvas,4,1.0,1.0,-0.8829345703125
captain,3,1.0,0.0,0.375
car,12,1.0,1.0,-0.3854166666666667
cardboard,4,1.0,1.0,-0.7889404296875
carpet,3,1.0,1.0,-0.7705891927083334
carver,7,0.42857142857142855,0.5714285714285714,-0.022321428571428572
caterer,3,0.6666666666666666,0.3333333333333333,0.041666666666666664
cd,3,1.0,1.0,-0.5834147135416666
cellist,2,1.0,0.0,0.328125
cello,2,1.0,1.0,-0.34375
chauffeur,3,1.0,0.0,0.5310872395833334
chef,10,0.9,0.1,0.240625
choreography,1,0.0,0.0,0.3125
clarinet,2,1.0,1.0,-0.078125
clarinetist,2,1.0,0.0,0.7032470703125
clay,6,1.0,1.0,-0.8543294270833334
cleaner,5,1.0,0.0,0.643798828125
clerk,2,0.5,0.5,-0.046875
cloth,8,1.0,1.0,-0.785125732421875
coat,2,1.0,1.0,-0.9532470703125
code,2,0.5,0.5,-0.078125
comedian,1,1.0,0.0,0.40625
concerto,1,1.0,1.0,-0.25
confectioner,3,1.0,0.0,0.16666666666666666
container,2,1.0,1.0,-0.921875
convertible,3,0.0,0.0,0.3333333333333333
cook,6,0.6666666666666666,0.3333333333333333,0.046875
cotton,4,1.0,1.0,-0.67218017578125
countertop,3,1.0,1.0,-0.3333333333333333
crate,2,1.0,1.0,-0.890625
cushion,4,1.0,1.0,-0.72650146484375
cut,4,0.25,0.25,0.03125
dancer,1,1.0,0.0,0.375
dealer,3,1.0,0.0,0.4999186197916667
dish,2,1.0,1.0,-0.8592529296875
doctor,2,1.0,0.0,0.28125
dough,3,1.0,1.0,-0.520751953125
dressmaker,4,1.0,0.0,0.2734375
driver,7,1.0,0.0,0.16964285714285715
drug,3,1.0,1.0,-0.4165852864583333
drummer,2,1.0,0.0,0.140625
duffle,2,1.0,1.0,-0.6561279296875
essay,4,0.5,0.5,-0.0078125
essayist,2,1.0,0.0,0.702880859375
fabric,20,1.0,1.0,-0.8796630859375
fillet,3,1.0,1.0,-0.635498046875
fish,3,1.0,1.0,-0.76025390625
floor,3,1.0,1.0,-0.9059244791666666
flute,2,1.0,1.0,-0.4844970703125
flutist,2,1.0,0.0,0.015625
food,2,1.0,1.0,-0.875
gem,4,1.0,1.0,-0.80487060546875
glass,4,1.0,1.0,-1.015869140625
hairdresser,7,1.0,0.0,0.41953822544642855
handle,4,1.0,1.0,-0.28125
hat,3,1.0,1.0,-0.4271647135416667
herb,3,1.0,1.0,-0.6669921875
hiker,2,1.0,0.0,0.21875
housekeeper,3,1.0,0.0,0.3125
ice,7,1.0,1.0,-0.9734933035714286
illustrator,4,1.0,0.0,0.125
ingredient,3,1.0,1.0,-0.354248046875
instrument,2,1.0,1.0,-0.4996337890625
item,3,1.0,1.0,-0.6873372395833334
jacket,2,1.0,1.0,-0.734375
janitor,3,1.0,0.0,0.28125
jet,3,1.0,1.0,-0.21875
jeweler,4,1.0,0.0,0.1953125
jewelry,3,1.0,1.0,-0.4270833333333333
journalist,2,1.0,0.0,0.71875
kite,3,1.0,1.0,-0.2604166666666667
knob,4,1.0,1.0,-0.3125
lady,5,0.4,0.6,-0.03125
lake,2,1.0,1.0,-0.781494140625
landscape,2,1.0,1.0,-0.53125
letter,2,1.0,1.0,-0.359375
line,2,1.0,1.0,-0.15625
lotion,3,1.0,1.0,-0.2604166666666667
lunchbox,2,1.0,1.0,-0.6561279296875
machine,8,0.0,1.0,-0.562591552734375
magazine,3,1.0,1.0,-0.4583333333333333
maid,5,0.6,0.4,-0.01875
make,3,0.0,0.0,0.42724609375
man,5,0.0,1.0,-0.11875
marble,3,1.0,1.0,-1.135498046875
mason,3,0.3333333333333333,0.6666666666666666,-0.020833333333333332
material,4,1.0,1.0,-0.39849853515625
meat,7,1.0,1.0,-0.6917550223214286
mirror,3,1.0,1.0,-0.55224609375
model,2,1.0,1.0,-0.140625
motorcycle,4,1.0,1.0,-0.5235595703125
motorist,4,1.0,0.0,0.3828125
mountain,2,1.0,1.0,-0.9376220703125
mover,2,0.0,1.0,-0.234375
mushroom,3,1.0,1.0,-0.95849609375
musician,3,1.0,0.0,0.3333333333333333
narrator,2,1.0,0.0,0.6876220703125
notetaker,2,1.0,0.0,0.484375
novel,3,0.3333333333333333,0.3333333333333333,-0.03125
novelist,2,1.0,0.0,0.5625
orator,2,1.0,0.0,0.6873779296875
packaging,4,1.0,1.0,-0.6796875
painter,4,1.0,0.0,0.171875
panel,4,1.0,1.0,-0.9141845703125
paper,4,1.0,1.0,-1.1800537109375
passage,6,1.0,1.0,-0.3072916666666667
pastry,3,1.0,1.0,-0.5726725260416666
patissier,3,1.0,0.0,0.3020833333333333
pattern,5,1.0,1.0,-0.8939453125
peddler,3,0.6666666666666666,0.3333333333333333,0.0
pepper,3,1.0,1.0,-0.9169108072916666
person,30,0.0,1.0,-0.35414225260416665
photographer,2,1.0,0.0,0.375
pianist,2,1.0,0.0,0.234375
piano,2,1.0,1.0,-0.640625
pie,3,1.0,1.0,-0.8545735677083334
pilot,7,0.42857142857142855,0.5714285714285714,-0.013392857142857142
pizza,3,1.0,1.0,-0.7294921875
plane,3,1.0,1.0,-0.7914225260416666
poem,2,1.0,1.0,-0.62548828125
poet,2,1.0,0.0,0.3438720703125
portraitist,4,1.0,0.0,0.4609375
pot,3,1.0,1.0,-1.1666259765625
potato,3,1.0,1.0,-0.937744140625
potter,3,0.0,1.0,-0.1875
product,3,1.0,1.0,-0.4271647135416667
professor,2,1.0,0.0,0.3751220703125
proposal,2,0.5,0.5,0.03125
pumpkin,4,1.0,1.0,-0.836181640625
quilt,4,1.0,1.0,-0.46087646484375
racer,4,1.0,0.0,0.265625
report,2,0.0,0.0,0.015625
roadtripper,2,1.0,0.0,0.375
routine,1,1.0,1.0,-0.03125
salesman,3,1.0,0.0,0.739501953125
saleswoman,3,1.0,0.0,0.72900390625
salmon,3,1.0,1.0,-0.8749186197916666
scene,1,1.0,1.0,-0.09375
screw,4,1.0,1.0,-0.5467529296875
scribe,2,1.0,0.0,0.40625
script,2,1.0,1.0,-0.109375
sculptor,7,1.0,0.0,0.29910714285714285
seamster,8,1.0,0.0,0.203125
seamstress,4,1.0,0.0,0.21875
section,2,0.0,0.0,0.21875
shirt,2,1.0,1.0,-0.4375
shopkeeper,3,1.0,0.0,0.3020833333333333
sideburn,3,1.0,1.0,-0.3020833333333333
silk,4,1.0,1.0,-0.50018310546875
silverware,3,1.0,1.0,-0.4584147135416667
singer,1,1.0,0.0,0.34375
snack,3,1.0,1.0,-0.5834147135416666
soloist,1,1.0,0.0,0.375
sonata,1,1.0,1.0,-0.09375
song,1,1.0,1.0,-0.4375
steak,7,1.0,1.0,-0.5445731026785714
stone,7,1.0,1.0,-0.9688197544642857
stubble,3,1.0,1.0,-0.7708333333333334
student,4,1.0,0.0,0.0703125
suitcase,2,1.0,1.0,-0.8909912109375
surface,7,1.0,1.0,-0.6651785714285714
surgeon,4,1.0,0.0,0.0625
suv,6,1.0,1.0,-0.4374186197916667
tailor,12,0.8333333333333334,0.16666666666666666,0.052083333333333336
tank,3,1.0,1.0,-0.614501953125
teacher,2,1.0,0.0,0.4998779296875
telemarketer,3,1.0,0.0,0.4374186197916667
tent,2,1.0,1.0,-0.7811279296875
thread,4,1.0,1.0,-0.8983154296875
toy,3,1.0,1.0,-0.4895833333333333
tractor,3,1.0,1.0,-0.20833333333333334
trader,3,1.0,0.0,0.2916666666666667
traveller,2,1.0,0.0,0.203125
truck,3,1.0,1.0,-0.5519205729166666
tub,2,1.0,1.0,-0.6875
tuna,3,1.0,1.0,-0.854248046875
turkey,4,1.0,1.0,-0.2578125
upholsterer,4,1.0,0.0,0.34375
valve,4,1.0,1.0,-1.11712646484375
van,3,1.0,1.0,-0.3645833333333333
vegetable,3,1.0,1.0,-1.0209147135416667
vehicle,3,1.0,1.0,-0.7392578125
verse,2,1.0,1.0,-0.234375
view,2,1.0,1.0,-0.0625
violin,2,1.0,1.0,-0.59375
violinist,2,1.0,0.0,0.3125
waiter,3,0.6666666666666666,0.3333333333333333,0.03125
waitress,3,0.6666666666666666,0.3333333333333333,0.07291666666666667
wall,4,1.0,1.0,-0.99212646484375
window,3,1.0,1.0,-0.4166666666666667
windshield,5,1.0,1.0,-0.2625
woman,5,0.0,1.0,-0.19375
wood,11,1.0,1.0,-0.9120427911931818
wool,5,1.0,1.0,-0.724853515625
worker,4,0.75,0.25,0.03125
wound,4,1.0,1.0,-0.359375
yarn,5,1.0,1.0,-0.831201171875
