noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,0.0,-2.09393310546875
actor,1,0.0,1.0,-1.5782470703125
aircraft,3,1.0,1.0,-1.4372151692708333
album,3,1.0,1.0,-1.8122965494791667
animal,2,1.0,1.0,-2.124176025390625
announcer,2,0.0,0.0,-1.42193603515625
artisan,4,0.0,1.0,-1.316436767578125
artist,4,0.0,1.0,-1.4962158203125
author,2,0.0,0.0,-1.593505859375
aviator,3,0.0,0.0,-0.77099609375
backpack,2,1.0,1.0,-1.9378662109375
backpacker,2,0.0,1.0,-1.49200439453125
bag,2,1.0,1.0,-2.17974853515625
baker,6,0.0,1.0,-1.3409016927083333
barber,7,0.0,1.0,-1.5802699497767858
basket,2,1.0,1.0,-2.39813232421875
beard,3,1.0,1.0,-1.8226318359375
bedding,5,1.0,1.0,-1.93447265625
bike,4,1.0,1.0,-2.2966766357421875
blanket,2,1.0,1.0,-2.03204345703125
blogger,2,0.0,0.0,-1.1796875
board,4,1.0,1.0,-2.378997802734375
book,3,1.0,0.0,-2.1195475260416665
bottle,2,1.0,1.0,-1.79656982421875
bowl,2,1.0,1.0,-2.304656982421875
bread,3,1.0,0.0,-1.8802083333333333
broadcaster,2,0.0,0.0,-1.50006103515625
building,2,1.0,1.0,-2.430450439453125
bus,3,1.0,1.0,-1.82763671875
busboy,5,0.0,1.0,-1.3218017578125
businessman,3,0.0,0.0,-0.9635416666666666
businesswoman,3,0.0,0.0,-0.9478352864583334
butcher,4,0.0,1.0,-1.33587646484375
cake,3,1.0,0.0,-2.0467529296875
cameraman,2,0.0,0.0,-1.0389404296875
camper,2,0.0,1.0,-1.5233154296875
canvas,4,1.0,1.0,-1.91796875
captain,3,0.0,0.0,-1.1146647135416667
car,12,1.0,1.0,-2.1470133463541665
cardboard,4,1.0,1.0,-1.72662353515625
carpet,3,1.0,1.0,-1.9952392578125
carver,7,0.0,1.0,-1.6251220703125
caterer,3,0.0,0.0,-1.1456705729166667
cd,3,1.0,0.0,-2.031005859375
cellist,2,0.0,1.0,-1.57818603515625
cello,2,1.0,1.0,-1.70318603515625
chauffeur,3,0.0,1.0,-1.177490234375
chef,10,0.0,1.0,-1.49227294921875
choreography,1,1.0,1.0,-1.4532470703125
clarinet,2,1.0,1.0,-1.2886962890625
clarinetist,2,0.0,0.0,-0.7578125
clay,6,1.0,0.0,-1.6769205729166667
cleaner,5,0.0,0.0,-1.731005859375
clerk,2,0.0,1.0,-1.64849853515625
cloth,8,1.0,1.0,-2.142547607421875
coat,2,1.0,1.0,-2.03973388671875
code,2,1.0,0.0,-2.609405517578125
comedian,1,0.0,0.0,-1.031494140625
concerto,1,1.0,0.0,-1.8125
confectioner,3,0.0,0.0,-0.885498046875
container,2,1.0,1.0,-1.6871337890625
convertible,3,1.0,1.0,-1.6044514973958333
cook,6,0.0,1.0,-1.74493408203125
cotton,4,1.0,0.0,-1.9997406005859375
countertop,3,1.0,1.0,-1.6044108072916667
crate,2,1.0,1.0,-2.08648681640625
cushion,4,1.0,1.0,-1.398529052734375
cut,4,1.0,0.0,-2.426025390625
dancer,1,0.0,1.0,-1.515869140625
dealer,3,0.0,0.0,-1.510498046875
dish,2,1.0,1.0,-2.468231201171875
doctor,2,0.0,1.0,-1.99176025390625
dough,3,1.0,0.0,-1.5988362630208333
dressmaker,4,0.0,1.0,-1.421600341796875
driver,7,0.0,1.0,-1.6784842354910714
drug,3,1.0,1.0,-1.9380696614583333
drummer,2,0.0,1.0,-1.6168212890625
duffle,2,1.0,1.0,-2.01580810546875
essay,4,1.0,1.0,-1.9531097412109375
essayist,2,0.0,0.0,-1.140625
fabric,20,1.0,0.0,-2.143829345703125
fillet,3,1.0,1.0,-1.7294108072916667
fish,3,1.0,1.0,-1.9794514973958333
floor,3,1.0,1.0,-2.1517130533854165
flute,2,1.0,1.0,-1.85211181640625
flutist,2,0.0,1.0,-1.75726318359375
food,2,1.0,0.0,-2.0078125
gem,4,1.0,0.0,-1.843658447265625
glass,4,1.0,1.0,-2.21881103515625
hairdresser,7,0.0,1.0,-1.0066964285714286
handle,4,1.0,1.0,-1.894500732421875
hat,3,1.0,1.0,-2.1199544270833335
herb,3,1.0,1.0,-1.760498046875
hiker,2,0.0,1.0,-1.7730712890625
housekeeper,3,0.0,1.0,-1.0934244791666667
ice,7,1.0,1.0,-1.9394356863839286
illustrator,4,0.0,1.0,-1.671783447265625
ingredient,3,1.0,0.0,-1.34912109375
instrument,2,1.0,1.0,-2.09429931640625
item,3,1.0,1.0,-2.0733642578125
jacket,2,1.0,1.0,-2.03076171875
janitor,3,0.0,1.0,-0.7709147135416666
jet,3,1.0,0.0,-2.0526123046875
jeweler,4,0.0,1.0,-1.41815185546875
jewelry,3,1.0,0.0,-1.4896647135416667
journalist,2,0.0,0.0,-0.8985595703125
kite,3,1.0,1.0,-1.8433430989583333
knob,4,1.0,1.0,-1.83172607421875
lady,5,0.0,1.0,-1.4158203125
lake,2,1.0,1.0,-2.109588623046875
landscape,2,1.0,0.0,-2.18731689453125
letter,2,1.0,0.0,-2.08575439453125
line,2,1.0,1.0,-2.83526611328125
lotion,3,1.0,0.0,-1.1927897135416667
lunchbox,2,1.0,1.0,-1.6405029296875
machine,8,0.0,1.0,-2.3670425415039062
magazine,3,1.0,0.0,-1.6615804036458333
maid,5,0.0,1.0,-1.09677734375
make,3,1.0,0.0,-1.6039225260416667
man,5,0.0,0.0,-1.9189697265625
marble,3,1.0,1.0,-1.8130289713541667
mason,3,0.0,0.0,-1.6354166666666667
material,4,1.0,0.0,-2.2190093994140625
meat,7,1.0,1.0,-2.0242396763392856
mirror,3,1.0,1.0,-2.02081298828125
model,2,1.0,1.0,-2.39031982421875
motorcycle,4,1.0,1.0,-1.929595947265625
motorist,4,0.0,1.0,-1.63665771484375
mountain,2,1.0,1.0,-2.453216552734375
mover,2,0.0,1.0,-2.320159912109375
mushroom,3,1.0,1.0,-1.281494140625
musician,3,0.0,0.0,-1.1565755208333333
narrator,2,0.0,1.0,-1.265625
notetaker,2,0.0,1.0,-1.0313720703125
novel,3,1.0,0.0,-1.5989990234375
novelist,2,0.0,0.0,-1.0076904296875
orator,2,0.0,0.0,-1.34356689453125
packaging,4,1.0,0.0,-1.8323974609375
painter,4,0.0,1.0,-1.844024658203125
panel,4,1.0,1.0,-2.17193603515625
paper,4,1.0,0.0,-2.0665435791015625
passage,6,1.0,1.0,-3.043818155924479
pastry,3,1.0,1.0,-1.7239583333333333
patissier,3,0.0,1.0,-1.4219563802083333
pattern,5,1.0,1.0,-3.0714599609375
peddler,3,0.0,0.0,-1.895751953125
pepper,3,1.0,1.0,-1.5362955729166667
person,30,0.0,0.0,-2.307908121744792
photographer,2,0.0,1.0,-1.62506103515625
pianist,2,0.0,1.0,-1.6097412109375
piano,2,1.0,1.0,-2.11676025390625
pie,3,1.0,1.0,-2.0316569010416665
pilot,7,0.0,0.0,-1.6539829799107142
pizza,3,1.0,1.0,-1.7447916666666667
plane,3,1.0,1.0,-2.2132771809895835
