noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-1.3985595703125
actor,1,1.0,-0.515625
aircraft,3,1.0,-0.14583333333333334
album,3,1.0,-0.734375
animal,2,1.0,-1.1873779296875
announcer,2,1.0,-0.9141845703125
artisan,4,1.0,-1.1136474609375
artist,4,1.0,-1.238037109375
author,2,1.0,-1.015625
aviator,3,0.0,0.3125
backpack,2,1.0,-0.3671875
backpacker,2,0.5,-0.203125
bag,2,1.0,-0.5860595703125
baker,6,1.0,-0.47900390625
barber,7,1.0,-0.7724260602678571
basket,2,1.0,-0.390380859375
beard,3,1.0,-0.625
bedding,5,1.0,-0.60615234375
bike,4,1.0,-0.4571533203125
blanket,2,1.0,-0.4298095703125
blogger,2,1.0,-0.695556640625
board,4,1.0,-0.51934814453125
book,3,1.0,-0.3125
bottle,2,0.5,-0.09375
bowl,2,1.0,-0.3905029296875
bread,3,0.3333333333333333,-0.03125
broadcaster,2,1.0,-0.851806640625
building,2,1.0,-1.49237060546875
bus,3,1.0,-0.44287109375
busboy,5,1.0,-0.41875
businessman,3,1.0,-0.5104166666666666
businesswoman,3,1.0,-0.7086588541666666
butcher,4,1.0,-1.0272216796875
cake,3,1.0,-0.203125
cameraman,2,1.0,-0.687744140625
camper,2,0.5,-0.0859375
canvas,4,1.0,-0.76922607421875
captain,3,1.0,-0.16666666666666666
car,12,0.8333333333333334,-0.29296875
cardboard,4,1.0,-0.23828125
carpet,3,1.0,-0.4532063802083333
carver,7,1.0,-0.8259974888392857
caterer,3,1.0,-0.3125
cd,3,1.0,-0.5939127604166666
cellist,2,1.0,-0.65625
cello,2,1.0,-0.34375
chauffeur,3,1.0,-0.4686686197916667
chef,10,1.0,-0.5842529296875
choreography,1,1.0,-0.34375
clarinet,2,0.5,-0.015625
clarinetist,2,1.0,-0.1015625
clay,6,0.6666666666666666,-0.3098551432291667
cleaner,5,0.8,-0.42177734375
clerk,2,1.0,-0.453125
cloth,8,1.0,-0.748138427734375
coat,2,1.0,-0.265625
code,2,1.0,-0.6798095703125
comedian,1,0.0,0.09375
concerto,1,0.0,0.203125
confectioner,3,0.3333333333333333,0.041666666666666664
container,2,0.5,-0.1484375
convertible,3,1.0,-0.5052083333333334
cook,6,1.0,-0.5520833333333334
cotton,4,1.0,-0.75
countertop,3,1.0,-0.19791666666666666
crate,2,1.0,-0.234375
cushion,4,1.0,-0.1796875
cut,4,1.0,-0.97686767578125
dancer,1,1.0,-0.375
dealer,3,1.0,-0.5782063802083334
dish,2,1.0,-0.46875
doctor,2,1.0,-1.1951904296875
dough,3,0.0,0.09895833333333333
dressmaker,4,1.0,-0.9727783203125
driver,7,1.0,-0.7164829799107143
drug,3,1.0,-0.5314127604166666
drummer,2,1.0,-0.6171875
duffle,2,0.5,-0.171875
essay,4,1.0,-0.91009521484375
essayist,2,1.0,-0.413818359375
fabric,20,1.0,-0.88363037109375
fillet,3,1.0,-0.52587890625
fish,3,1.0,-0.203125
floor,3,1.0,-0.3540852864583333
flute,2,1.0,-0.40625
flutist,2,1.0,-0.46875
food,2,0.5,0.0
gem,4,1.0,-0.6328125
glass,4,1.0,-0.9180908203125
hairdresser,7,1.0,-0.627197265625
handle,4,1.0,-0.38677978515625
hat,3,1.0,-0.4842936197916667
herb,3,1.0,-0.296875
hiker,2,1.0,-0.40625
housekeeper,3,1.0,-0.598876953125
ice,7,1.0,-0.5291224888392857
illustrator,4,1.0,-1.199127197265625
ingredient,3,0.0,0.16145833333333334
instrument,2,1.0,-0.8128662109375
item,3,1.0,-0.4842936197916667
jacket,2,1.0,-0.171875
janitor,3,0.6666666666666666,-0.09375
jet,3,1.0,-0.140625
jeweler,4,1.0,-0.67962646484375
jewelry,3,1.0,-0.2552083333333333
journalist,2,1.0,-0.4140625
kite,3,0.3333333333333333,-0.005208333333333333
knob,4,0.75,0.05859375
lady,5,1.0,-0.96865234375
lake,2,1.0,-0.5703125
landscape,2,1.0,-0.6329345703125
letter,2,1.0,-1.1014404296875
line,2,1.0,-1.265380859375
lotion,3,0.6666666666666666,-0.078125
lunchbox,2,1.0,-0.21875
machine,8,1.0,-1.2031402587890625
magazine,3,0.6666666666666666,-0.036458333333333336
maid,5,1.0,-0.7125
make,3,1.0,-0.5625
man,5,1.0,-0.740478515625
marble,3,1.0,-0.4998372395833333
mason,3,1.0,-0.8963216145833334
material,4,1.0,-0.63677978515625
meat,7,1.0,-0.33694893973214285
mirror,3,1.0,-0.531494140625
model,2,1.0,-1.63287353515625
motorcycle,4,0.75,-0.19140625
motorist,4,0.75,-0.38671875
mountain,2,1.0,-0.797119140625
mover,2,1.0,-1.015869140625
mushroom,3,0.3333333333333333,0.11458333333333333
musician,3,0.6666666666666666,-0.17708333333333334
narrator,2,1.0,-0.8594970703125
notetaker,2,1.0,-0.5780029296875
novel,3,0.3333333333333333,0.125
novelist,2,0.5,-0.1171875
orator,2,1.0,-0.93798828125
packaging,4,1.0,-0.46502685546875
painter,4,1.0,-1.1016845703125
panel,4,1.0,-0.84771728515625
paper,4,0.75,-0.2109375
passage,6,1.0,-1.11962890625
pastry,3,0.6666666666666666,-0.078125
patissier,3,1.0,-0.4270833333333333
pattern,5,1.0,-1.397021484375
peddler,3,1.0,-0.7708333333333334
pepper,3,0.3333333333333333,0.026041666666666668
person,30,1.0,-0.8432454427083333
photographer,2,1.0,-1.2027587890625
pianist,2,1.0,-0.5784912109375
piano,2,1.0,-0.6954345703125
pie,3,0.0,0.24479166666666666
pilot,7,0.7142857142857143,-0.10714285714285714
pizza,3,0.0,0.2552083333333333
plane,3,1.0,-0.2604166666666667
poem,2,1.0,-1.085693359375
poet,2,0.5,-0.2109375
portraitist,4,1.0,-0.94573974609375
pot,3,0.6666666666666666,-0.057291666666666664
potato,3,0.0,0.13541666666666666
potter,3,1.0,-0.8490397135416666
product,3,0.6666666666666666,-0.15104166666666666
professor,2,1.0,-0.882568359375
proposal,2,1.0,-0.5858154296875
pumpkin,4,1.0,-0.25
quilt,4,1.0,-1.0157470703125
racer,4,0.75,-0.09765625
report,2,1.0,-1.35174560546875
roadtripper,2,0.5,0.1484375
routine,1,1.0,-0.375
salesman,3,0.6666666666666666,-0.19791666666666666
saleswoman,3,1.0,-0.609619140625
salmon,3,1.0,-0.19270833333333334
scene,1,1.0,-0.0625
screw,4,0.75,-0.10546875
scribe,2,1.0,-1.14825439453125
script,2,1.0,-0.797119140625
sculptor,7,1.0,-0.6093052455357143
seamster,8,1.0,-1.0273895263671875
seamstress,4,1.0,-0.85540771484375
section,2,1.0,-0.8045654296875
shirt,2,1.0,-0.34375
shopkeeper,3,1.0,-0.7240397135416666
sideburn,3,1.0,-0.8701171875
silk,4,1.0,-0.98077392578125
silverware,3,1.0,-0.3802083333333333
singer,1,0.0,0.078125
snack,3,0.6666666666666666,0.078125
soloist,1,0.0,0.078125
sonata,1,0.0,0.0625
song,1,0.0,0.140625
steak,7,0.8571428571428571,-0.13839285714285715
stone,7,1.0,-0.7054617745535714
stubble,3,1.0,-0.7080078125
student,4,1.0,-1.133056640625
suitcase,2,1.0,-0.453125
surface,7,1.0,-0.678466796875
surgeon,4,1.0,-1.6214599609375
suv,6,0.8333333333333334,-0.2967122395833333
tailor,12,1.0,-0.74212646484375
tank,3,1.0,-0.3645833333333333
teacher,2,1.0,-1.64044189453125
telemarketer,3,0.6666666666666666,-0.19270833333333334
tent,2,0.5,-0.0078125
thread,4,1.0,-0.55059814453125
toy,3,0.6666666666666666,0.015625
tractor,3,1.0,-0.5570475260416666
trader,3,1.0,-0.5365397135416666
traveller,2,0.5,0.125
truck,3,1.0,-0.494873046875
tub,2,0.5,-0.140625
tuna,3,0.3333333333333333,0.125
turkey,4,0.0,0.22265625
