noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-0.9998779296875
actor,1,0.0,0.0,-0.99951171875
aircraft,3,1.0,1.0,-1.25
album,3,1.0,1.0,-1.1665852864583333
animal,2,1.0,1.0,-1.50018310546875
announcer,2,0.0,0.0,-0.25
artisan,4,0.0,1.0,-1.1873779296875
artist,4,0.0,1.0,-1.874786376953125
author,2,0.0,0.0,-1.25
aviator,3,0.0,1.0,-1.3332926432291667
backpack,2,1.0,1.0,-1.75030517578125
backpacker,2,0.0,1.0,-1.62530517578125
bag,2,1.0,1.0,-1.375244140625
baker,6,0.0,1.0,-1.2500813802083333
barber,7,0.0,1.0,-1.0713239397321428
basket,2,1.0,1.0,-1.74993896484375
beard,3,1.0,1.0,-1.083251953125
bedding,5,1.0,1.0,-1.05
bike,4,1.0,1.0,-0.68743896484375
blanket,2,1.0,1.0,-1.25
blogger,2,0.0,0.0,-0.874755859375
board,4,1.0,1.0,-1.06231689453125
book,3,1.0,1.0,-1.333251953125
bottle,2,1.0,1.0,-1.000244140625
bowl,2,1.0,1.0,-1.2503662109375
bread,3,1.0,1.0,-1.3336181640625
broadcaster,2,0.0,1.0,-0.8746337890625
building,2,0.0,0.0,0.25
bus,3,1.0,1.0,-0.4999186197916667
busboy,5,0.0,1.0,-1.0501953125
businessman,3,0.0,0.0,-0.7495930989583334
businesswoman,3,0.0,0.0,-0.8335774739583334
butcher,4,0.0,1.0,-1.187408447265625
cake,3,1.0,1.0,-1.4999186197916667
cameraman,2,0.5,0.5,-0.125
camper,2,0.0,1.0,-1.249755859375
canvas,4,1.0,1.0,-1.37481689453125
captain,3,0.0,1.0,-1.249755859375
car,12,1.0,1.0,-0.4582722981770833
cardboard,4,1.0,1.0,-1.1875
carpet,3,1.0,1.0,-1.1664225260416667
carver,7,0.0,1.0,-0.8929268973214286
caterer,3,0.0,1.0,-1.500244140625
cd,3,1.0,1.0,-1.0830891927083333
cellist,2,0.0,1.0,-1.375244140625
cello,2,1.0,1.0,-1.62530517578125
chauffeur,3,0.0,1.0,-0.3333333333333333
chef,10,0.0,0.0,-1.024951171875
choreography,1,1.0,1.0,-1.4998779296875
clarinet,2,1.0,1.0,-1.37530517578125
clarinetist,2,0.0,1.0,-1.125
clay,6,1.0,1.0,-1.7500813802083333
cleaner,5,0.0,1.0,-0.949951171875
clerk,2,0.0,1.0,-1.37493896484375
cloth,8,1.0,1.0,-1.40625
coat,2,1.0,1.0,-1.49981689453125
code,2,1.0,1.0,-0.7496337890625
comedian,1,0.0,1.0,-0.750244140625
concerto,1,1.0,1.0,-0.99951171875
confectioner,3,0.0,1.0,-1.1668294270833333
container,2,1.0,1.0,-1.2503662109375
convertible,3,1.0,1.0,-0.5833333333333334
cook,6,0.0,1.0,-1.6251220703125
cotton,4,1.0,1.0,-1.68743896484375
countertop,3,1.0,1.0,-1.1666666666666667
crate,2,1.0,1.0,-1.62506103515625
cushion,4,1.0,1.0,-1.312835693359375
cut,4,1.0,1.0,-1.187896728515625
dancer,1,0.0,1.0,-1.5
dealer,3,0.6666666666666666,0.6666666666666666,-0.166748046875
dish,2,1.0,1.0,-1.50018310546875
doctor,2,0.0,1.0,-1.375
dough,3,1.0,1.0,-1.1669108072916667
dressmaker,4,0.0,1.0,-1.000244140625
driver,7,0.14285714285714285,0.8571428571428571,-0.46435546875
drug,3,1.0,1.0,-1.1665852864583333
drummer,2,0.0,1.0,-1.3748779296875
duffle,2,1.0,1.0,-1.25048828125
essay,4,1.0,1.0,-0.8751220703125
essayist,2,0.0,0.0,-0.87451171875
fabric,20,1.0,1.0,-1.27493896484375
fillet,3,1.0,1.0,-1.4998372395833333
fish,3,1.0,1.0,-1.9998372395833333
floor,3,1.0,1.0,-1.2499186197916667
flute,2,1.0,1.0,-1.5003662109375
