noun,avg_LL_delta
abstract,-0.46875
actor,-0.09375
aircraft,-0.67138671875
album,0.140625
animal,-0.671875
announcer,0.046875
artisan,0.140625
artist,0.265625
author,0.46923828125
aviator,-0.171875
backpack,0.125
backpacker,-0.15625
bag,-0.09375
baker,0.0625
barber,-0.21875
basket,-0.171875
beard,0.109375
bedding,-0.60888671875
bike,-0.171875
blanket,-0.046875
blogger,0.34375
board,-0.59423828125
book,-0.03125
bottle,-0.15625
bowl,-0.078125
bread,-0.0625
broadcaster,0.125
building,-0.54638671875
bus,-0.25
busboy,-0.390625
businessman,0.046875
businesswoman,-0.09375
butcher,-0.40625
cake,-0.125
cameraman,0.046875
camper,-0.625
canvas,-0.046875
captain,0.171875
car,-0.4375
cardboard,0.046875
carpet,-0.25
carver,-0.21875
caterer,-0.51513671875
cd,0.34375
cellist,0.40625
cello,0.578125
chauffeur,-0.46826171875
chef,-0.1875
choreography,-0.15625
clarinet,0.70361328125
clarinetist,0.656494140625
clay,0.0
cleaner,0.03125
clerk,0.125
cloth,0.1875
coat,0.171875
code,-0.78076171875
comedian,-0.03125
concerto,0.734375
confectioner,0.21875
container,-0.40625
convertible,-0.09375
cook,-0.328125
cotton,0.015625
countertop,0.0
crate,-0.328125
cushion,-0.21875
cut,-0.21875
dancer,-0.15625
dealer,-0.48388671875
dish,-0.421875
doctor,-0.15625
dough,0.1875
dressmaker,0.3125
driver,-0.68701171875
drug,-0.42138671875
drummer,0.21875
duffle,-0.21875
essay,0.37548828125
essayist,0.812744140625
fabric,0.03125
fillet,-0.3125
fish,-0.484375
floor,-0.578125
flute,-0.015625
flutist,0.078125
food,-0.48388671875
gem,0.078125
glass,-0.03125
hairdresser,-0.296875
handle,-0.421875
hat,0.25
herb,-0.03125
hiker,-0.46826171875
housekeeper,-0.1875
ice,-0.390625
illustrator,0.015625
ingredient,-0.140625
instrument,-0.40673828125
item,-0.34375
jacket,0.484375
janitor,0.09375
jet,-0.453125
jeweler,0.21875
jewelry,0.125
journalist,0.375
kite,-0.125
knob,-0.015625
lady,-0.15625
lake,-0.43798828125
landscape,-0.34326171875
letter,-0.015625
line,-0.203125
lotion,0.265625
lunchbox,0.171875
machine,-0.328125
magazine,-0.0625
maid,-0.265625
make,-0.25048828125
man,-0.15625
marble,-0.375
mason,0.09375
material,-0.35986328125
meat,-0.56298828125
mirror,0.265625
model,-0.234375
motorcycle,-0.21875
motorist,-0.718505859375
mountain,-0.984130859375
mover,-0.734375
mushroom,-0.40625
musician,0.296875
narrator,0.54736328125
notetaker,0.3125
novel,0.3125
novelist,0.890625
orator,0.359375
packaging,-0.42138671875
painter,-0.046875
panel,-0.015625
paper,0.125
passage,-0.62451171875
pastry,-0.09375
patissier,-0.21875
pattern,-0.296875
peddler,-0.234375
pepper,0.0625
person,0.0
photographer,0.046875
pianist,0.390625
piano,0.34423828125
pie,-0.046875
pilot,-0.1875
pizza,-0.09375
plane,-0.5625
poem,0.28125
poet,0.40673828125
portraitist,0.109375
pot,-0.609375
potato,-0.48486328125
potter,-0.1875
product,-0.39111328125
professor,0.09375
proposal,-0.0625
pumpkin,-0.73388671875
quilt,-0.34375
racer,0.046875
report,-0.03125
roadtripper,-0.015625
routine,-0.234375
salesman,0.125
saleswoman,0.0625
salmon,-0.203125
scene,-0.34326171875
screw,-0.03125
scribe,0.390625
script,-0.109375
sculptor,0.109375
seamster,0.28125
seamstress,0.1875
section,-0.265625
shirt,0.51611328125
shopkeeper,-0.453125
sideburn,0.64013671875
silk,-0.28125
silverware,0.0
singer,0.48388671875
snack,0.046875
soloist,0.827880859375
sonata,0.45263671875
song,0.390625
steak,-0.25
stone,-0.25
stubble,-0.140625
student,-0.03125
suitcase,0.25
surface,-0.67138671875
surgeon,-0.5625
suv,-0.46875
tailor,-0.03125
tank,-0.421875
teacher,0.15625
telemarketer,-0.453125
tent,-0.390625
thread,-0.203125
toy,0.0
tractor,0.046875
trader,-0.03125
traveller,-0.203125
truck,-0.49951171875
tub,-0.51611328125
tuna,-0.25
turkey,-0.390625
upholsterer,-0.3125
valve,-0.328125
van,-0.40625
vegetable,-0.578125
vehicle,-0.65625
verse,-0.1875
view,-0.62548828125
violin,0.421875
violinist,0.4375
waiter,-1.093994140625
waitress,-0.687744140625
wall,-0.3125
window,-0.078125
windshield,0.359375
woman,-0.328125
wood,-0.484375
wool,0.140625
worker,0.234375
wound,-0.109375
yarn,0.359375
