verb,overall_acc,avg_LL_delta
bakes,0.42857142857142855,0.14815171701567514
carves,0.8125,-0.3977820308258136
cleans,0.018518518518518517,0.669080913066864
cooks,0.15555555555555556,0.413858601782057
cuts,0.925,-0.6780146893113852
drives,0.8055555555555556,-0.44100242687596214
embroiders,1.0,-1.1379968662347113
flies,1.0,-0.7440694148341814
knits,0.9714285714285714,-0.7382588629211698
packs,0.925,-0.8522460959851742
paints,0.7291666666666666,-0.4698435238872965
performs,0.46153846153846156,-0.03835678559083205
photographs,1.0,-1.0786039994822607
plays,1.0,-1.4680416687176778
reads,0.7647058823529411,-0.4114312538329293
sculpts,0.8,-0.5224375983079275
sells,0.16666666666666666,0.5867798978255855
sews,0.85,-0.7575658813118935
shaves,0.4,-0.0984200199445089
stitches,0.8125,-0.677885822330912
turns,0.7045454545454546,-0.4937327747995203
washes,0.07692307692307693,0.7907551590066689
writes,0.4411764705882353,0.03221035617239333
