noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,0.0,-1.9515838101506233
actor,1,0.0,0.0,-1.2011719048023224
aircraft,3,1.0,1.0,-1.8387603461742401
album,3,1.0,1.0,-2.0219217538833623
animal,2,1.0,0.0,-1.7690163403749462
announcer,2,0.0,0.0,-0.9197082668542862
artisan,4,0.0,0.0,-1.3582934886217117
artist,4,0.0,1.0,-1.567455280572176
author,2,0.0,0.0,-0.5053023993968964
aviator,3,0.0,0.0,-2.109481781721115
backpack,2,1.0,1.0,-2.4941101409494877
backpacker,2,0.0,1.0,-1.5490723103284836
bag,2,1.0,1.0,-2.4479599595069885
baker,6,0.0,0.0,-1.3837814082702
barber,7,0.0,0.0,-0.5981183648109436
basket,2,1.0,1.0,-2.3010940626263614
beard,3,1.0,0.0,-2.0259602864583335
bedding,5,1.0,1.0,-1.0810974001884461
bike,4,1.0,1.0,-2.702140836045146
blanket,2,1.0,1.0,-1.5098266750574112
blogger,2,0.0,0.0,-1.1945037841796875
board,4,1.0,1.0,-1.7999458350241184
book,3,1.0,0.0,-0.5679575204849243
bottle,2,1.0,1.0,-2.1049346774816513
bowl,2,1.0,1.0,-2.5645065009593964
bread,3,1.0,1.0,-2.5583698973059654
broadcaster,2,0.0,0.0,-1.3740157932043076
building,2,1.0,0.0,-1.0742741078138351
bus,3,1.0,1.0,-2.329650883873304
busboy,5,0.0,0.0,-2.8089264258742332
businessman,3,0.0,0.0,-0.9617716073989868
businesswoman,3,0.0,0.0,-1.3596394956111908
butcher,4,0.0,0.0,-1.6703147888183594
cake,3,1.0,1.0,-2.7081552917758622
cameraman,2,0.0,1.0,-1.8244400247931478
camper,2,0.0,1.0,-1.60588076710701
canvas,4,1.0,1.0,-2.308933239430189
captain,3,0.0,0.0,-0.6829070746898651
car,12,1.0,0.0,-1.5774904936552048
cardboard,4,1.0,1.0,-3.2829017750918865
carpet,3,1.0,0.0,-2.619191477696101
carver,7,0.0,0.0,-1.0382505059242249
caterer,3,0.0,1.0,-1.4747772018114726
cd,3,1.0,1.0,-2.792549113432567
cellist,2,0.0,0.0,-1.3789825588464737
cello,2,1.0,1.0,-3.0914154052734375
chauffeur,3,0.0,0.0,-0.5813954869906107
chef,10,0.0,0.0,-1.7068115159869195
choreography,1,1.0,1.0,-1.0153274536132812
clarinet,2,1.0,1.0,-3.1921005100011826
clarinetist,2,0.0,1.0,-1.2860030680894852
clay,6,1.0,1.0,-2.4662882424890995
cleaner,5,0.0,0.0,-1.9549437880516052
clerk,2,0.0,0.0,-0.43340301513671875
cloth,8,1.0,0.0,-2.158760065212846
coat,2,1.0,0.0,-1.458877593278885
code,2,1.0,1.0,-1.4375000149011612
comedian,1,0.0,1.0,-1.4795989990234375
concerto,1,1.0,1.0,-2.4035796374082565
confectioner,3,0.0,1.0,-0.8466364940007528
container,2,1.0,1.0,-0.895511656999588
convertible,3,1.0,0.0,-2.3528518552581468
cook,6,0.0,0.0,-1.298123685022195
cotton,4,1.0,0.0,-3.7361869756132364
countertop,3,1.0,0.0,-1.7654317269722621
crate,2,1.0,1.0,-1.6777877733111382
cushion,4,1.0,1.0,-2.6706847809255123
cut,4,1.0,1.0,-0.6611595004796982
dancer,1,0.0,0.0,-1.1242523193359375
dealer,3,0.0,0.0,-0.7674560447533926
dish,2,1.0,1.0,-1.9610900580883026
doctor,2,0.0,0.0,-0.49227139353752136
dough,3,1.0,1.0,-3.1423084884881973
dressmaker,4,0.0,0.0,-1.0072707906365395
driver,7,0.0,0.0,-0.9961896751608167
drug,3,1.0,0.0,-1.0534845689932506
drummer,2,0.0,1.0,-2.1315536499023438
duffle,2,1.0,1.0,-2.5853651985526085
essay,4,1.0,0.0,-0.7481556162238121
essayist,2,0.0,0.0,-0.2410659790039063
fabric,20,1.0,1.0,-2.3087868064641954
fillet,3,1.0,1.0,-2.5061950708429017
fish,3,1.0,0.0,-2.7747447018822036
floor,3,1.0,1.0,-1.2507985730965931
flute,2,1.0,1.0,-3.615806594491005
flutist,2,0.0,1.0,-1.4684143662452698
food,2,1.0,1.0,-2.5161896347999573
gem,4,1.0,1.0,-3.0939941368997097
glass,4,1.0,1.0,-2.250764861702919
hairdresser,7,0.0,0.0,-0.6636853728975568
handle,4,1.0,0.0,-0.9499359056353569
hat,3,1.0,0.0,-1.0731862584749858
herb,3,1.0,0.0,-1.8084055185317993
hiker,2,0.0,0.0,-0.9587936103343964
housekeeper,3,0.0,0.0,-0.9623565475145978
ice,7,1.0,1.0,-3.211408334118979
illustrator,4,0.0,1.0,-0.7827930301427841
ingredient,3,1.0,1.0,-1.1743418176968892
instrument,2,1.0,0.0,-1.3438377380371094
item,3,1.0,1.0,-0.026390075683593733
jacket,2,1.0,0.0,-2.0037841498851776
janitor,3,0.0,0.0,-1.07987975080808
jet,3,1.0,0.0,-1.8053894241650903
jeweler,4,0.0,0.0,-1.008312188088894
jewelry,3,1.0,1.0,-2.6760457356770835
journalist,2,0.0,0.0,-1.01531982421875
kite,3,1.0,1.0,-2.164927139878273
knob,4,1.0,0.0,-1.9719276353716857
lady,5,0.0,0.0,-0.9870880365371704
lake,2,1.0,0.0,-2.004981942474842
landscape,2,1.0,0.0,-1.29082490503788
letter,2,1.0,0.0,-0.6601028442382812
line,2,1.0,0.0,-0.6731453239917756
lotion,3,1.0,1.0,-0.9193267921606699
lunchbox,2,1.0,1.0,-3.2944564782083035
machine,8,0.0,0.0,-0.9996757432818413
magazine,3,1.0,0.0,-1.3450012107690175
maid,5,0.0,0.0,-1.5078338503837585
make,3,1.0,0.0,-0.6186218162377676
man,5,0.0,0.0,-0.7633453607559204
marble,3,1.0,0.0,-3.727294954160849
mason,3,0.0,0.0,-1.36247252424558
material,4,1.0,0.0,-1.5102939382195473
meat,7,1.0,1.0,-2.78873329183885
mirror,3,1.0,1.0,-1.7032064100106556
model,2,1.0,1.0,-0.8834609836339951
motorcycle,4,1.0,1.0,-2.6281547918915753
motorist,4,0.0,1.0,-1.239032730460167
mountain,2,1.0,1.0,-2.2758636474609375
mover,2,0.0,0.0,-1.9187392890453339
mushroom,3,1.0,0.0,-3.6700388391812644
musician,3,0.0,1.0,-1.6956583311160405
narrator,2,0.0,0.0,-1.1338348239660263
notetaker,2,0.0,1.0,-0.7559166252613068
novel,3,1.0,0.0,-0.6252466936906177
novelist,2,0.0,0.0,-1.1095733791589737
orator,2,0.0,0.0,-0.4854736328125
packaging,4,1.0,1.0,-2.026479721069336
painter,4,0.0,1.0,-1.3676185607910156
panel,4,1.0,1.0,-0.6386184841394424
paper,4,1.0,0.0,-2.088195826858282
passage,6,1.0,0.0,-0.1680386861165364
pastry,3,1.0,1.0,-2.711044286688169
patissier,3,0.0,0.0,-1.3843587338924408
pattern,5,0.0,1.0,0.0432373046875
peddler,3,0.0,0.0,-0.883361836274465
pepper,3,1.0,1.0,-3.0876515929897628
person,30,0.0,0.0,-0.5941899587710698
photographer,2,0.0,0.0,-1.3465881943702698
pianist,2,0.0,1.0,-1.4663085341453552
piano,2,1.0,1.0,-3.30184169113636
pie,3,1.0,1.0,-2.831522631148498
pilot,7,0.0,1.0,-1.1012878375394004
pizza,3,1.0,1.0,-2.840398179988066
plane,3,1.0,1.0,-1.5429941912492116
poem,2,1.0,0.0,-1.3897819221019745
poet,2,0.0,0.0,-1.495224043726921
portraitist,4,0.0,0.0,-0.42081068456172943
pot,3,1.0,1.0,-2.512888595461846
potato,3,1.0,1.0,-4.170934083561103
potter,3,0.0,0.0,-0.9020182092984518
product,3,1.0,0.0,-0.8199233710765839
professor,2,0.0,0.0,-1.1062698066234589
proposal,2,0.0,1.0,0.04853057861328125
pumpkin,4,1.0,1.0,-3.9347344087436795
quilt,4,1.0,0.0,-1.5115699842572212
racer,4,0.0,1.0,-1.9456176608800893
report,2,1.0,0.0,-0.263671875
roadtripper,2,0.0,0.0,-0.6022872477769851
routine,1,0.0,1.0,0.2504577636718751
salesman,3,0.0,0.0,-0.20317077636718753
saleswoman,3,1.0,1.0,0.3754425247510274
salmon,3,1.0,0.0,-3.845123264938593
scene,1,1.0,0.0,-0.3771438598632812
screw,4,1.0,1.0,-1.8366775624454021
scribe,2,0.0,0.0,-1.2536315321922302
script,2,1.0,0.0,-1.0033797919750214
sculptor,7,0.0,1.0,-1.0872344970703125
seamster,8,0.0,0.0,-1.664798742160201
seamstress,4,0.0,1.0,-1.1511001661419868
section,2,1.0,0.0,-0.51373291015625
shirt,2,1.0,0.0,-1.2204742729663849
shopkeeper,3,0.0,0.0,-0.2981465657552083
sideburn,3,1.0,1.0,-2.0099589228630066
silk,4,1.0,0.0,-3.1409416254609823
silverware,3,1.0,1.0,-2.7923786838849387
singer,1,0.0,0.0,-1.4931488633155825
snack,3,1.0,1.0,-2.4573415567477546
