verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-1.1331672618786495,-2.9653008629878364
carves,20,28,0.0,1.0,0.5833333333333334,-1.0499000370502471,-2.7175195143957223
cleans,21,33,0.0,1.0,0.6111111111111112,-1.4143335279964266,-1.9573031277819113
cooks,12,33,0.0,1.0,0.7333333333333333,-1.5804761238396168,-2.8038991102666566
cuts,16,24,0.0,1.0,0.6,-1.194360720925033,-2.4266258950034776
drives,9,27,0.0,1.0,0.75,-0.699225538306766,-1.99915596070113
embroiders,12,16,0.0,1.0,0.5714285714285714,-1.0544306424756844,-2.0587596828117967
flies,12,12,0.0,1.0,0.5,-1.1554260104894638,-1.8380177753667037
knits,20,15,0.0,0.6666666666666666,0.2857142857142857,-0.8114238828420639,-1.9483113422989846
packs,16,24,0.0,1.0,0.6,-1.0749778784811497,-2.158106173699101
paints,20,28,0.0,1.0,0.5833333333333334,-0.9462924845516681,-1.725401736263718
performs,7,6,0.0,0.8333333333333334,0.38461538461538464,-1.1070393260036195,-1.1438852548599243
photographs,4,14,0.0,0.8571428571428571,0.6666666666666666,-1.585514109581709,-1.3226936981081963
plays,14,12,0.0,1.0,0.46153846153846156,-1.6483819058963232,-3.0329634388908744
reads,14,20,0.0,1.0,0.5882352941176471,-0.8223691540105003,-0.7740100808441639
sculpts,15,15,0.0,1.0,0.5,-1.0413757224877676,-2.8047516092658045
sells,27,45,0.1111111111111111,1.0,0.6666666666666666,-0.5246016846762763,-1.3685670627488031
sews,12,8,0.0,1.0,0.4,-1.1538073420524597,-1.9468927308917046
shaves,6,9,0.0,1.0,0.6,-0.5973993937174479,-2.2155812738670244
stitches,20,28,0.05,1.0,0.6041666666666666,-0.5807891726493836,-1.9865886292287283
turns,16,28,0.0,1.0,0.6363636363636364,-1.3139514904469252,-1.8589085289942366
washes,8,18,0.0,1.0,0.6923076923076923,-1.6196403158828616,-1.8246205544306173
writes,24,10,0.0,0.8,0.23529411764705882,-0.8450193380316099,-0.5375251829624176
