verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-2.2485181424352856,-2.6515403781086206
carves,20,28,0.0,1.0,0.5833333333333334,-1.9378441516309977,-2.3169808821486577
cleans,21,33,0.0,1.0,0.6111111111111112,-1.9710810163191386,-2.2326707408735245
cooks,12,33,0.0,1.0,0.7333333333333333,-2.251031883060932,-2.523476512368881
cuts,16,24,0.0,1.0,0.6,-1.795266440603882,-2.0189361196632185
drives,9,27,0.0,1.0,0.75,-1.816677901479933,-2.284739472247936
embroiders,12,16,0.0,1.0,0.5714285714285714,-2.169962350279093,-2.5027059216517955
flies,12,12,0.0,1.0,0.5,-1.7450077620645363,-2.0048010324438414
knits,20,15,0.0,1.0,0.42857142857142855,-2.2359506607055666,-2.480797756711642
packs,16,24,0.0,1.0,0.6,-1.9386946097947657,-2.4423012387317917
paints,20,28,0.0,1.0,0.5833333333333334,-1.952431497722864,-2.48257809491562
performs,7,6,0.0,1.0,0.46153846153846156,-1.6925448115382875,-1.9617311445375283
photographs,4,14,0.0,1.0,0.7777777777777778,-2.39225366525352,-2.5691329945943187
plays,14,12,0.0,1.0,0.46153846153846156,-1.920944467719112,-2.1860668727507195
reads,14,20,0.0,1.0,0.5882352941176471,-1.7186976335942745,-1.9919026918709277
sculpts,15,15,0.0,1.0,0.5,-2.212735441327095,-2.584786607325077
sells,27,45,0.0,1.0,0.625,-1.6817621983311795,-1.955739442507426
sews,12,8,0.0,1.0,0.4,-2.1273157919446626,-2.0173255037516356
shaves,6,9,0.0,1.0,0.6,-1.7951102678974469,-2.4709438300795026
stitches,20,28,0.0,1.0,0.5833333333333334,-1.8440464660525322,-2.497528972237238
turns,16,28,0.0,1.0,0.6363636363636364,-1.7555745877325535,-2.183953147381544
washes,8,18,0.0,1.0,0.6923076923076923,-1.6703216871246696,-2.248888364268674
writes,24,10,0.0,1.0,0.29411764705882354,-1.4687743615359068,-1.636448572576046
