noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-3.39966368
actor,1,0.0,1.0,-2.1548231
aircraft,3,1.0,1.0,-4.251926173333334
album,3,1.0,1.0,-5.229263424
animal,2,1.0,1.0,-5.2506123
announcer,2,0.0,1.0,-1.67943565
artisan,4,0.0,1.0,-2.69910542
artist,4,0.0,1.0,-2.5275486000000003
author,2,0.0,1.0,-1.907806335
aviator,3,0.0,1.0,-3.3231017883333336
backpack,2,1.0,1.0,-4.510156424
backpacker,2,0.0,1.0,-3.442690203
bag,2,1.0,1.0,-5.988608340999999
baker,6,0.0,1.0,-4.645031384333333
barber,7,0.0,1.0,-3.5250786742857136
basket,2,1.0,1.0,-5.7562562455
beard,3,1.0,1.0,-5.263947782333333
bedding,5,1.0,1.0,-4.1351517336
bike,4,1.0,1.0,-4.7438639965
blanket,2,1.0,1.0,-4.1989688935
blogger,2,0.0,1.0,-2.77241593
board,4,1.0,1.0,-4.6958415145
book,3,1.0,1.0,-3.4910804283333334
bottle,2,1.0,1.0,-4.1573906915
bowl,2,1.0,1.0,-4.509214427
bread,3,1.0,1.0,-5.729713872333334
broadcaster,2,0.0,1.0,-1.88656903
building,2,1.0,1.0,-3.0257352749999997
bus,3,1.0,1.0,-4.530480500333333
busboy,5,0.0,1.0,-3.514388012
businessman,3,1.0,0.0,1.7543184
businesswoman,3,0.0,1.0,-1.3580702966666667
butcher,4,0.0,1.0,-4.509704167500001
cake,3,1.0,1.0,-5.9696455109999995
cameraman,2,0.0,1.0,-2.8372325050000002
camper,2,0.0,1.0,-3.740859841
canvas,4,1.0,1.0,-5.8267347977499995
captain,3,0.0,1.0,-3.290204842
car,12,1.0,1.0,-4.0465243265833335
cardboard,4,1.0,1.0,-5.21038452575
carpet,3,1.0,1.0,-3.850831486666667
carver,7,0.0,1.0,-4.400468768142857
caterer,3,0.0,1.0,-4.324466238
cd,3,1.0,1.0,-4.991169898
cellist,2,0.0,1.0,-7.2346508585
cello,2,1.0,1.0,-7.576003163999999
chauffeur,3,0.0,1.0,-3.0352060733333333
chef,10,0.0,1.0,-4.484799532000001
choreography,1,1.0,1.0,-3.919547797
clarinet,2,1.0,1.0,-6.150674281
clarinetist,2,0.0,1.0,-4.556901549999999
clay,6,1.0,1.0,-4.485868533666667
cleaner,5,0.0,1.0,-1.877086006
clerk,2,0.0,1.0,-2.6926669949999997
cloth,8,1.0,1.0,-5.200311904
coat,2,1.0,1.0,-5.29030972
code,2,1.0,1.0,-3.9399453099999997
comedian,1,0.0,1.0,-1.5027864999999998
concerto,1,1.0,1.0,-4.467280784
confectioner,3,0.0,1.0,-4.813630757666667
container,2,1.0,1.0,-5.410538163
convertible,3,1.0,1.0,-3.8950475786666665
cook,6,0.0,1.0,-5.608409522
cotton,4,1.0,1.0,-5.72793021
countertop,3,1.0,1.0,-3.8414193740000004
crate,2,1.0,1.0,-5.686525754
cushion,4,1.0,1.0,-5.34181803225
cut,4,1.0,1.0,-4.531939132000001
dancer,1,0.0,1.0,-4.03099061
dealer,3,0.0,1.0,-1.3906611
dish,2,1.0,1.0,-4.914037938
doctor,2,0.0,1.0,-3.647760235
dough,3,1.0,1.0,-5.4029741646666665
dressmaker,4,0.0,1.0,-5.2079427030000005
driver,7,0.0,1.0,-3.087722864285714
drug,3,1.0,1.0,-3.465655302
drummer,2,0.0,1.0,-5.59163622
duffle,2,1.0,1.0,-5.6678001965
essay,4,1.0,1.0,-3.61458966
essayist,2,0.0,1.0,-2.2486553750000002
fabric,20,1.0,1.0,-4.222531228399999
fillet,3,1.0,1.0,-7.235592171166666
fish,3,1.0,1.0,-5.954110771166666
floor,3,1.0,1.0,-3.109909521666667
flute,2,1.0,1.0,-6.8648583975
flutist,2,0.0,1.0,-6.2237864185
food,2,1.0,1.0,-4.665638885
gem,4,1.0,1.0,-5.54246507225
glass,4,1.0,1.0,-4.917664224999999
hairdresser,7,0.0,1.0,-1.7063976114285713
handle,4,1.0,1.0,-5.5413160025
hat,3,1.0,1.0,-5.461725345666667
herb,3,1.0,1.0,-5.857287745
hiker,2,0.0,1.0,-4.7365055730000005
housekeeper,3,0.0,1.0,-3.0116730100000004
ice,7,1.0,1.0,-5.150376684428571
illustrator,4,0.0,1.0,-3.845393125
ingredient,3,1.0,1.0,-2.94448366
instrument,2,1.0,1.0,-6.80197442
item,3,1.0,1.0,-3.7406936633333334
jacket,2,1.0,1.0,-4.8992340940000005
janitor,3,0.0,1.0,-1.225359
jet,3,1.0,1.0,-4.676686611333333
jeweler,4,0.0,1.0,-2.8431152275000002
jewelry,3,1.0,1.0,-4.607691544333334
journalist,2,0.0,1.0,-1.6817921249999999
kite,3,1.0,1.0,-5.270140339
knob,4,1.0,1.0,-5.23047854025
lady,5,0.0,1.0,-6.7286726898
lake,2,1.0,1.0,-6.2740003695
landscape,2,1.0,1.0,-3.6381790450000002
letter,2,1.0,1.0,-3.84424994
line,2,1.0,1.0,-3.873548723
lotion,3,1.0,1.0,-4.38963444
lunchbox,2,1.0,1.0,-4.23927911
machine,8,0.0,1.0,-4.4917157865
magazine,3,1.0,1.0,-3.430014754
maid,5,0.0,1.0,-4.7109691077999996
make,3,1.0,1.0,-3.0542478700000006
man,5,0.0,1.0,-3.3573656088
marble,3,1.0,1.0,-4.603821320333334
mason,3,0.0,1.0,-4.175284288666667
material,4,1.0,1.0,-3.57985678
meat,7,1.0,1.0,-5.3053029514285726
mirror,3,1.0,1.0,-4.5840556396666665
model,2,1.0,1.0,-3.8755501370000003
motorcycle,4,1.0,1.0,-4.3800604785
motorist,4,0.0,1.0,-2.20802307
mountain,2,1.0,1.0,-5.621905678
mover,2,0.0,1.0,-3.3197582175
mushroom,3,1.0,1.0,-5.899921716166666
musician,3,0.0,1.0,-4.68893079
narrator,2,0.0,1.0,-3.7426714700000003
notetaker,2,0.0,1.0,-4.20821911
novel,3,1.0,1.0,-2.953653801666667
novelist,2,0.0,1.0,-2.57877006
orator,2,0.0,1.0,-2.4207953300000002
packaging,4,1.0,1.0,-3.8744824922500003
painter,4,0.0,1.0,-4.31119947
panel,4,1.0,1.0,-5.41922431075
paper,4,1.0,1.0,-4.632109412749999
passage,6,1.0,1.0,-4.034827958166667
pastry,3,1.0,1.0,-6.007074893333333
patissier,3,0.0,1.0,-4.757643287
pattern,5,1.0,1.0,-5.1844649526
peddler,3,0.0,1.0,-1.9632518999999997
pepper,3,1.0,1.0,-5.310815164
person,30,0.0,1.0,-4.013061279333332
photographer,2,0.0,1.0,-3.7147335349999997
pianist,2,0.0,1.0,-5.4156352635
piano,2,1.0,1.0,-6.3942109485
pie,3,1.0,1.0,-5.966793380000001
pilot,7,0.0,1.0,-3.982024658571429
pizza,3,1.0,1.0,-5.152765466666667
plane,3,1.0,1.0,-4.923228993
poem,2,1.0,1.0,-4.4501196575
poet,2,0.0,1.0,-4.6574245075
portraitist,4,0.0,1.0,-3.0559517174999997
pot,3,1.0,1.0,-4.558854422666667
