noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-4.0116380849999995
actor,1,1.0,-3.284538
aircraft,3,1.0,-3.98502645
album,3,1.0,-4.736084713333334
animal,2,1.0,-5.74514126
announcer,2,1.0,-2.8513791250000002
artisan,4,1.0,-4.6931888525000005
artist,4,1.0,-4.5522662925
author,2,1.0,-3.4361580425
aviator,3,1.0,-4.450844747666667
backpack,2,1.0,-4.642166596500001
backpacker,2,1.0,-4.4686167039999996
bag,2,1.0,-5.33058037
baker,6,1.0,-5.995131346833333
barber,7,1.0,-4.89244436642857
basket,2,1.0,-6.027053293
beard,3,1.0,-6.154286612666667
bedding,5,1.0,-4.506669296
bike,4,1.0,-4.59602366175
blanket,2,1.0,-4.775760963
blogger,2,1.0,-4.578844324
board,4,1.0,-4.87656170375
book,3,1.0,-3.3920899520000005
bottle,2,1.0,-3.8850652345
bowl,2,1.0,-4.474374972
bread,3,1.0,-5.715805775333333
broadcaster,2,1.0,-2.92543574
building,2,1.0,-3.8576620550000005
bus,3,1.0,-5.393877575
busboy,5,1.0,-4.781734205999999
businessman,3,0.6666666666666666,-0.12911506666666664
businesswoman,3,1.0,-3.0782896433333335
butcher,4,1.0,-6.356152729250001
cake,3,1.0,-6.668906666333334
cameraman,2,1.0,-4.5001493355
camper,2,1.0,-4.7464328785
canvas,4,1.0,-6.01633799125
captain,3,1.0,-4.663737453333333
car,12,1.0,-4.090790439083333
cardboard,4,1.0,-5.077712836750001
carpet,3,1.0,-4.145490490333334
carver,7,1.0,-5.645697111
caterer,3,1.0,-4.751086635333333
cd,3,1.0,-4.7132623806666665
cellist,2,1.0,-8.1186649865
cello,2,1.0,-8.521138456
chauffeur,3,1.0,-4.923048185
chef,10,1.0,-5.7634541729999995
choreography,1,1.0,-5.335365143
clarinet,2,1.0,-7.303294747
clarinetist,2,1.0,-5.988034545
clay,6,1.0,-5.0636461375833335
cleaner,5,1.0,-3.1613254888
clerk,2,1.0,-3.64393122
cloth,8,1.0,-5.52202190275
coat,2,1.0,-5.641215659
code,2,1.0,-4.262642219
comedian,1,1.0,-3.75705655
concerto,1,1.0,-5.446440237
confectioner,3,1.0,-6.452965060333334
container,2,1.0,-5.060987289
convertible,3,1.0,-5.196032728333333
cook,6,1.0,-6.1789574468333335
cotton,4,1.0,-6.033384289500001
countertop,3,1.0,-4.691160184
crate,2,1.0,-5.548840639250001
cushion,4,1.0,-5.28710964125
cut,4,1.0,-4.646757581
dancer,1,1.0,-5.776739174
dealer,3,1.0,-1.9332472299999999
dish,2,1.0,-4.5960558795
doctor,2,1.0,-4.032929342
dough,3,1.0,-5.446173192333333
dressmaker,4,1.0,-7.16412087875
driver,7,1.0,-4.175322977571429
drug,3,1.0,-3.473220372
drummer,2,1.0,-7.257372595
duffle,2,1.0,-5.8321030904999995
essay,4,1.0,-4.21767385575
essayist,2,1.0,-3.9629655575000005
fabric,20,1.0,-4.826427453999999
fillet,3,1.0,-7.050742589666666
fish,3,1.0,-5.862077850666668
floor,3,1.0,-3.376394636666667
flute,2,1.0,-7.29493609475
flutist,2,1.0,-7.2780565865
food,2,1.0,-3.842551035
gem,4,1.0,-5.62373056575
glass,4,1.0,-4.92716875
hairdresser,7,1.0,-4.474525231285714
handle,4,1.0,-4.395835065
hat,3,1.0,-5.752878127333333
herb,3,1.0,-6.176126125666666
hiker,2,1.0,-5.340066091000001
housekeeper,3,1.0,-4.879100208333334
ice,7,1.0,-5.171725591571429
illustrator,4,1.0,-5.578077476
ingredient,3,1.0,-3.4651035666666665
instrument,2,1.0,-7.495806056999999
item,3,1.0,-3.1483405113333336
jacket,2,1.0,-5.000745273
janitor,3,1.0,-2.5356085233333334
jet,3,1.0,-4.485124218999999
jeweler,4,1.0,-5.241024332
jewelry,3,1.0,-4.973995016
journalist,2,1.0,-3.443065915
kite,3,1.0,-5.2099946736666665
knob,4,1.0,-5.1426806585
lady,5,1.0,-7.6453620269
lake,2,1.0,-6.9789278915
landscape,2,1.0,-5.514914078
letter,2,1.0,-3.714145782
line,2,1.0,-4.2177326425
lotion,3,1.0,-4.7922672046666674
lunchbox,2,1.0,-5.1478433785
machine,8,1.0,-4.8970545340000005
magazine,3,1.0,-3.502524868
maid,5,1.0,-5.7069262925999995
make,3,1.0,-2.887342633333333
man,5,1.0,-3.9623800411999994
marble,3,1.0,-5.139338388666666
mason,3,1.0,-5.451329714666667
material,4,1.0,-2.7073327825
meat,7,1.0,-5.025758907285714
mirror,3,1.0,-5.222578068
model,2,1.0,-5.2725478500000005
motorcycle,4,1.0,-4.570951207749999
motorist,4,1.0,-3.9397945797500005
mountain,2,1.0,-6.3868068625
mover,2,1.0,-4.0860153734999995
mushroom,3,1.0,-6.364390818333334
musician,3,1.0,-5.750749063000001
narrator,2,1.0,-3.6229583549999997
notetaker,2,1.0,-4.840947401499999
novel,3,1.0,-3.3402161173333336
novelist,2,1.0,-4.35221807
orator,2,1.0,-3.672075285
packaging,4,1.0,-4.0382398010000005
painter,4,1.0,-5.872174726500001
panel,4,1.0,-4.6515382325
paper,4,1.0,-4.3286703947500005
passage,6,1.0,-3.4286663883333333
pastry,3,1.0,-6.766374161000001
patissier,3,1.0,-6.104324721
pattern,5,1.0,-5.246063348400001
peddler,3,1.0,-3.1251883533333333
pepper,3,1.0,-5.4982222609999996
person,30,1.0,-3.0290973345
photographer,2,1.0,-5.226610898500001
pianist,2,1.0,-5.8580548155
piano,2,1.0,-7.26609820675
pie,3,1.0,-5.925442096666667
pilot,7,1.0,-4.355879420571428
pizza,3,1.0,-5.240417434666667
plane,3,1.0,-4.928612853666667
poem,2,1.0,-5.24088742
poet,2,1.0,-5.7845572055
portraitist,4,1.0,-4.86951718125
pot,3,1.0,-4.754348656333334
potato,3,1.0,-6.919274813
potter,3,1.0,-5.976401730333333
product,3,1.0,-1.6139198066666667
professor,2,1.0,-3.0742168149999998
