noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-3.99864742
actor,1,0.0,-2.76152208
aircraft,3,0.0,-4.329619846666667
album,3,0.0,-5.076930493
animal,2,0.0,-5.63652442
announcer,2,0.0,-3.54876344
artisan,4,0.0,-4.5984021375
artist,4,0.0,-4.2614473225000005
author,2,0.0,-2.881319755
aviator,3,0.0,-4.609173508666666
backpack,2,0.0,-4.3915709495
backpacker,2,0.0,-3.8933588735000004
bag,2,0.0,-5.4941950225
baker,6,0.0,-5.968919224333334
barber,7,0.0,-4.595691711714286
basket,2,0.0,-6.04361691
beard,3,0.0,-6.046878760166666
bedding,5,0.0,-4.446446253
bike,4,0.0,-5.2823499825
blanket,2,0.0,-5.162821932
blogger,2,0.0,-4.586261793
board,4,0.0,-4.61357825575
book,3,0.0,-3.4450790799999997
bottle,2,0.0,-4.546004627
bowl,2,0.0,-5.17819171
bread,3,0.0,-5.626900197666667
broadcaster,2,0.0,-3.52192524
building,2,0.0,-3.660692742
bus,3,0.0,-4.728020644333334
busboy,5,0.0,-4.6985058156
businessman,3,0.0,-0.6917193666666664
businesswoman,3,0.0,-3.196560826666667
butcher,4,0.0,-6.1498290440000005
cake,3,0.0,-6.2430085643333335
cameraman,2,0.0,-4.41709727
camper,2,0.0,-4.1713741615
canvas,4,0.0,-6.14542606625
captain,3,0.0,-4.670853849333334
car,12,0.0,-4.405318360749999
cardboard,4,0.0,-5.5181316955
carpet,3,0.0,-4.121060429333333
carver,7,0.0,-5.378185197857143
caterer,3,0.0,-4.789565563333333
cd,3,0.0,-5.138412639666666
cellist,2,0.0,-8.041245566
cello,2,0.0,-8.331079206999998
chauffeur,3,0.0,-4.444038943333333
chef,10,0.0,-5.3602266830000005
choreography,1,0.0,-4.635780862
clarinet,2,0.0,-7.2965194325
clarinetist,2,0.0,-6.149383477500001
clay,6,0.0,-4.898775839833333
cleaner,5,0.0,-3.4493662592
clerk,2,0.0,-3.811869915
cloth,8,0.0,-5.511465578625001
coat,2,0.0,-5.205797796000001
code,2,0.0,-3.9627923234999995
comedian,1,0.0,-3.11028826
concerto,1,0.0,-4.656688413
confectioner,3,0.0,-6.200433066333333
container,2,0.0,-5.4140802675
convertible,3,0.0,-5.2022781343333335
cook,6,0.0,-6.313524173833334
cotton,4,0.0,-6.0017272967499995
countertop,3,0.0,-4.348141312666667
crate,2,0.0,-5.7506480305
cushion,4,0.0,-5.612260852875
cut,4,0.0,-4.3004533335
dancer,1,0.0,-5.5697630600000005
dealer,3,0.0,-2.6972855666666664
dish,2,0.0,-5.0990585589999995
doctor,2,0.0,-4.9661022425
dough,3,0.0,-5.983768074
dressmaker,4,0.0,-6.44825840975
driver,7,0.0,-4.410708824714286
drug,3,0.0,-3.6742937500000004
drummer,2,0.0,-6.811533020500001
duffle,2,0.0,-5.6294226179999995
essay,4,0.0,-3.8021133902499997
essayist,2,0.0,-3.611356165
fabric,20,0.0,-4.625920605699999
fillet,3,0.0,-7.093967486666667
fish,3,0.0,-6.343808833333333
floor,3,0.0,-3.43608285
flute,2,0.0,-7.2563633339999996
flutist,2,0.0,-7.1146998974999995
food,2,0.0,-4.138052075
gem,4,0.0,-5.7995836810000005
glass,4,0.0,-5.0150984895
hairdresser,7,0.0,-3.859497567857143
handle,4,0.0,-5.088372263250001
