noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,0.0,-1.908965965
actor,1,0.0,1.0,-0.6317995299999999
aircraft,3,1.0,0.0,-1.0852314933333334
album,3,1.0,1.0,-2.02630944
animal,2,1.0,1.0,-2.2723530100000002
announcer,2,0.0,0.0,-0.82663633
artisan,4,1.0,1.0,0.37509460250000004
artist,4,0.25,0.25,-0.375109305
author,2,0.5,0.5,-0.024309665000000008
aviator,3,0.3333333333333333,0.3333333333333333,-0.23975719333333334
backpack,2,1.0,1.0,-2.2081489899999998
backpacker,2,0.0,1.0,-1.736466815
bag,2,1.0,1.0,-2.72228681
baker,6,0.5,0.5,-0.2527332283333333
barber,7,0.5714285714285714,0.42857142857142855,-0.10308499428571431
basket,2,1.0,1.0,-2.24386351
beard,3,1.0,1.0,-1.78329514
bedding,5,1.0,1.0,-2.002790256
bike,4,1.0,1.0,-1.8965759575
blanket,2,1.0,1.0,-2.10388297
blogger,2,0.5,0.5,-0.14470790000000003
board,4,1.0,1.0,-0.96374966
book,3,1.0,1.0,-1.8290161366666666
bottle,2,1.0,1.0,-1.78746338
bowl,2,1.0,1.0,-2.07735699
bread,3,1.0,1.0,-1.9518814733333336
broadcaster,2,0.0,0.0,-0.56267643
building,2,1.0,0.0,-1.6854149
bus,3,1.0,1.0,-1.8517330233333336
busboy,5,0.0,1.0,-1.147744732
businessman,3,0.0,0.0,-0.6364570333333334
businesswoman,3,1.0,1.0,0.27555179999999996
butcher,4,0.5,0.5,0.29505667250000006
cake,3,1.0,1.0,-2.3549045886666664
cameraman,2,0.0,0.0,-0.3780074
camper,2,0.0,1.0,-2.1511644225
canvas,4,1.0,1.0,-2.24282354125
captain,3,0.3333333333333333,0.3333333333333333,-0.2942591
car,12,1.0,1.0,-1.3459646275
cardboard,4,1.0,1.0,-1.1440357675
carpet,3,1.0,1.0,-1.8168489633333336
carver,7,0.7142857142857143,0.2857142857142857,0.31289818999999996
caterer,3,0.0,1.0,-0.9080812333333332
cd,3,1.0,1.0,-2.309298318
cellist,2,0.5,0.5,-0.26189624000000006
cello,2,1.0,1.0,-0.8482189499999999
chauffeur,3,0.0,0.0,-0.5499511666666667
chef,10,0.5,0.5,-0.11358160699999997
choreography,1,1.0,0.0,-1.15923453
clarinet,2,1.0,1.0,-1.1492725049999999
clarinetist,2,0.0,0.0,-0.29822750499999995
clay,6,1.0,1.0,-2.0506607916666666
cleaner,5,0.2,0.2,-0.4388930220000001
clerk,2,0.0,0.0,-1.105525025
cloth,8,1.0,1.0,-1.8038102125
coat,2,1.0,1.0,-2.43843426
code,2,1.0,1.0,-0.7345823300000001
comedian,1,1.0,1.0,0.1145668
concerto,1,1.0,0.0,-0.8107496499999999
confectioner,3,0.0,0.0,-0.5922200866666666
container,2,1.0,1.0,-1.894291275
convertible,3,1.0,0.0,-1.5265604366666665
cook,6,0.3333333333333333,0.3333333333333333,-0.14458612333333334
cotton,4,1.0,1.0,-1.975846765
countertop,3,1.0,1.0,-1.977547346666667
crate,2,1.0,1.0,-2.437301875
cushion,4,1.0,1.0,-2.3573511712500004
cut,4,1.0,1.0,-0.6933799024999999
dancer,1,0.0,0.0,-0.37552945
dealer,3,0.0,0.0,-0.3117413
dish,2,1.0,1.0,-2.127296565
