noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-1.2430603900000001
actor,1,0.0,-1.13414652
aircraft,3,1.0,0.5216714699999999
album,3,0.0,-0.70612157
animal,2,0.0,-0.839320665
announcer,2,1.0,0.25757290999999993
artisan,4,1.0,1.3057468625
artist,4,0.75,0.6621214449999999
author,2,1.0,0.9242814699999999
aviator,3,1.0,1.7935935699999999
backpack,2,0.0,-0.9964354700000001
backpacker,2,0.0,-0.449880615
bag,2,0.0,-1.7936379
baker,6,1.0,0.8740440500000001
barber,7,1.0,0.6085992271428572
basket,2,0.0,-1.55934797
beard,3,0.0,-0.46604516999999995
bedding,5,0.0,-1.1431949879999999
bike,4,0.25,-0.20436547249999998
blanket,2,0.0,-1.17945967
blogger,2,1.0,0.54102085
board,4,0.5,0.12609705250000003
book,3,0.0,-0.45674794
bottle,2,0.0,-1.068544325
bowl,2,0.0,-1.307617625
bread,3,0.0,-0.42364823999999995
broadcaster,2,1.0,0.33531332499999994
building,2,0.0,-0.787553
bus,3,0.3333333333333333,-0.14090551666666667
busboy,5,0.2,-0.55906948
businessman,3,0.6666666666666666,0.4346443633333334
businesswoman,3,1.0,0.9732075366666666
butcher,4,1.0,1.382580685
cake,3,0.0,-0.43096468999999993
cameraman,2,1.0,0.83651187
camper,2,0.0,-1.201633325
canvas,4,0.0,-0.743224695
captain,3,1.0,1.5819812899999999
car,12,0.5,-0.03151725833333333
cardboard,4,0.25,-0.15848247249999994
carpet,3,0.0,-0.8994067433333331
carver,7,1.0,1.3844750628571432
caterer,3,1.0,0.33062744333333327
cd,3,0.0,-0.83785073
cellist,2,1.0,0.22922123999999994
cello,2,0.0,-0.48910609000000005
chauffeur,3,1.0,0.8045693866666666
chef,10,1.0,1.4118369310000003
choreography,1,0.0,-0.9525451
clarinet,2,1.0,0.0238591349999999
clarinetist,2,1.0,0.288091055
clay,6,0.16666666666666666,-0.3855136083333333
cleaner,5,1.0,0.5220337679999999
clerk,2,0.0,-0.506074195
cloth,8,0.0,-0.566377365
coat,2,0.0,-1.27333092
code,2,1.0,0.8389953899999999
comedian,1,0.0,-0.17709635
concerto,1,0.0,-0.1273704
confectioner,3,1.0,0.3039037566666667
container,2,0.0,-0.99591654
convertible,3,0.0,-0.19544384999999997
cook,6,1.0,1.1226722616666667
cotton,4,0.25,-0.28468490999999996
countertop,3,0.0,-1.0554816133333331
crate,2,0.0,-1.68267875
cushion,4,0.0,-1.2211851975
cut,4,1.0,0.63868599
dancer,1,0.0,-0.5054524
dealer,3,0.6666666666666666,0.3895779733333333
dish,2,0.0,-1.406897115
doctor,2,1.0,0.647594395
dough,3,0.0,-1.2698363233333334
dressmaker,4,0.75,0.527225425
driver,7,0.8571428571428571,1.0979796342857144
drug,3,0.6666666666666666,-0.00558583999999999
drummer,2,1.0,0.39670471999999996
duffle,2,0.0,-1.3789788
essay,4,0.0,-0.8546021325000001
essayist,2,0.5,0.4219247050000001
fabric,20,0.05,-0.5817634299999999
fillet,3,0.0,-0.5663672666666667
fish,3,0.0,-0.8913372466666667
floor,3,0.0,-1.0514541833333333
flute,2,0.0,-0.28147205
flutist,2,1.0,0.33890866499999994
food,2,0.0,-0.9951631999999999
gem,4,1.0,0.367643765
glass,4,0.0,-0.5091293250000001
hairdresser,7,0.8571428571428571,0.39487044571428564
handle,4,0.5,0.133848715
hat,3,0.0,-0.9905349033333334
herb,3,0.0,-0.6211677233333334
hiker,2,0.0,-0.908245405
housekeeper,3,1.0,0.34430602000000005
ice,7,1.0,0.5594835985714285
illustrator,4,1.0,1.1762187124999999
ingredient,3,0.0,-0.35209441
instrument,2,0.5,0.012556750000000005
item,3,0.0,-0.8812195866666666
jacket,2,0.0,-1.5903887
janitor,3,0.6666666666666666,0.2257557533333333
jet,3,1.0,0.8161971266666667
jeweler,4,1.0,1.0591734475
jewelry,3,0.3333333333333333,-0.18379087999999996
journalist,2,0.5,0.365154835
kite,3,0.0,-0.61273172
knob,4,0.0,-0.5805876725
lady,5,0.0,-0.354467062
lake,2,0.0,-2.038674065
landscape,2,0.0,-1.58357062
letter,2,0.0,-1.275764825
line,2,0.0,-1.2894854100000002
lotion,3,0.0,-0.45735096000000003
lunchbox,2,0.0,-1.359817085
machine,8,0.625,0.009731289999999948
magazine,3,0.0,-0.81692475
maid,5,0.0,-0.509645602
make,3,1.0,1.04453156
man,5,0.4,-0.14415859400000003
marble,3,0.3333333333333333,0.01720989666666663
mason,3,1.0,1.29461205
material,4,0.0,-0.5978029250000001
meat,7,0.14285714285714285,-0.5615706714285714
mirror,3,0.0,-0.3905317799999999
model,2,0.0,-0.5169884250000001
motorcycle,4,0.75,0.1826008775
motorist,4,0.5,-0.06382844499999998
mountain,2,0.0,-1.04694125
mover,2,1.0,0.45971243
mushroom,3,0.0,-1.0149801733333335
musician,3,0.6666666666666666,0.32110103333333334
narrator,2,1.0,0.6870611
notetaker,2,0.0,-0.1004411349999999
novel,3,0.0,-0.6736732566666667
novelist,2,1.0,0.7776547699999999
orator,2,1.0,0.901225905
packaging,4,0.25,-0.10479572499999999
painter,4,0.75,0.861672115
panel,4,0.0,-0.7861351525
paper,4,0.5,-0.042514675
passage,6,0.0,-1.0394978633333334
pastry,3,0.0,-0.39267951333333323
patissier,3,1.0,0.6141288666666668
pattern,5,0.2,-0.13961949999999995
peddler,3,0.6666666666666666,0.27361245
pepper,3,0.0,-0.3094817566666666
person,30,0.7333333333333333,0.15562880299999998
photographer,2,1.0,1.5327274000000002
pianist,2,1.0,0.4868319750000001
piano,2,0.0,-0.4786926650000001
pie,3,0.0,-0.29210460666666666
pilot,7,0.8571428571428571,1.5417317985714287
pizza,3,0.0,-1.0803266833333331
plane,3,1.0,0.32469969666666665
poem,2,0.0,-1.30786143
poet,2,0.5,0.27795797000000005
portraitist,4,0.75,0.4241489125
pot,3,0.0,-0.5382825566666666
potato,3,0.0,-1.28936965
potter,3,1.0,1.4583945033333332
product,3,0.0,-0.4433019133333333
professor,2,0.5,0.24282465000000006
proposal,2,0.5,0.04654863000000001
pumpkin,4,0.0,-0.593872075
quilt,4,0.0,-0.9712109250000001
racer,4,0.75,0.49656498000000004
report,2,0.0,-1.6072440000000001
roadtripper,2,0.0,-0.27913031999999993
routine,1,0.0,-0.6901370499999999
salesman,3,0.6666666666666666,0.6266368999999999
saleswoman,3,1.0,0.41459407666666664
salmon,3,0.0,-0.4179744033333333
scene,1,0.0,-0.6524365399999998
screw,4,0.75,0.42798440000000004
scribe,2,0.5,0.388906185
script,2,0.0,-0.703319955
sculptor,7,1.0,1.8741419071428569
seamster,8,0.75,0.09191811500000002
seamstress,4,0.75,0.10839318999999997
section,2,0.5,0.10885572499999994
shirt,2,0.0,-1.5299750749999999
shopkeeper,3,1.0,0.39851166
sideburn,3,0.0,-0.2793538033333333
silk,4,0.75,0.06028144499999999
silverware,3,0.3333333333333333,-0.23142670666666668
singer,1,0.0,-0.92275104
snack,3,0.0,-0.8945691733333333
soloist,1,0.0,-0.3317797799999999
sonata,1,0.0,-0.5310946999999999
song,1,0.0,-0.8883078500000001
steak,7,0.0,-0.6856421628571429
stone,7,1.0,0.4172672085714285
stubble,3,0.0,-0.43873718999999994
student,4,0.0,-0.775166465
suitcase,2,0.0,-1.72415732
surface,7,0.0,-0.5361368042857143
surgeon,4,0.75,0.94005422
suv,6,0.6666666666666666,0.06395037833333335
tailor,12,0.75,0.49449801916666664
tank,3,1.0,0.61360366
teacher,2,1.0,0.34958829999999996
telemarketer,3,0.0,-0.3815977733333333
tent,2,0.0,-1.70921299
thread,4,0.0,-0.33348648749999993
toy,3,0.0,-1.0443054766666668
tractor,3,1.0,1.2100003499999998
trader,3,0.6666666666666666,0.57655439
traveller,2,0.0,-0.6100485299999999
truck,3,1.0,0.7346680866666667
tub,2,0.0,-1.4275570499999999
tuna,3,0.0,-0.5575435933333334
turkey,4,0.25,-0.07751748999999991
upholsterer,4,0.75,0.25029322749999994
valve,4,0.5,-0.12524655750000002
van,3,1.0,0.23177541999999995
vegetable,3,0.0,-0.9537552033333334
vehicle,3,1.0,0.42781782666666673
verse,2,0.0,-0.63439299
view,2,0.0,-1.3346249600000002
violin,2,0.0,-0.028005455
violinist,2,0.5,0.07898630000000004
waiter,3,0.6666666666666666,0.06504463666666661
waitress,3,0.3333333333333333,-0.12460969999999995
wall,4,0.0,-0.8803067649999999
window,3,0.3333333333333333,-0.3305135300000001
windshield,5,0.2,-0.4304783519999999
