model,corr_noun_LL,corr_human,corr_subj
bloom-560m,0.5315072175063755,0.2193821058295994,0.11778596555591761
bloom-1b1,0.7400413818603079,0.027443935137655234,0.07026860993726176
bloom-1b7,0.5185995894157707,0.7947897217935745,0.5884728664737547
bloom-3b,0.17389788288302654,0.511949469907132,0.38654968150695307
bloom-7b1,0.4062150352463843,0.27226538878184997,0.22666748369440065
gpt2-small,0.5375167652294668,0.19006125080232808,0.10617973766259589
gpt2-medium,0.540696375188689,0.49963199825365856,0.5074406317033372
gpt2-large,0.5370425648300953,0.5861129438554075,0.5042183295289957
gpt2-xl,0.4846897617515104,0.5306133564692057,0.4206266978898106
gpt3-ada,0.5502439223401935,0.44684762173787923,0.4432945749460781
gpt3-babbage,0.5527574170677069,0.6507278229730246,0.5496497397695507
gpt3-curie,0.14906181759280077,0.3389694806196654,0.3027477782211774
gpt3-davinci,0.6574129155173823,0.743745230982988,0.5931969154719122
text-ada-001,0.4436253709960361,0.4169414078448032,0.24670166774697233
text-babbage-001,0.16101759536946914,-0.32212363904925123,-0.28740014026704996
text-curie-001,0.008047181334764503,0.26594052579003435,0.24822821061804556
text-davinci-001,0.41800157582841224,0.6219117592333329,0.49235208314266304
text-davinci-003,0.9097910927186904,0.9107751145033274,0.7202969164231319
