verb,gpt3-davinci_acc,gpt3-davinci_agent_acc,gpt3-davinci_patient_acc,gpt3-davinci_agent_avg_LL_delta,gpt3-davinci_patient_avg_LL_delta,gpt3-babbage_acc,gpt3-babbage_agent_acc,gpt3-babbage_patient_acc,gpt3-babbage_agent_avg_LL_delta,gpt3-babbage_patient_avg_LL_delta,text-davinci-001_acc,text-davinci-001_agent_acc,text-davinci-001_patient_acc,text-davinci-001_agent_avg_LL_delta,text-davinci-001_patient_avg_LL_delta,bloom-1b1_acc,bloom-1b1_agent_acc,bloom-1b1_patient_acc,bloom-1b1_agent_avg_LL_delta,bloom-1b1_patient_avg_LL_delta,bloom-3b_acc,bloom-3b_agent_acc,bloom-3b_patient_acc,bloom-3b_agent_avg_LL_delta,bloom-3b_patient_avg_LL_delta,gpt2-x_acc,gpt2-x_agent_acc,gpt2-x_patient_acc,gpt2-x_agent_avg_LL_delta,gpt2-x_patient_avg_LL_delta,bloom-560m_acc,bloom-560m_agent_acc,bloom-560m_patient_acc,bloom-560m_agent_avg_LL_delta,bloom-560m_patient_avg_LL_delta,gpt3-ada_acc,gpt3-ada_agent_acc,gpt3-ada_patient_acc,gpt3-ada_agent_avg_LL_delta,gpt3-ada_patient_avg_LL_delta,gpt3-curie_acc,gpt3-curie_agent_acc,gpt3-curie_patient_acc,gpt3-curie_agent_avg_LL_delta,gpt3-curie_patient_avg_LL_delta,text-davinci-003_acc,text-davinci-003_agent_acc,text-davinci-003_patient_acc,text-davinci-003_agent_avg_LL_delta,text-davinci-003_patient_avg_LL_delta,gpt2-medium_acc,gpt2-medium_agent_acc,gpt2-medium_patient_acc,gpt2-medium_agent_avg_LL_delta,gpt2-medium_patient_avg_LL_delta,gpt2-xl_acc,gpt2-xl_agent_acc,gpt2-xl_patient_acc,gpt2-xl_agent_avg_LL_delta,gpt2-xl_patient_avg_LL_delta,bloom-1b7_acc,bloom-1b7_agent_acc,bloom-1b7_patient_acc,bloom-1b7_agent_avg_LL_delta,bloom-1b7_patient_avg_LL_delta,text-ada-001_acc,text-ada-001_agent_acc,text-ada-001_patient_acc,text-ada-001_agent_avg_LL_delta,text-ada-001_patient_avg_LL_delta,gpt2-large_acc,gpt2-large_agent_acc,gpt2-large_patient_acc,gpt2-large_agent_avg_LL_delta,gpt2-large_patient_avg_LL_delta,text-curie-001_acc,text-curie-001_agent_acc,text-curie-001_patient_acc,text-curie-001_agent_avg_LL_delta,text-curie-001_patient_avg_LL_delta,text-babbage-001_acc,text-babbage-001_agent_acc,text-babbage-001_patient_acc,text-babbage-001_agent_avg_LL_delta,text-babbage-001_patient_avg_LL_delta,bloom-7b1_acc,bloom-7b1_agent_acc,bloom-7b1_patient_acc,bloom-7b1_agent_avg_LL_delta,bloom-7b1_patient_avg_LL_delta
bakes,0.6190476190476191,0.1111111111111111,1.0,-0.6104368572222222,-2.361962289333333,0.5714285714285714,0.0,1.0,-2.176468477333333,-2.671537611,0.8809523809523809,0.8333333333333334,0.9166666666666666,2.143861954088889,-1.3936990163333336,0.4523809523809524,0.2222222222222222,0.625,-0.2291395399305555,-0.0670572916666666,0.5714285714285714,0.0,1.0,-1.5364922417534723,-1.811838785807292,0.4761904761904761,1.0,0.0833333333333333,0.7560891095134947,0.4796804251770178,0.5714285714285714,0.0,1.0,-1.1804538302951388,-1.3438720703125,0.5714285714285714,0.0,1.0,-4.857770595777779,-5.678464522958333,0.5714285714285714,0.0,1.0,-0.9356087422222222,-1.524750979583333,1.0,1.0,1.0,14.328849208366668,-15.17741882711458,0.5714285714285714,0.0,1.0,-1.1331672618786497,-2.9653008629878364,0.5714285714285714,0.0,1.0,-2.2485181424352856,-2.6515403781086206,0.9047619047619048,0.7777777777777778,1.0,0.1493191189236111,-0.6927998860677084,0.5714285714285714,0.0,1.0,-4.979758728283333,-8.509496208687084,0.8809523809523809,1.0,0.7916666666666666,0.8915267967515521,-0.4949729765454928,0.5714285714285714,0.0,1.0,-3.584981766416667,-5.3129539764875,0.5714285714285714,0.0,1.0,-4.365622318611112,-3.6209549757083344,0.5,0.7777777777777778,0.2916666666666667,0.3116319444444444,0.1783650716145833
carves,0.8541666666666666,0.65,1.0,0.249979513,-1.5492720971428569,0.5833333333333334,0.0,1.0,-1.8017345145,-2.386995835464286,0.4166666666666667,1.0,0.0,9.337601793530002,3.2938303883214286,0.5416666666666666,0.0,0.9285714285714286,-0.3883056640625,-0.3615809849330357,0.5833333333333334,0.0,1.0,-1.5993560791015624,-1.872632707868304,0.4375,1.0,0.0357142857142857,0.7218757554888725,0.3560848225440298,0.5833333333333334,0.0,1.0,-1.02489013671875,-1.4911281040736608,0.5833333333333334,0.0,1.0,-3.3198666521,-5.368241597328572,0.5833333333333334,0.0,1.0,-0.7394745795,-0.9196749703571426,1.0,1.0,1.0,14.8821127791055,-15.577967353844285,0.5833333333333334,0.0,1.0,-1.0499000370502471,-2.7175195143957223,0.5833333333333334,0.0,1.0,-1.9378441516309977,-2.3169808821486577,0.875,0.7,1.0,0.09375,-0.7411847795758929,0.7083333333333334,0.3,1.0,-1.7331918837500002,-6.868984704174286,0.7916666666666666,1.0,0.6428571428571429,0.5678062796592712,-0.1593163364699908,0.5833333333333334,0.0,1.0,-2.6806834207000008,-3.5165638257321445,0.5833333333333334,0.0,1.0,-3.51643962185,-3.432193648642857,0.4166666666666667,1.0,0.0,0.66640625,0.4113246372767857
cleans,0.7037037037037037,0.238095238095238,1.0,-0.4857634514285714,-1.5704746836363637,0.6111111111111112,0.0,1.0,-2.024472999333333,-2.3877657624242428,0.3888888888888889,1.0,0.0,8.738550316247618,4.12879768780606,0.3333333333333333,0.4285714285714285,0.2727272727272727,-0.153227306547619,0.1027462121212121,0.6111111111111112,0.0,1.0,-1.2618408203125,-1.8444065903172349,0.5185185185185185,1.0,0.2121212121212121,1.2319228791055226,0.8265703343080751,0.6111111111111112,0.0,1.0,-1.0594889322916667,-1.1742757161458333,0.6111111111111112,0.0,1.0,-3.3406533647142864,-3.833309812666667,0.6111111111111112,0.0,1.0,-1.0031056095238096,-1.1125261721212123,1.0,1.0,1.0,14.744250798813807,-16.45140084801,0.6111111111111112,0.0,1.0,-1.4143335279964266,-1.9573031277819115,0.6111111111111112,0.0,1.0,-1.9710810163191383,-2.2326707408735245,0.9444444444444444,0.8571428571428571,1.0,0.2574172247023809,-0.5795047644412878,0.7592592592592593,0.4761904761904761,0.9393939393939394,-1.2384679683809523,-2.7526919636696974,0.5555555555555556,0.8095238095238095,0.3939393939393939,0.7009106526772181,0.2213573826081825,0.6111111111111112,0.0,1.0,-2.5302584634285714,-3.038703926030303,0.6111111111111112,0.0,1.0,-3.049313265095239,-1.5582206547272726,0.4074074074074074,0.9523809523809524,0.0606060606060606,0.2611607142857143,0.2840909090909091
cooks,0.8666666666666667,0.5,1.0,-0.2505728466666667,-2.3798745029090904,0.7333333333333333,0.0,1.0,-1.9767380258333327,-2.4723367100000004,0.9333333333333332,1.0,0.9090909090909092,4.868546361100001,-1.565466595363636,0.4666666666666667,0.0833333333333333,0.6060606060606061,-0.1705729166666666,-0.0890151515151515,0.7333333333333333,0.0,1.0,-1.4323018391927085,-1.6890388257575757,0.2666666666666666,1.0,0.0,1.3635591082274914,0.739933908888788,0.7333333333333333,0.0,1.0,-1.4167989095052085,-1.613582726680871,0.7333333333333333,0.0,1.0,-4.8480799135,-5.681250935509092,0.7333333333333333,0.0,1.0,-0.8382623383333333,-1.1992722193939394,1.0,1.0,1.0,15.086063748309163,-17.069720304340308,0.7333333333333333,0.0,1.0,-1.5804761238396168,-2.8038991102666566,0.7333333333333333,0.0,1.0,-2.251031883060932,-2.523476512368881,0.9333333333333332,0.75,1.0,0.1015625,-0.7595066879734849,0.7111111111111111,0.0,0.9696969696969696,-4.3859532556083325,-5.074668990519998,0.6666666666666666,1.0,0.5454545454545454,1.2130234154562156,0.0984045398054701,0.7333333333333333,0.0,1.0,-3.082889509333333,-4.398030009942424,0.7333333333333333,0.0,1.0,-3.68921536825,-3.075801449939393,0.3777777777777777,0.6666666666666666,0.2727272727272727,0.2421875,0.1405954071969697
cuts,0.825,0.5625,1.0,0.096910954375,-1.150189255,0.6,0.0,1.0,-1.7610265431249998,-2.195743174,0.4,1.0,0.0,9.36496928105,4.0945114650375,0.4,0.0,0.6666666666666666,-0.3408355712890625,-0.052734375,0.6,0.0,1.0,-1.3446426391601562,-2.084014892578125,0.6,1.0,0.3333333333333333,0.8235054071992636,0.2037615776062012,0.6,0.0,1.0,-1.0000076293945312,-1.2707977294921875,0.6,0.0,1.0,-3.467946206875,-4.617477612208334,0.6,0.0,1.0,-0.713896995625,-0.9843460691666666,0.925,1.0,0.875,15.088068883418748,-11.742996799176668,0.6,0.0,1.0,-1.194360720925033,-2.4266258950034776,0.6,0.0,1.0,-1.795266440603882,-2.0189361196632185,0.95,0.875,1.0,0.2382354736328125,-0.8645121256510416,0.825,0.625,0.9583333333333334,1.163923182875,-3.203308886420833,0.9,0.8125,0.9583333333333334,0.5199950998649001,-0.8441937901079655,0.6,0.0,1.0,-2.221777071875,-2.7472707615833336,0.6,0.0,1.0,-3.313709756375,-2.4271181395,0.4,0.8125,0.125,0.3154144287109375,0.2369588216145833
drives,0.7777777777777778,0.1111111111111111,1.0,-0.5714967022222223,-1.329492212962963,0.75,0.0,1.0,-1.5156957344444444,-2.0694660113333336,0.25,1.0,0.0,7.8437168263666655,5.081610114992592,0.25,1.0,0.0,0.3315972222222222,0.3391022858796296,0.75,0.0,1.0,-1.6547783745659723,-1.9490605107060184,0.6111111111111112,0.6666666666666666,0.5925925925925926,0.4634857111506992,-0.0506241476094281,0.6388888888888888,0.0,0.8518518518518519,-0.5556640625,-0.3981571903935185,0.75,0.0,1.0,-3.220100845555556,-4.331882232518518,0.75,0.0,1.0,-0.9119551077777778,-1.0666387440740743,0.25,1.0,0.0,15.68235160228889,9.815119402695188,0.75,0.0,1.0,-0.699225538306766,-1.99915596070113,0.75,0.0,1.0,-1.816677901479933,-2.284739472247936,0.8333333333333334,0.6666666666666666,0.8888888888888888,0.1805013020833333,-0.3390480324074074,0.4444444444444444,0.5555555555555556,0.4074074074074074,-1.2624593700000002,0.1685756569259259,0.6111111111111112,1.0,0.4814814814814814,0.909185293647978,0.0353629909179828,0.75,0.0,1.0,-2.700650408444445,-3.375393042740741,0.75,0.0,1.0,-1.7280617753333334,-1.2788280172592592,0.25,1.0,0.0,0.5052897135416666,0.3720883969907407
embroiders,0.75,0.4166666666666667,1.0,-0.4217450308333333,-2.0831393650625003,0.5714285714285714,0.0,1.0,-2.267708825666667,-2.6502821059375004,0.5714285714285714,0.9166666666666666,0.3125,6.104245136725001,0.7570026139999999,0.25,0.0,0.4375,-0.37237548828125,0.095703125,0.5714285714285714,0.0,1.0,-1.393310546875,-1.811725616455078,0.6071428571428571,1.0,0.3125,1.4061940473814805,0.4789145085960626,0.5714285714285714,0.0,1.0,-1.2292378743489585,-1.5312843322753906,0.5714285714285714,0.0,1.0,-3.61665176525,-4.784620726625,0.5714285714285714,0.0,1.0,-0.9393773083333334,-1.0485960018750002,1.0,1.0,1.0,13.806794210433331,-14.885932417138124,0.5714285714285714,0.0,1.0,-1.0544306424756844,-2.0587596828117967,0.5714285714285714,0.0,1.0,-2.169962350279093,-2.5027059216517955,0.9642857142857144,0.9166666666666666,1.0,0.1510416666666666,-0.80462646484375,0.6071428571428571,0.0833333333333333,1.0,-2.6141010138333334,-6.844959478437499,0.8571428571428571,0.9166666666666666,0.8125,0.5566385512550672,-0.5904873041436076,0.5714285714285714,0.0,1.0,-3.63631340175,-3.8315124481562495,0.5714285714285714,0.0,1.0,-3.94303408525,-2.5822027747500003,0.5,0.8333333333333334,0.25,0.4258015950520833,0.2939910888671875
flies,0.5833333333333334,0.1666666666666666,1.0,-0.5903571841666666,-1.442834420833333,0.5,0.0,1.0,-1.4614055516666664,-2.503296903416667,0.5,1.0,0.0,7.0813165631166655,4.723431647708334,0.5,1.0,0.0,0.9400838216145834,0.6561279296875,0.5,0.0,1.0,-1.4193827311197915,-1.8866119384765625,0.4166666666666667,0.8333333333333334,0.0,0.9128335366646448,0.8836421892046928,0.5,0.0,1.0,-1.1874491373697915,-1.249969482421875,0.5,0.0,1.0,-3.543288660916667,-4.780495529166667,0.5,0.0,1.0,-0.7571357266666666,-0.9389983308333334,0.5,1.0,0.0,15.368558519358336,8.917853005015001,0.5,0.0,1.0,-1.1554260104894638,-1.838017775366704,0.5,0.0,1.0,-1.7450077620645363,-2.004801032443841,0.875,0.75,1.0,0.171875,-0.4270426432291667,0.5833333333333334,0.3333333333333333,0.8333333333333334,-2.024080628333333,-2.611974752683333,0.9166666666666666,0.8333333333333334,1.0,0.4171098942557971,-0.5895416761438051,0.5,0.0,1.0,-2.200882521666667,-2.6033729899166667,0.5,0.0,1.0,-2.191809187,-2.1341353562916665,0.5,1.0,0.0,0.5533650716145834,0.3971354166666667
knits,0.4285714285714285,0.0,1.0,-1.3229171650000002,-2.519880594266666,0.4285714285714285,0.0,1.0,-2.41117113475,-2.8825037174,0.7714285714285715,0.8,0.7333333333333333,2.54372157062,-1.0552615198666666,0.3142857142857143,0.45,0.1333333333333333,-0.06875,0.0729166666666666,0.4285714285714285,0.0,1.0,-1.8601043701171875,-2.3966959635416667,0.4,0.35,0.4666666666666667,-0.367847067117691,0.1801132142543792,0.4285714285714285,0.0,1.0,-1.337542724609375,-1.6501383463541666,0.4285714285714285,0.0,1.0,-5.159341763949998,-5.400266318400001,0.4285714285714285,0.0,1.0,-1.063411296,-0.941273494,1.0,1.0,1.0,13.057566082915002,-14.257710062142666,0.2857142857142857,0.0,0.6666666666666666,-0.8114238828420639,-1.9483113422989848,0.4285714285714285,0.0,1.0,-2.2359506607055666,-2.480797756711642,0.4857142857142857,0.1,1.0,-0.204638671875,-0.8166666666666667,0.5142857142857142,0.15,1.0,-5.274310675724999,-7.299029883898666,0.7428571428571429,0.55,1.0,0.1106089606881141,-0.8801631172498067,0.4285714285714285,0.0,1.0,-3.74971724695,-4.228212146666666,0.4285714285714285,0.0,1.0,-4.95004502226,-3.0159286375333334,0.5428571428571428,0.8,0.2,0.1609130859375,0.355224609375
packs,0.6,0.0,1.0,-1.3517590071875,-2.426765928833334,0.6,0.0,1.0,-2.0819686340625,-2.647123939208333,0.5,0.9375,0.2083333333333333,2.69225367761875,0.8719152235,0.6,0.6875,0.5416666666666666,0.1318206787109375,-0.0735677083333333,0.6,0.0,1.0,-1.6501960754394531,-2.014439900716146,0.4,1.0,0.0,0.7853736914694309,0.7409295961260796,0.6,0.0,1.0,-1.3905563354492188,-1.4688771565755208,0.6,0.0,1.0,-3.3856283308125,-5.256518615270834,0.6,0.0,1.0,-1.004173821875,-1.1801617545833334,0.95,1.0,0.9166666666666666,12.444096925638751,-11.069393006018332,0.6,0.0,1.0,-1.0749778784811497,-2.158106173699101,0.6,0.0,1.0,-1.9386946097947657,-2.442301238731792,0.85,0.625,1.0,0.064453125,-0.8450520833333334,0.725,0.3125,1.0,-0.90735320625,-4.4263784722083335,0.825,0.5625,1.0,0.0682889837771654,-1.3311210023239255,0.6,0.0,1.0,-2.9782668508125005,-2.8801818282500005,0.6,0.0,1.0,-3.5808078683125,-2.3574539926666667,0.45,1.0,0.0833333333333333,0.3300323486328125,0.3275553385416667
